date,symbol,event,a,b,share_multiplier,reason,shares,lots,strike,reasons,assigned_lots,assigned_shares,assigned_market_value,cash_before,cash_after,nav,margin_utilization,total_assigned_stock_exposure,sector,sector_exposure,top_sector,top_sector_exposure,cash_liquidity,margin_liquidity,remaining_liquidity,entry_day,put_retries,pending_calls,position,cancelled_orders,action,pnl,per_share
2020-05-13,RELIANCE,corporate_action_value_adjustment,0.99061047,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,35100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,35100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,COALINDIA,covered_call_leftover_shares,,,,"covered 33300, uncovered 1800",35100.0,9.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,ITC,corporate_action_value_adjustment,1.0,-10.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,35100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,35100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,COALINDIA,covered_call_leftover_shares,,,,"covered 33300, uncovered 1800",35100.0,9.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-24,EICHERMOT,corporate_action_split_bonus,0.1,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-27,COALINDIA,residual_shares_after_call_away,,,,sell_next_day,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,TATASTEEL,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,10.0,17000.0,5846300.0,29802147.82995584,22974263.81795584,22577772.322478347,0.6563532392983813,74094970.0,Metals & Mining,12129065.0,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,EICHERMOT,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,9.0,3150.0,6408517.5,22974263.81795584,16332138.41510584,22577772.322478347,0.6563532392983813,74094970.0,Automobile,25446977.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,MARUTI,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,10.0,1000.0,6297700.0,16332138.41510584,9604664.46210584,22577772.322478347,0.6563532392983813,74094970.0,Automobile,25446977.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,JSWSTEEL,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,9.0,24300.0,6282765.0,9604664.46210584,3016760.4911158406,22577772.322478347,0.6563532392983813,74094970.0,Metals & Mining,12129065.0,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,TATAMOTORS,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,9.0,51300.0,6299640.0,3016760.4911158406,-3937138.1449291594,22577772.322478347,0.6563532392983813,74094970.0,Automobile,25446977.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,BAJFINANCE,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,8.0,2000.0,6057800.0,-3937138.1449291594,-10865432.21592916,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,KOTAKBANK,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,13.0,5200.0,6479719.999999999,-10865432.21592916,-17862005.12704916,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,INDUSINDBK,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,15.0,12000.0,5883000.0,-17862005.12704916,-24609561.09184916,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,SBIN,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,11.0,33000.0,5819550.0,-24609561.09184916,-31236624.98584916,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,AXISBANK,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,13.0,15600.0,6278220.0,-31236624.98584916,-38128771.435609154,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,M&M,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,8.0,11200.0,6441120.0,-38128771.435609154,-44876327.400409155,22577772.322478347,0.6563532392983813,74094970.0,Automobile,25446977.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,ICICIBANK,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached|simultaneous_assignments_over_concentrated,13.0,17875.0,6000637.5,-44876327.400409155,-51517197.67752165,22577772.322478347,0.6563532392983813,74094970.0,Financial Services,36518927.5,Financial Services,36518927.5,-51517197.67752165,7758778.3224783465,-51517197.67752165,,,,,,,,
2020-09-24,EICHERMOT,covered_call_not_available,,,,calls_skipped_distance_cap,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,JSWSTEEL,covered_call_not_available,,,,calls_skipped_distance_cap,24300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,M&M,covered_call_not_available,,,,calls_skipped_distance_cap,11200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,TATAMOTORS,covered_call_not_available,,,,calls_skipped_distance_cap,51300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,8.0,,,,,
