date,symbol,event,a,b,share_multiplier,reason,shares,lots,strike,reasons,assigned_lots,assigned_shares,assigned_market_value,cash_before,cash_after,nav,margin_utilization,total_assigned_stock_exposure,sector,sector_exposure,top_sector,top_sector_exposure,cash_liquidity,margin_liquidity,remaining_liquidity,entry_day,put_retries,pending_calls,position,cancelled_orders,action,pnl,per_share
2020-09-25,EICHERMOT,covered_call_not_available,,,,calls_skipped_distance_cap,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,JSWSTEEL,covered_call_not_available,,,,calls_skipped_distance_cap,24300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2020-09-28,JSWSTEEL,covered_call_not_available,,,,calls_skipped_distance_cap,24300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2020-09-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2020-09-30,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2020-10-29,EICHERMOT,covered_call_not_available,,,,calls_skipped_distance_cap,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,4.0,,,,,
2020-10-30,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2020-11-02,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2021-01-28,DIVISLAB,covered_call_not_available,,,,calls_skipped_distance_cap,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2021-01-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-02-25,DIVISLAB,covered_call_not_available,,,,calls_skipped_distance_cap,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-02-26,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-03-25,ONGC,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,11.0,84700.0,8639400.0,23979450.94693006,14624245.749900058,35894568.93884006,0.42585598467682745,76429585.0,Oil Gas & Consumable Fuels,34938670.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,COALINDIA,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,15.0,63000.0,8070300.0,14624245.749900058,5451786.860250058,35894568.93884006,0.42585598467682745,76429585.0,Oil Gas & Consumable Fuels,34938670.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,TATAMOTORS,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,5.0,28500.0,8138175.0,5451786.860250058,-3419441.8523999425,35894568.93884006,0.42585598467682745,76429585.0,Automobile,8138175.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,INDUSINDBK,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,10.0,9000.0,8620200.0,-3419441.8523999425,-12456347.162399942,35894568.93884006,0.42585598467682745,76429585.0,Financial Services,17145000.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,SBIN,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,8.0,24000.0,8524800.0,-12456347.162399942,-21493252.47239994,35894568.93884006,0.42585598467682745,76429585.0,Financial Services,17145000.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,GAIL,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,11.0,67100.0,8588800.0,-21493252.47239994,-30588897.66691494,35894568.93884006,0.42585598467682745,76429585.0,Oil Gas & Consumable Fuels,34938670.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,BPCL,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,12.0,21600.0,9049320.0,-30588897.66691494,-39914983.94683494,35894568.93884006,0.42585598467682745,76429585.0,Oil Gas & Consumable Fuels,34938670.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,IOC,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,1.0,6500.0,590850.0,-39914983.94683494,-40535016.06115994,35894568.93884006,0.42585598467682745,76429585.0,Oil Gas & Consumable Fuels,34938670.0,Oil Gas & Consumable Fuels,34938670.0,-40535016.06115994,20608651.93884006,-40535016.06115994,,,,,,,,
2021-03-25,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,63000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,DIVISLAB,covered_call_not_available,,,,calls_skipped_distance_cap,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,IOC,covered_call_not_available,,,,calls_skipped_distance_cap,6500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,ONGC,covered_call_not_available,,,,calls_skipped_distance_cap,84700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,6.0,,,,,
2021-03-26,IOC,covered_call_not_available,,,,calls_skipped_distance_cap,6500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,ONGC,covered_call_not_available,,,,calls_skipped_distance_cap,84700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2021-03-30,COALINDIA,covered_call_leftover_shares,,,,"covered 46200, uncovered 16800",63000.0,11.0,142.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,DIVISLAB,covered_call_fill_failed,,,,no_close,,12.0,3650.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,ONGC,covered_call_not_available,,,,lot_unresolved_skips,84700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2021-03-31,GAIL,UNIVERSE_EXIT_SCHEDULED,,,,,,,,,,,,,,,,,,,,,,,,,,,67100 shares; short CE K=135 x67100 exp 2021-04-29,,,,
2021-04-01,GAIL,UNIVERSE_EXIT_CLEARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buy back CE + sell shares,540820.9675,
2021-04-01,COALINDIA,covered_call_topup,,,,"added 16800, covered 63000, uncovered 0",63000.0,4.0,142.5,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,ONGC,covered_call_leftover_shares,,,,"covered 38500, uncovered 46200",84700.0,5.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,ONGC,covered_call_topup,,,,"added 46200, covered 84700, uncovered 0",84700.0,6.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,BPCL,covered_call_not_available,,,,calls_skipped_distance_cap,21600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,63000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,4.0,,,,,
2021-04-30,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2021-05-03,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2021-05-27,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-06-24,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2021-07-15,M&M,dividend,,,,,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2021-07-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,4.0,,,,,
2021-08-05,MARUTI,dividend,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2021-08-26,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,3.0,,,,,
2021-09-30,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-10-28,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-11-25,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-12-06,COALINDIA,corporate_action_value_adjustment,1.0,-9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,33600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2021-12-31,BHARTIARTL,covered_call_leftover_shares,,,,"covered 16150, uncovered 824",16974.0,17.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,COALINDIA,covered_call_not_available,,,,calls_skipped_distance_cap,33600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,INFY,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,24.0,7200.0,12085920.0,35919049.06109427,23050488.33821427,45517547.70149927,0.3350620160825943,76256006.5,Information Technology,43079590.0,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,TECHM,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,12.0,7200.0,10408320.0,23050488.33821427,10760289.895014271,45517547.70149927,0.3350620160825943,76256006.5,Information Technology,43079590.0,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,WIPRO,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,23.0,18400.0,10023400.0,10760289.895014271,-1618269.4520257288,45517547.70149927,0.3350620160825943,76256006.5,Information Technology,43079590.0,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,TITAN,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,9.0,3375.0,7796418.750000001,-1618269.4520257288,-9683712.180375729,45517547.70149927,0.3350620160825943,76256006.5,Consumer Durables,7796418.750000001,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,HCLTECH,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,14.0,9800.0,10561950.0,-9683712.180375729,-21983951.635375727,45517547.70149927,0.3350620160825943,76256006.5,Information Technology,43079590.0,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,DRREDDY,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,15.0,1875.0,7980656.250000001,-21983951.635375727,-30738458.798500728,45517547.70149927,0.3350620160825943,76256006.5,Healthcare,7980656.250000001,Information Technology,43079590.0,-30738458.798500728,30266346.401499268,-30738458.798500728,,,,,,,,
2022-01-27,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,TITAN,covered_call_not_available,,,,calls_skipped_distance_cap,3375.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,6.0,,,,,
2022-01-28,BHARTIARTL,covered_call_leftover_shares,,,,"covered 16150, uncovered 824",16974.0,17.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2022-01-31,TITAN,covered_call_leftover_shares,,,,"covered 3000, uncovered 375",3375.0,8.0,2460.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2022-02-01,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2022-02-21,COALINDIA,dividend,,,,,33600.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2022-02-24,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,WIPRO,covered_call_not_available,,,,calls_skipped_distance_cap,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,6.0,,,,,
2022-02-25,BHARTIARTL,covered_call_leftover_shares,,,,"covered 16150, uncovered 824",16974.0,17.0,710.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,TECHM,covered_call_leftover_shares,,,,"covered 6000, uncovered 1200",7200.0,10.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,WIPRO,covered_call_not_available,,,,calls_skipped_distance_cap,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2022-02-28,TECHM,covered_call_topup,,,,"added 1200, covered 7200, uncovered 0",7200.0,2.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,WIPRO,covered_call_not_available,,,,calls_skipped_distance_cap,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,WIPRO,covered_call_not_available,,,,calls_skipped_distance_cap,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-08,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-21,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,BHARTIARTL,residual_shares_after_call_away,,,,sell_next_day,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,4.0,,,,,
2022-04-01,TITAN,covered_call_leftover_shares,,,,"covered 2250, uncovered 1125",3375.0,6.0,2680.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,TITAN,covered_call_topup,,,,"added 1125, covered 3375, uncovered 0",3375.0,3.0,2680.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05,WIPRO,dividend,,,,,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2022-04-06,DRREDDY,covered_call_leftover_shares,,,,"covered 1125, uncovered 750",1875.0,9.0,4650.0,,,,,,,,,,,,,,,,,,,,,,,,
