date,symbol,event,opening_cash,premium_received,margin_requirement,leveraged_requirement,stock_cash_flow,transaction_costs,interest_income,borrowing_cost,closing_cash,available_liquidity,required_liquidity,remaining_liquidity,lots_considered,lots_executed,lots_rejected,rejection_reason
2019-12-31,TATASTEEL,put_decision,20000000.0,56700.00000000001,4620000.0,912660.0,0.0,0.0,0.0,0.0,20000000.0,20000000.0,912745.469906,19087254.530094,7,7,0,
2020-01-01,,cash_interest,20000000.0,0.0,0.0,0.0,0.0,0.0,2728.9589041095887,0.0,20002728.95890411,19078728.95890411,0.0,19078728.95890411,0,0,0,
2020-01-01,TATASTEEL,option_sale,20002728.95890411,63984.9,4620000.0,910875.0,0.0,93.41904318200001,0.0,0.0,20066620.439860925,20002728.95890411,912608.5190431848,19090120.439860925,7,7,0,
2020-01-02,,cash_interest,20066620.439860925,0.0,0.0,0.0,0.0,0.0,2789.8100115636785,0.0,20069410.249872487,19092910.249872487,0.0,19092910.249872487,0,0,0,
2020-01-03,,cash_interest,20069410.249872487,0.0,0.0,0.0,0.0,0.0,2790.1978715884366,0.0,20072200.447744075,19117540.447744075,0.0,19117540.447744075,0,0,0,
2020-01-06,,cash_interest,20072200.447744075,0.0,0.0,0.0,0.0,0.0,8371.757356609094,0.0,20080572.205100685,19124652.205100685,0.0,19124652.205100685,0,0,0,
2020-01-07,,cash_interest,20080572.205100685,0.0,0.0,0.0,0.0,0.0,2791.7496891721485,0.0,20083363.95478986,19114003.95478986,0.0,19114003.95478986,0,0,0,
2020-01-08,,cash_interest,20083363.95478986,0.0,0.0,0.0,0.0,0.0,2792.1378188652366,0.0,20086156.092608724,19124776.092608724,0.0,19124776.092608724,0,0,0,
2020-01-09,,cash_interest,20086156.092608724,0.0,0.0,0.0,0.0,0.0,2792.5260025189855,0.0,20088948.618611243,19126728.618611243,0.0,19126728.618611243,0,0,0,
2020-01-10,,cash_interest,20088948.618611243,0.0,0.0,0.0,0.0,0.0,2792.914240140897,0.0,20091741.532851383,19143381.532851383,0.0,19143381.532851383,0,0,0,
2020-01-13,,cash_interest,20091741.532851383,0.0,0.0,0.0,0.0,0.0,8379.907595215425,0.0,20100121.4404466,19156381.4404466,0.0,19156381.4404466,0,0,0,
2020-01-14,,cash_interest,20100121.4404466,0.0,0.0,0.0,0.0,0.0,2794.46756848072,0.0,20102915.90801508,19163375.90801508,0.0,19163375.90801508,0,0,0,
2020-01-15,,cash_interest,20102915.90801508,0.0,0.0,0.0,0.0,0.0,2794.856076033494,0.0,20105710.76409111,19171210.76409111,0.0,19171210.76409111,0,0,0,
