cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,63984.9,63984.9,0.0,93.41904318200001,923370.0,4616850.0,440.0,0.0,,,,0,0,0,0,0,0,0,63984.9,0.0,93.41904318200001,63891.480956818,Metals & Mining,29,,
2,VEDL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,565618.9,565618.9,0.0,640.792031302,1009715.0,5048575.0,85.0,0.0,,,,0,0,0,0,0,0,0,565618.9,0.0,640.792031302,564978.107968698,Metals & Mining,24,,
3,HINDALCO,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,475020.0,475020.0,0.0,541.9323235999999,1007580.0,5037900.0,120.0,0.0,,,,0,0,0,0,0,0,0,475020.0,0.0,541.9323235999999,474478.0676764,Metals & Mining,24,,
4,ONGC,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,335793.28,335793.28,0.0,390.0109112704001,980720.0,4903600.0,75.0,0.0,,,,0,0,0,0,0,0,0,335793.28,0.0,390.0109112704001,335403.26908872963,Oil Gas & Consumable Fuels,24,,
5,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,182446.75,182446.75,0.0,222.682244665,949800.0,4749000.0,1900.0,0.0,,,,0,0,0,0,0,0,0,182446.75,0.0,222.682244665,182224.067755335,Information Technology,24,,
6,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,202020.0,202020.0,0.0,244.0401836,958510.0,4792550.0,1380.0,0.0,,,,0,0,0,0,0,0,0,202020.0,0.0,244.0401836,201775.9598164,Oil Gas & Consumable Fuels,24,,
7,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,196911.36000000002,196911.36000000002,0.0,238.46573780480003,964296.0,4821480.0,670.0,0.0,,,,0,0,0,0,0,0,0,196911.36000000002,0.0,238.46573780480003,196672.89426219522,Information Technology,24,,
8,COALINDIA,2020-05-04,2020-08-28,residual_after_call_away,1,3,True,True,583874.37,184949.36999999985,230589.8550000002,39665.083165387,1002456.0,5012280.0,140.0,133.9,2020-05-28,148.55,126.15,35100,0,33300,1800,1800,1800,0,184949.36999999985,230589.8550000002,39665.083165387,375874.14183461305,Oil Gas & Consumable Fuels,116,-0.04357142857142848,-0.05787901418969377
9,TATASTEEL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,451035.0,451035.0,0.0,515.7603713,1003680.0,5018400.0,280.0,0.0,,,,0,0,0,0,0,0,0,451035.0,0.0,515.7603713,450519.2396287,Metals & Mining,24,,
10,HDFCBANK,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,311512.5,311512.5,0.0,363.51620975,902450.0,4512250.0,940.0,0.0,,,,0,0,0,0,0,0,0,311512.5,0.0,363.51620975,311148.98379025,Financial Services,24,,
11,BHARTIARTL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,119563.49399999999,119563.49399999999,0.0,154.06529338292,888294.9,4441474.5,480.0,0.0,,,,0,0,0,0,0,0,0,119563.49399999999,0.0,154.06529338292,119409.42870661707,Telecommunication,24,,
12,EICHERMOT,2020-05-29,2020-06-25,put_expired_otm,1,0,False,False,146331.9,146331.9,0.0,183.274442642,1079888.4,5399442.0,15000.0,0.0,,,,0,0,0,0,0,0,0,146331.9,0.0,183.274442642,146148.625557358,Automobile,27,,
13,HINDALCO,2020-05-29,2020-06-25,put_expired_otm,1,0,False,False,221130.0,221130.0,0.0,264.89263339999997,1091580.0,5457900.0,130.0,0.0,,,,0,0,0,0,0,0,0,221130.0,0.0,264.89263339999997,220865.1073666,Metals & Mining,27,,
14,GRASIM,2020-05-29,2020-06-25,put_expired_otm,1,0,False,False,133599.9,133599.9,0.0,169.381538882,1133370.0,5666850.0,540.0,0.0,,,,0,0,0,0,0,0,0,133599.9,0.0,169.381538882,133430.518461118,Construction Materials,27,,
15,MARUTI,2020-05-29,2020-06-25,put_expired_otm,1,0,False,False,116044.5,116044.5,0.0,150.22543750999998,1121846.0,5609230.0,5100.0,0.0,,,,0,0,0,0,0,0,0,116044.5,0.0,150.22543750999998,115894.27456249,Automobile,27,,
16,LT,2020-05-29,2020-06-25,put_expired_otm,1,0,False,False,121753.12500000001,121753.12500000001,0.0,156.4545749375,1160122.5,5800612.5,860.0,0.0,,,,0,0,0,0,0,0,0,121753.12500000001,0.0,156.4545749375,121596.67042506252,Capital Goods,27,,
