symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
COALINDIA,8,residual_after_call_away,2020-08-28,35100,0,33300,1800,0,0,0,0,1800,1800,FLAT
TATAMOTORS,36,completed,2020-11-26,51300,0,51300,0,0,0,0,0,0,0,FLAT
INDUSINDBK,37,completed,2020-10-29,12000,0,12000,0,0,0,0,0,0,0,FLAT
JSWSTEEL,38,completed,2020-10-29,24300,0,24300,0,0,0,0,0,0,0,FLAT
SBIN,39,completed,2020-11-26,33000,0,33000,0,0,0,0,0,0,0,FLAT
AXISBANK,40,completed,2020-10-29,15600,0,15600,0,0,0,0,0,0,0,FLAT
M&M,42,completed,2020-11-26,11200,0,11200,0,0,0,0,0,0,0,FLAT
MARUTI,43,completed,2020-10-29,1000,0,1000,0,0,0,0,0,0,0,FLAT
BAJFINANCE,44,completed,2020-11-26,2000,0,2000,0,0,0,0,0,0,0,FLAT
ICICIBANK,45,completed,2020-10-29,17875,0,17875,0,0,0,0,0,0,0,FLAT
TATASTEEL,46,completed,2020-10-29,17000,0,17000,0,0,0,0,0,0,0,FLAT
KOTAKBANK,47,completed,2020-10-29,5200,0,5200,0,0,0,0,0,0,0,FLAT
EICHERMOT,48,completed,2020-11-26,3150,0,3150,0,0,0,0,0,0,0,FLAT
ASIANPAINT,60,completed,2021-04-29,3300,0,3300,0,0,0,0,0,0,0,FLAT
BAJFINANCE,64,completed,2021-02-25,1750,0,1750,0,0,0,0,0,0,0,FLAT
DIVISLAB,67,fo_exit,2021-03-31,2400,0,0,2400,0,0,0,0,0,0,FLAT
COALINDIA,76,completed,2021-05-27,63000,0,63000,0,0,0,0,0,16800,0,FLAT
ONGC,78,completed,2021-05-27,84700,0,84700,0,0,0,0,0,46200,0,FLAT
BPCL,79,completed,2021-05-27,21600,0,21600,0,0,0,0,0,0,0,FLAT
GAIL,81,universe_removal_sale,2021-04-01,67100,0,0,67100,0,0,0,0,0,0,FLAT
INDUSINDBK,82,completed,2021-05-27,9000,0,9000,0,0,0,0,0,0,0,FLAT
TATAMOTORS,84,completed,2021-09-30,28500,0,28500,0,0,0,0,0,0,0,FLAT
SBIN,87,completed,2021-05-27,24000,0,24000,0,0,0,0,0,0,0,FLAT
IOC,88,fo_exit,2021-03-31,6500,0,0,6500,0,0,0,0,0,0,FLAT
M&M,101,completed,2021-10-28,13300,0,13300,0,0,0,0,0,0,0,FLAT
MARUTI,103,completed,2021-09-30,1600,0,1600,0,0,0,0,0,0,0,FLAT
TCS,104,completed,2021-08-26,3600,0,3600,0,0,0,0,0,0,0,FLAT
COALINDIA,118,completed,2022-03-31,33600,0,33600,0,0,0,0,0,0,0,FLAT
BHARTIARTL,125,residual_after_call_away,2022-04-01,16974,0,16150,824,0,0,0,0,824,824,FLAT
HCLTECH,127,completed,2023-09-28,9800,0,9800,0,0,0,0,0,7700,0,FLAT
TECHM,128,completed,2024-08-29,7200,0,7200,0,0,0,0,0,6600,0,FLAT
WIPRO,129,open,,18400,18400,0,0,36800,36800,0,36800,800,0,OPEN_AT_END
DRREDDY,131,completed,2023-04-27,1875,0,1875,0,0,0,0,0,1625,0,FLAT
TITAN,132,completed,2022-10-27,3375,0,3375,0,0,0,0,0,1125,0,FLAT
INFY,133,completed,2022-03-31,7200,0,7200,0,0,0,0,0,0,0,FLAT
COALINDIA,141,completed,2022-10-27,16800,0,16800,0,0,0,0,0,0,0,FLAT
INFY,151,residual_after_call_away,2023-12-29,7800,0,7600,200,0,0,0,0,7000,200,FLAT
JSWSTEEL,156,completed,2023-04-27,1350,0,1350,0,0,0,0,0,0,0,FLAT
CIPLA,184,completed,2024-01-25,5850,0,5850,0,0,0,0,0,0,0,FLAT
HINDALCO,198,completed,2024-04-25,25200,0,25200,0,0,0,0,0,0,0,FLAT
DIVISLAB,205,completed,2024-04-25,4000,0,4000,0,0,0,0,0,0,0,FLAT
M&M,207,completed,2024-02-29,9100,0,9100,0,0,0,0,0,0,0,FLAT
JSWSTEEL,208,completed,2024-04-25,15525,0,15525,0,0,0,0,0,0,0,FLAT
DRREDDY,219,completed,2024-06-27,2750,0,2750,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,227,completed,2024-08-29,6300,0,6300,0,0,0,0,0,0,0,FLAT
AXISBANK,230,completed,2024-09-26,14375,0,14375,0,0,0,0,0,0,0,FLAT
TATAMOTORS,250,terminated,2025-10-13,18700,0,0,18700,0,0,0,0,16500,0,FLAT
M&M,258,completed,2025-06-26,6650,0,6650,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,259,open,,1650,0,0,0,1650,1650,0,1650,0,0,OPEN_AT_END
MARUTI,260,completed,2025-08-28,1550,0,1550,0,0,0,0,0,1000,0,FLAT
TATASTEEL,261,completed,2025-05-29,126500,0,126500,0,0,0,0,0,121000,0,FLAT
SHRIRAMFIN,262,completed,2025-06-26,5700,22800,28500,0,0,0,0,0,6000,0,FLAT
BAJAJFINSV,263,completed,2025-02-27,10500,0,10500,0,0,0,0,0,9000,0,FLAT
HINDALCO,264,completed,2025-09-30,28000,0,28000,0,0,0,0,0,22400,0,FLAT
POWERGRID,265,open,,57600,0,0,0,57600,57600,0,57600,55700,0,OPEN_AT_END
BHARTIARTL,266,completed,2025-04-24,11875,0,11875,0,0,0,0,0,0,0,FLAT
NESTLEIND,267,residual_after_call_away,2026-04-29,7600,7600,15000,200,0,0,0,0,12200,200,FLAT
BAJFINANCE,268,completed,2025-01-30,2750,0,2750,0,0,0,0,0,1125,0,FLAT
ULTRACEMCO,270,completed,2025-03-27,1200,0,1200,0,0,0,0,0,0,0,FLAT
AXISBANK,271,completed,2025-04-24,5000,0,5000,0,0,0,0,0,0,0,FLAT
HINDALCO,272,completed,2025-12-30,22400,0,22400,0,0,0,0,0,0,0,FLAT
TATASTEEL,274,completed,2025-12-30,104500,0,104500,0,0,0,0,0,0,0,FLAT
TECHM,279,open,,11400,0,0,0,11400,11400,0,11400,6000,0,OPEN_AT_END
TMPV,291,open,,53600,0,0,0,53600,53600,0,53600,0,0,OPEN_AT_END
HINDALCO,293,open,,9800,0,0,0,9800,9800,0,9800,0,0,OPEN_AT_END
