symbol,company,isin,bhavcopy_symbols,first_date_in_index,last_date_in_index,trading_days_in_index,in_index_periods,currently_in_nifty50
MAXHEALTH,Max Healthcare Institute Ltd.,INE027H01010,MAXHEALTH,2025-09-30,2026-09-16,237,2025-09-30..2026-09-16,True
NESTLEIND,Nestle India Ltd.,INE239A01024,NESTLEIND,2019-09-27,2026-09-16,1721,2019-09-27..2026-09-16,True
NTPC,NTPC Ltd.,INE733E01010,NTPC,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
ONGC,Oil & Natural Gas Corporation Ltd.,INE213A01029,ONGC,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
POWERGRID,Power Grid Corporation of India Ltd.,INE752E01010,POWERGRID,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
RELIANCE,Reliance Industries Ltd.,INE002A01018,RELIANCE,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
SBILIFE,SBI Life Insurance Company Ltd.,INE123W01016,SBILIFE,2020-09-25,2026-09-16,1475,2020-09-25..2026-09-16,True
SBIN,State Bank of India,INE062A01020,SBIN,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
SHRIRAMFIN,Shriram Finance Ltd.,INE721A01047,SHRIRAMFIN,2024-03-28,2026-09-16,609,2024-03-28..2026-09-16,True
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
TATACONSUM,Tata Consumer Products Ltd.,INE192A01025,TATACONSUM,2021-03-31,2026-09-16,1349,2021-03-31..2026-09-16,True
TATASTEEL,Tata Steel Ltd.,INE081A01020,TATASTEEL,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
TCS,Tata Consultancy Services Ltd.,INE467B01029,TCS,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
TECHM,Tech Mahindra Ltd.,INE669C01036,TECHM,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
TITAN,Titan Company Ltd.,INE280A01028,TITAN,2018-04-02,2026-09-16,2089,2018-04-02..2026-09-16,True
TMPV,Tata Motors Passenger Vehicles Ltd.,INE155A01022,TATAMOTORS TMPV,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
TRENT,Trent Ltd.,INE849A01020,TRENT,2024-09-30,2026-09-16,485,2024-09-30..2026-09-16,True
ULTRACEMCO,UltraTech Cement Ltd.,INE481G01011,ULTRACEMCO,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
WIPRO,Wipro Ltd.,INE075A01022,WIPRO,2016-01-01,2026-09-16,2643,2016-01-01..2026-09-16,True
ACC,Acc Limited,INE012A01025,ACC,2016-01-01,2017-09-28,431,2016-01-01..2017-09-28,False
AMBUJACEM,Ambuja Cements Ltd,INE079A01024,AMBUJACEM,2016-01-01,2018-03-28,554,2016-01-01..2018-03-28,False
AUROPHARMA,Aurobindo Pharma Ltd,INE406A01037,AUROPHARMA,2016-04-01,2018-03-28,493,2016-04-01..2018-03-28,False
BANKBARODA,Bank Of Baroda,INE028A01039,BANKBARODA,2016-01-01,2017-09-28,431,2016-01-01..2017-09-28,False
BHEL,Bhel,INE257A01026,BHEL,2016-01-01,2017-03-30,307,2016-01-01..2017-03-30,False
BOSCHLTD,Bosch Limited,INE323A01026,BOSCHLTD,2016-01-01,2018-03-28,554,2016-01-01..2018-03-28,False
BPCL,Bharat Petroleum Corp  Lt,INE029A01011,BPCL,2016-01-01,2025-03-27,2281,2016-01-01..2025-03-27,False
BRITANNIA,Britannia Industries Ltd,INE216A01030,BRITANNIA,2019-03-29,2025-03-27,1480,2019-03-29..2025-03-27,False
