trade_date,symbol,bhavcopy_symbol,isin,company
2016-01-01,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-01,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-01,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-01,VEDL,VEDL,INE205A01025,
2016-01-01,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-01,YESBANK,YESBANK,INE528G01019,
2016-01-01,ZEEL,ZEEL,INE256A01028,
2016-01-04,ACC,ACC,INE012A01025,
2016-01-04,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-04,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-04,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-04,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-04,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-04,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-04,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-04,BHEL,BHEL,INE257A01026,
2016-01-04,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-04,BPCL,BPCL,INE029A01011,
2016-01-04,CAIRN,CAIRN,INE910H01017,
2016-01-04,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-04,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-04,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-04,GAIL,GAIL,INE129A01019,
2016-01-04,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-04,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-04,HDFC,HDFC,INE001A01036,
2016-01-04,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-04,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-04,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-04,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-04,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-04,IDEA,IDEA,INE669E01016,
2016-01-04,INDUSINDBK,INDUSINDBK,INE095A01012,
2016-01-04,INFY,INFY,INE009A01021,Infosys Ltd.
2016-01-04,ITC,ITC,INE154A01025,ITC Ltd.
2016-01-04,KOTAKBANK,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
2016-01-04,LT,LT,INE018A01030,Larsen & Toubro Ltd.
2016-01-04,LUPIN,LUPIN,INE326A01037,
2016-01-04,M&M,M&M,INE101A01026,Mahindra & Mahindra Ltd.
2016-01-04,MARUTI,MARUTI,INE585B01010,Maruti Suzuki India Ltd.
2016-01-04,NTPC,NTPC,INE733E01010,NTPC Ltd.
2016-01-04,ONGC,ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.
2016-01-04,PNB,PNB,INE160A01022,
2016-01-04,POWERGRID,POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.
2016-01-04,RELIANCE,RELIANCE,INE002A01018,Reliance Industries Ltd.
2016-01-04,SBIN,SBIN,INE062A01020,State Bank of India
2016-01-04,SUNPHARMA,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
2016-01-04,TATAPOWER,TATAPOWER,INE245A01021,
2016-01-04,TATASTEEL,TATASTEEL,INE081A01012,Tata Steel Ltd.
2016-01-04,TCS,TCS,INE467B01029,Tata Consultancy Services Ltd.
2016-01-04,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-04,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-04,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-04,VEDL,VEDL,INE205A01025,
2016-01-04,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-04,YESBANK,YESBANK,INE528G01019,
2016-01-04,ZEEL,ZEEL,INE256A01028,
2016-01-05,ACC,ACC,INE012A01025,
2016-01-05,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-05,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-05,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-05,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-05,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-05,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-05,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-05,BHEL,BHEL,INE257A01026,
2016-01-05,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-05,BPCL,BPCL,INE029A01011,
2016-01-05,CAIRN,CAIRN,INE910H01017,
2016-01-05,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-05,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-05,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-05,GAIL,GAIL,INE129A01019,
2016-01-05,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-05,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-05,HDFC,HDFC,INE001A01036,
2016-01-05,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-05,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-05,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-05,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-05,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-05,IDEA,IDEA,INE669E01016,
2016-01-05,INDUSINDBK,INDUSINDBK,INE095A01012,
2016-01-05,INFY,INFY,INE009A01021,Infosys Ltd.
2016-01-05,ITC,ITC,INE154A01025,ITC Ltd.
2016-01-05,KOTAKBANK,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
2016-01-05,LT,LT,INE018A01030,Larsen & Toubro Ltd.
2016-01-05,LUPIN,LUPIN,INE326A01037,
2016-01-05,M&M,M&M,INE101A01026,Mahindra & Mahindra Ltd.
2016-01-05,MARUTI,MARUTI,INE585B01010,Maruti Suzuki India Ltd.
2016-01-05,NTPC,NTPC,INE733E01010,NTPC Ltd.
2016-01-05,ONGC,ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.
2016-01-05,PNB,PNB,INE160A01022,
2016-01-05,POWERGRID,POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.
2016-01-05,RELIANCE,RELIANCE,INE002A01018,Reliance Industries Ltd.
2016-01-05,SBIN,SBIN,INE062A01020,State Bank of India
2016-01-05,SUNPHARMA,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
2016-01-05,TATAPOWER,TATAPOWER,INE245A01021,
2016-01-05,TATASTEEL,TATASTEEL,INE081A01012,Tata Steel Ltd.
2016-01-05,TCS,TCS,INE467B01029,Tata Consultancy Services Ltd.
2016-01-05,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-05,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-05,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-05,VEDL,VEDL,INE205A01025,
2016-01-05,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-05,YESBANK,YESBANK,INE528G01019,
2016-01-05,ZEEL,ZEEL,INE256A01028,
2016-01-06,ACC,ACC,INE012A01025,
2016-01-06,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-06,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-06,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-06,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-06,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-06,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-06,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-06,BHEL,BHEL,INE257A01026,
2016-01-06,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-06,BPCL,BPCL,INE029A01011,
2016-01-06,CAIRN,CAIRN,INE910H01017,
2016-01-06,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-06,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-06,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-06,GAIL,GAIL,INE129A01019,
2016-01-06,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-06,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-06,HDFC,HDFC,INE001A01036,
2016-01-06,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-06,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-06,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-06,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-06,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-06,IDEA,IDEA,INE669E01016,
2016-01-06,INDUSINDBK,INDUSINDBK,INE095A01012,
2016-01-06,INFY,INFY,INE009A01021,Infosys Ltd.
2016-01-06,ITC,ITC,INE154A01025,ITC Ltd.
2016-01-06,KOTAKBANK,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
2016-01-06,LT,LT,INE018A01030,Larsen & Toubro Ltd.
