trade_date,symbol,bhavcopy_symbol,isin,company
2016-01-06,LUPIN,LUPIN,INE326A01037,
2016-01-06,M&M,M&M,INE101A01026,Mahindra & Mahindra Ltd.
2016-01-06,MARUTI,MARUTI,INE585B01010,Maruti Suzuki India Ltd.
2016-01-06,NTPC,NTPC,INE733E01010,NTPC Ltd.
2016-01-06,ONGC,ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.
2016-01-06,PNB,PNB,INE160A01022,
2016-01-06,POWERGRID,POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.
2016-01-06,RELIANCE,RELIANCE,INE002A01018,Reliance Industries Ltd.
2016-01-06,SBIN,SBIN,INE062A01020,State Bank of India
2016-01-06,SUNPHARMA,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
2016-01-06,TATAPOWER,TATAPOWER,INE245A01021,
2016-01-06,TATASTEEL,TATASTEEL,INE081A01012,Tata Steel Ltd.
2016-01-06,TCS,TCS,INE467B01029,Tata Consultancy Services Ltd.
2016-01-06,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-06,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-06,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-06,VEDL,VEDL,INE205A01025,
2016-01-06,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-06,YESBANK,YESBANK,INE528G01019,
2016-01-06,ZEEL,ZEEL,INE256A01028,
2016-01-07,ACC,ACC,INE012A01025,
2016-01-07,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-07,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-07,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-07,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-07,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-07,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-07,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-07,BHEL,BHEL,INE257A01026,
2016-01-07,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-07,BPCL,BPCL,INE029A01011,
2016-01-07,CAIRN,CAIRN,INE910H01017,
2016-01-07,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-07,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-07,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-07,GAIL,GAIL,INE129A01019,
2016-01-07,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-07,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-07,HDFC,HDFC,INE001A01036,
2016-01-07,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-07,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-07,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-07,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-07,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-07,IDEA,IDEA,INE669E01016,
2016-01-07,INDUSINDBK,INDUSINDBK,INE095A01012,
2016-01-07,INFY,INFY,INE009A01021,Infosys Ltd.
2016-01-07,ITC,ITC,INE154A01025,ITC Ltd.
2016-01-07,KOTAKBANK,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
2016-01-07,LT,LT,INE018A01030,Larsen & Toubro Ltd.
2016-01-07,LUPIN,LUPIN,INE326A01037,
2016-01-07,M&M,M&M,INE101A01026,Mahindra & Mahindra Ltd.
2016-01-07,MARUTI,MARUTI,INE585B01010,Maruti Suzuki India Ltd.
2016-01-07,NTPC,NTPC,INE733E01010,NTPC Ltd.
2016-01-07,ONGC,ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.
2016-01-07,PNB,PNB,INE160A01022,
2016-01-07,POWERGRID,POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.
2016-01-07,RELIANCE,RELIANCE,INE002A01018,Reliance Industries Ltd.
2016-01-07,SBIN,SBIN,INE062A01020,State Bank of India
2016-01-07,SUNPHARMA,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
2016-01-07,TATAPOWER,TATAPOWER,INE245A01021,
2016-01-07,TATASTEEL,TATASTEEL,INE081A01012,Tata Steel Ltd.
2016-01-07,TCS,TCS,INE467B01029,Tata Consultancy Services Ltd.
2016-01-07,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-07,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-07,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-07,VEDL,VEDL,INE205A01025,
2016-01-07,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-07,YESBANK,YESBANK,INE528G01019,
2016-01-07,ZEEL,ZEEL,INE256A01028,
2016-01-08,ACC,ACC,INE012A01025,
2016-01-08,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-08,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-08,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-08,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-08,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-08,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-08,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-08,BHEL,BHEL,INE257A01026,
2016-01-08,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-08,BPCL,BPCL,INE029A01011,
2016-01-08,CAIRN,CAIRN,INE910H01017,
2016-01-08,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-08,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-08,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-08,GAIL,GAIL,INE129A01019,
2016-01-08,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-08,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-08,HDFC,HDFC,INE001A01036,
2016-01-08,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-08,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-08,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-08,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-08,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-08,IDEA,IDEA,INE669E01016,
2016-01-08,INDUSINDBK,INDUSINDBK,INE095A01012,
2016-01-08,INFY,INFY,INE009A01021,Infosys Ltd.
2016-01-08,ITC,ITC,INE154A01025,ITC Ltd.
2016-01-08,KOTAKBANK,KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
2016-01-08,LT,LT,INE018A01030,Larsen & Toubro Ltd.
2016-01-08,LUPIN,LUPIN,INE326A01037,
2016-01-08,M&M,M&M,INE101A01026,Mahindra & Mahindra Ltd.
2016-01-08,MARUTI,MARUTI,INE585B01010,Maruti Suzuki India Ltd.
2016-01-08,NTPC,NTPC,INE733E01010,NTPC Ltd.
2016-01-08,ONGC,ONGC,INE213A01029,Oil & Natural Gas Corporation Ltd.
2016-01-08,PNB,PNB,INE160A01022,
2016-01-08,POWERGRID,POWERGRID,INE752E01010,Power Grid Corporation of India Ltd.
2016-01-08,RELIANCE,RELIANCE,INE002A01018,Reliance Industries Ltd.
2016-01-08,SBIN,SBIN,INE062A01020,State Bank of India
2016-01-08,SUNPHARMA,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
2016-01-08,TATAPOWER,TATAPOWER,INE245A01021,
2016-01-08,TATASTEEL,TATASTEEL,INE081A01012,Tata Steel Ltd.
2016-01-08,TCS,TCS,INE467B01029,Tata Consultancy Services Ltd.
2016-01-08,TECHM,TECHM,INE669C01036,Tech Mahindra Ltd.
2016-01-08,TMPV,TATAMOTORS,INE155A01022,Tata Motors Passenger Vehicles Ltd.
2016-01-08,ULTRACEMCO,ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
2016-01-08,VEDL,VEDL,INE205A01025,
2016-01-08,WIPRO,WIPRO,INE075A01022,Wipro Ltd.
2016-01-08,YESBANK,YESBANK,INE528G01019,
2016-01-08,ZEEL,ZEEL,INE256A01028,
2016-01-11,ACC,ACC,INE012A01025,
2016-01-11,ADANIPORTS,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.
2016-01-11,AMBUJACEM,AMBUJACEM,INE079A01024,
2016-01-11,ASIANPAINT,ASIANPAINT,INE021A01026,Asian Paints Ltd.
2016-01-11,AXISBANK,AXISBANK,INE238A01034,Axis Bank Ltd.
2016-01-11,BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.
2016-01-11,BANKBARODA,BANKBARODA,INE028A01039,
2016-01-11,BHARTIARTL,BHARTIARTL,INE397D01024,Bharti Airtel Ltd.
2016-01-11,BHEL,BHEL,INE257A01026,
2016-01-11,BOSCHLTD,BOSCHLTD,INE323A01026,
2016-01-11,BPCL,BPCL,INE029A01011,
2016-01-11,CAIRN,CAIRN,INE910H01017,
2016-01-11,CIPLA,CIPLA,INE059A01026,Cipla Ltd.
2016-01-11,COALINDIA,COALINDIA,INE522F01014,Coal India Ltd.
2016-01-11,DRREDDY,DRREDDY,INE089A01023,Dr. Reddy's Laboratories Ltd.
2016-01-11,GAIL,GAIL,INE129A01019,
2016-01-11,GRASIM,GRASIM,INE047A01013,Grasim Industries Ltd.
2016-01-11,HCLTECH,HCLTECH,INE860A01027,HCL Technologies Ltd.
2016-01-11,HDFC,HDFC,INE001A01036,
2016-01-11,HDFCBANK,HDFCBANK,INE040A01026,HDFC Bank Ltd.
2016-01-11,HEROMOTOCO,HEROMOTOCO,INE158A01026,
2016-01-11,HINDALCO,HINDALCO,INE038A01020,Hindalco Industries Ltd.
2016-01-11,HINDUNILVR,HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
2016-01-11,ICICIBANK,ICICIBANK,INE090A01021,ICICI Bank Ltd.
2016-01-11,IDEA,IDEA,INE669E01016,
2016-01-11,INDUSINDBK,INDUSINDBK,INE095A01012,
