symbol,ex_date,dividend_per_share,status,traded_on_ex_date,isin,subject,raw_file
SUNPHARMA,2020-02-17,3.0,OK,True,INE044A01028,Interim Dividend - Rs 3 Per Share,data/raw/corporate_actions/nse_api/SUNPHARMA/2019-10-01_2020-09-29.json
SHREECEM,2020-02-24,110.0,OK,True,INE070A01015,Interim Dividend - Rs 110 Per Share,data/raw/corporate_actions/nse_api/SHREECEM/2019-10-01_2020-09-29.json
APOLLOHOSP,2020-02-25,3.25,OK,True,INE437A01016,Interim Dividend - Rs 3.25 Per Share,data/raw/corporate_actions/nse_api/APOLLOHOSP/2019-10-01_2020-09-29.json
DIVISLAB,2020-02-25,16.0,OK,True,INE361B01024,Interim Dividend - Rs 16 Per Share,data/raw/corporate_actions/nse_api/DIVISLAB/2019-10-01_2020-09-29.json
TECHM,2020-03-02,10.0,OK,True,INE669C01028,Interim Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/TECHM/2019-10-01_2020-09-29.json
ASIANPAINT,2020-03-03,7.15,OK,True,INE021A01018,Interim Dividend - Rs 7.15 Per Share,data/raw/corporate_actions/nse_api/ASIANPAINT/2019-10-01_2020-09-29.json
BAJAJ-AUTO,2020-03-03,120.0,OK,True,INE917I01010,Interim Dividend - Rs 120 Per Share,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2019-10-01_2020-09-29.json
BAJAJFINSV,2020-03-03,5.0,OK,True,INE918I01018,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/BAJAJFINSV/2019-10-01_2020-09-29.json
BAJFINANCE,2020-03-03,10.0,OK,True,INE296A01016,Interim Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/BAJFINANCE/2019-10-01_2020-09-29.json
VEDL,2020-03-05,3.9,OK,True,INE205A01025,Interim Dividend - Rs 3.9 Per Share,data/raw/corporate_actions/nse_api/VEDL/2019-10-01_2020-09-29.json
ADANIPORTS,2020-03-16,3.2,OK,True,INE742F01042,Interim Dividend - Rs 3.20 Per Share,data/raw/corporate_actions/nse_api/ADANIPORTS/2019-10-01_2020-09-29.json
POWERGRID,2020-03-16,5.96,OK,True,INE752E01010,Interim Dividend - Rs 5.96 Per Share,data/raw/corporate_actions/nse_api/POWERGRID/2019-10-01_2020-09-29.json
CIPLA,2020-03-19,4.0,OK,True,INE059A01026,Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/CIPLA/2019-10-01_2020-09-29.json
COALINDIA,2020-03-19,12.0,OK,True,INE522F01014,Interim Dividend - Rs 12 Per Share,data/raw/corporate_actions/nse_api/COALINDIA/2019-10-01_2020-09-29.json
EICHERMOT,2020-03-19,125.0,OK,True,INE066A01013,Interim Dividend - Rs 125 Per Share,data/raw/corporate_actions/nse_api/EICHERMOT/2019-10-01_2020-09-29.json
TCS,2020-03-19,12.0,OK,True,INE467B01029,Interim Dividend - Rs 12 Per Share,data/raw/corporate_actions/nse_api/TCS/2019-10-01_2020-09-29.json
ADANIENT,2020-03-23,1.0,OK,True,INE423A01024,Interim Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/ADANIENT/2019-10-01_2020-09-29.json
BPCL,2020-03-23,16.5,OK,True,INE029A01011,Interim Dividend - Rs 16.50 Per Share,data/raw/corporate_actions/nse_api/BPCL/2019-10-01_2020-09-29.json
IOC,2020-03-23,4.25,OK,True,INE242A01010,Interim Dividend - Rs 4.25 Per Share,data/raw/corporate_actions/nse_api/IOC/2019-10-01_2020-09-29.json
ONGC,2020-03-23,5.0,OK,True,INE213A01011,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/ONGC/2019-10-01_2020-09-29.json
LT,2020-03-24,10.0,OK,True,INE018A01030,Interim Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/LT/2019-10-01_2020-09-29.json
NTPC,2020-03-26,0.5,OK,True,INE733E01010,Interim Dividend - Rs 0.50 Per Hsare,data/raw/corporate_actions/nse_api/NTPC/2019-10-01_2020-09-29.json
BRITANNIA,2020-04-29,35.0,OK,True,INE216A01014,Interim Dividend-Rs 35 Per Share,data/raw/corporate_actions/nse_api/BRITANNIA/2019-10-01_2020-09-29.json
INFRATEL,2020-05-05,4.1,OK,False,INE121J01017,Interim Dividend - Rs 4.10 Per Share,data/raw/corporate_actions/nse_api/INDUSTOWER/2019-10-01_2020-09-29.json
INFY,2020-05-29,9.5,OK,True,INE009A01021,Dividend - Rs 9.50 Per Share,data/raw/corporate_actions/nse_api/INFY/2019-10-01_2020-09-29.json
TCS,2020-06-03,6.0,OK,True,INE467B01029,Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/TCS/2019-10-01_2020-09-29.json
NESTLEIND,2020-06-11,61.0,OK,True,INE239A01016,Annual General Meeting/Dividend - Rs 61 Per Share,data/raw/corporate_actions/nse_api/NESTLEIND/2019-10-01_2020-09-29.json
TATACONSUM,2020-06-18,2.7,OK,True,INE192A01025,Annual General Meeting/Dividend -Rs 2.70 Per Share,data/raw/corporate_actions/nse_api/TATACONSUM/2019-10-01_2020-09-29.json
