symbol,api_symbol,action_type,ex_date,ratio_or_amount,adjustment_factor,affects_contract,subject,isin,source,status,notes
INFY,INFY,dividend,2022-05-31,Rs 16/share,,False,Annual General Meeting/Dividend - Rs 16 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2022-10-27,Rs 16.50/share,,False,Interim Dividend - Rs 16.50 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2023-06-02,Rs 17.50/share,,False,Annual General Meeting/Dividend - Rs 17.50 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2023-10-25,Rs 18/share,,False,Interim Dividend - Rs 18 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,special_dividend,2024-05-31,Rs 8/share,,False,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2024-10-29,Rs 21/share,,False,Interim Dividend - Rs 21 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2025-05-30,Rs 22/share,,False,Dividend - Rs 22 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2025-10-27,Rs 23/share,,False,Interim Dividend - Rs 23 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,other,2025-11-14,,,False,Buy Back,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
INFY,INFY,dividend,2026-06-10,Rs 25/share,,False,Dividend - Rs 25 Per Share,INE009A01021,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/INFY/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2020-08-13,Rs 60/share,,False,Dividend - Rs 60 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2021-08-05,Rs 45/share,,False,Dividend - Rs 45 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2022-08-03,Rs 60/share,,False,Dividend - Rs 60 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2023-08-03,Rs 90/share,,False,Dividend - Rs 90 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2024-08-02,Rs 125/share,,False,Dividend - Rs 125 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
MARUTI,MARUTI,dividend,2025-08-01,Rs 135/share,,False,Dividend - Rs 135 Per Share,INE585B01010,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/MARUTI/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,rights,2020-05-13,1:15,,True,Rights 1:15 @ Premium Rs 1247,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2019-10-01_2020-09-29.json,VERIFIED (lot) / factor UNVERIFIED,rights 1:15; F&O lot 500 -> 505 (data; NSE/FAOP/45895 lists old lot 505); price adjustment factor UNVERIFIED
RELIANCE,RELIANCE,dividend,2020-07-02,Rs 6.50/share,,False,Dividend - Rs 6.50  Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,dividend,2021-06-11,Rs 7/share,,False,Dividend - Rs 7 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,dividend,2022-08-18,Rs 8/share,,False,Dividend - Rs 8 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
