folder_symbol,nse_symbol,isin,series,ex_date,record_date,subject,dividend_per_share,dividend_status,raw_file
ADANIPORTS,ADANIPORTS,INE742F01042,EQ,2022-07-14,15-Jul-2022,Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/ADANIPORTS/2021-09-30_2022-09-29.json
ADANIPORTS,ADANIPORTS,INE742F01042,EQ,2023-07-28,28-Jul-2023,Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/ADANIPORTS/2022-09-30_2023-09-29.json
ADANIPORTS,ADANIPORTS,INE742F01042,EQ,2024-06-14,14-Jun-2024,Dividend - Rs 6 Per Share,6.0,OK,data/raw/corporate_actions/nse_api/ADANIPORTS/2023-09-30_2024-09-28.json
ADANIPORTS,ADANIPORTS,INE742F01042,EQ,2025-06-13,13-Jun-2025,Dividend - Rs 7 Per Share,7.0,OK,data/raw/corporate_actions/nse_api/ADANIPORTS/2024-09-29_2025-09-28.json
ADANIPORTS,ADANIPORTS,INE742F01042,EQ,2026-06-12,12-Jun-2026,Dividend - Rs 7.50 Per Share,7.5,OK,data/raw/corporate_actions/nse_api/ADANIPORTS/2025-09-29_2026-09-16.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2020-02-25,26-Feb-2020,Interim Dividend - Rs 3.25 Per Share,3.25,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2019-10-01_2020-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2020-09-17,-,Annual General Meeting/Dividend - Rs 2.75 Per Share,2.75,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2019-10-01_2020-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2021-08-18,-,Annual General Meeting/Dividend - Rs 3 Per Share,3.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2020-09-30_2021-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2022-08-18,-,Annual General Meeting/Dividend - Rs 11.75 Per Share,11.75,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2021-09-30_2022-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2023-02-24,24-Feb-2023,Interim Dividend - Rs 6 Per Share,6.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2022-09-30_2023-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2023-08-18,19-Aug-2023,Annual General Meeting/Dividend - Rs 9 Per Share,9.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2022-09-30_2023-09-29.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2024-02-20,20-Feb-2024,Interim Dividend - Rs 6 Per Share,6.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2023-09-30_2024-09-28.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2024-08-16,17-Aug-2024,Annual General Meeting/Dividend - Rs 10 Per Share,10.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2023-09-30_2024-09-28.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2025-02-14,15-Feb-2025,Interim Dividend - Rs 9 Per Share,9.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2024-09-29_2025-09-28.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2025-08-19,19-Aug-2025,Dividend - Rs 10 Per Share,10.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2024-09-29_2025-09-28.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2026-02-16,16-Feb-2026,Interim Dividend - Rs 10 Per Sh,10.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2025-09-29_2026-09-16.json
APOLLOHOSP,APOLLOHOSP,INE437A01016,EQ,2026-08-14,14-Aug-2026,Dividend - Rs 10 Per Sh,10.0,OK,data/raw/corporate_actions/nse_api/APOLLOHOSP/2025-09-29_2026-09-16.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2019-10-30,31-Oct-2019,Interim Dividend - Rs 3.35 Per Sh,3.35,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2019-10-01_2020-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2020-03-03,04-Mar-2020,Interim Dividend - Rs 7.15 Per Share,7.15,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2019-10-01_2020-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2020-07-23,-,Annual General Meeting/Dividend - Rs 1.50 Per Share,1.5,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2019-10-01_2020-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2020-10-28,30-Oct-2020,Interim Dividend - Rs 3.35 Per Share,3.35,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2020-09-30_2021-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2021-06-10,11-Jun-2021,Dividend - Rs 14.50 Per Sh,14.5,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2020-09-30_2021-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2021-10-28,29-Oct-2021,Interim Dividend - Rs 3.65 Per Share,3.65,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2021-09-30_2022-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2022-06-09,10-Jun-2022,Dividend - Rs 15.50 Per Share,15.5,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2021-09-30_2022-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2022-10-31,01-Nov-2022,Interim Dividend - Rs 4.40 Per Share,4.4,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2022-09-30_2023-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2023-06-09,09-Jun-2023,Dividend - Rs 21.25 Per Share,21.25,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2022-09-30_2023-09-29.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2023-11-03,03-Nov-2023,Interim Dividend - Rs 5.15 Per Share,5.15,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2023-09-30_2024-09-28.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2024-06-11,11-Jun-2024,Dividend - Rs 28.15 Per Share,28.15,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2023-09-30_2024-09-28.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2024-11-19,19-Nov-2024,Interim Dividend - Rs 4.25 Per Share,4.25,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2024-09-29_2025-09-28.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2025-06-10,10-Jun-2025,Dividend - Rs 20.55 Per Share,20.55,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2024-09-29_2025-09-28.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2025-11-18,18-Nov-2025,Interim Dividend - Rs 4.50 Per Share,4.5,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2025-09-29_2026-09-16.json
ASIANPAINT,ASIANPAINT,INE021A01018,EQ,2026-06-23,23-Jun-2026,Dividend - Rs 23 Per Share,23.0,OK,data/raw/corporate_actions/nse_api/ASIANPAINT/2025-09-29_2026-09-16.json
AXISBANK,AXISBANK,INE238A01026,EQ,2022-07-07,08-Jul-2022,Dividend - Rs 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/AXISBANK/2021-09-30_2022-09-29.json
