trade_id,cycle_id,date,symbol,sector,instrument,expiry,exit_date,strike,lots,lot_size,quantity,entry_quote,entry_premium,exit_price,status,assigned_or_exercised,underlying_entry,underlying_exit,premium_inr,option_pnl,stock_pnl,transaction_costs,margin_requirement,leveraged_capital_requirement,total_pnl,exit_reason
1,1,2020-01-01,TATASTEEL,Metals & Mining,PE,2020-01-30,2020-01-30,440.0,7.0,1500.0,10500,6.25,6.0938,0.0,expired_otm,False,467.75,448.55,63984.9,63984.9,0.0,93.41904318200001,4620000.0,924000.0,63891.480956818,CONTRACT_EXPIRY
2,2,2020-01-01,VEDL,Metals & Mining,PE,2020-01-30,2020-01-30,140.0,10.0,3500.0,35000,1.3,1.2,0.0,expired_otm,False,154.6,140.95,42000.0,42000.0,0.0,69.42956,4900000.0,980000.0,41930.57044,CONTRACT_EXPIRY
3,3,2020-01-01,ONGC,Oil Gas & Consumable Fuels,PE,2020-01-30,2020-01-30,120.0,2.0,4100.0,8200,1.05,0.95,4.400000000000006,assigned,True,127.45,115.6,7790.0,-28290.000000000044,0.0,4067.6614121999996,984000.0,196800.0,-32357.661412200043,CONTRACT_EXPIRY
4,4,2020-01-01,HINDALCO,Metals & Mining,PE,2020-01-30,2020-01-30,205.0,6.0,3500.0,21000,2.95,2.85,11.550000000000011,assigned,True,214.3,193.45,59850.0,-182700.00000000023,0.0,17744.487023,4305000.0,861000.0,-200444.48702300023,CONTRACT_EXPIRY
5,5,2020-01-01,BAJFINANCE,Financial Services,PE,2020-01-30,2020-01-30,4000.0,5.0,250.0,1250,26.1,25.4475,0.0,expired_otm,False,4231.3,4364.25,31809.375000000004,31809.375000000004,0.0,58.309753812500006,5000000.0,1000000.0,31751.065246187503,CONTRACT_EXPIRY
6,6,2020-01-01,COALINDIA,Oil Gas & Consumable Fuels,PE,2020-01-30,2020-01-30,200.0,9.0,2700.0,24300,3.15,3.05,12.050000000000011,assigned,True,211.95,187.95,74115.0,-218700.00000000026,0.0,20036.2076057,4860000.0,972000.0,-238736.20760570027,CONTRACT_EXPIRY
7,7,2020-01-01,NTPC,Power,PE,2020-01-30,2020-01-30,112.5,9.0,4800.0,43200,0.45,0.35,0.0,expired_otm,False,121.55,113.65,15119.999999999998,15119.999999999998,0.0,40.0986416,4860000.0,972000.0,15079.901358399999,CONTRACT_EXPIRY
8,8,2020-01-01,TCS,Information Technology,PE,2020-01-30,2020-01-30,2040.0,9.0,250.0,2250,19.7,19.2075,0.0,expired_otm,False,2167.6,2137.85,43216.875,43216.875,0.0,70.7573896625,4590000.0,918000.0,43146.1176103375,CONTRACT_EXPIRY
9,9,2020-01-01,INDUSINDBK,Financial Services,PE,2020-01-30,2020-01-30,1420.0,3.0,400.0,1200,24.7,24.0825,188.5,assigned,True,1484.3,1231.5,28899.0,-197301.0,0.0,7043.54473082,1704000.0,340800.0,-204344.54473082,CONTRACT_EXPIRY
13,3,2020-02-03,ONGC,Oil Gas & Consumable Fuels,CE,2020-02-27,2020-02-27,120.0,2.0,4100.0,8200,0.6,0.5,0.0,expired_otm,False,103.45,93.35,4100.0,4100.0,0.0,28.073838000000002,0.0,0.0,4071.926162,CONTRACT_EXPIRY
11,4,2020-01-31,HINDALCO,Metals & Mining,CE,2020-02-27,2020-02-27,205.0,6.0,3500.0,21000,2.6,2.5,0.0,expired_otm,False,189.35,168.35,52500.0,52500.0,0.0,80.88695,0.0,0.0,52419.11305,CONTRACT_EXPIRY
14,10,2020-02-04,BAJFINANCE,Financial Services,PE,2020-02-27,2020-02-27,4100.0,4.0,250.0,1000,15.05,14.6738,0.0,expired_otm,False,4519.25,4759.85,14673.8,14673.8,0.0,39.611757084,4100000.0,820000.0,14634.188242916,CONTRACT_EXPIRY
10,6,2020-01-31,COALINDIA,Oil Gas & Consumable Fuels,CE,2020-02-27,2020-02-27,200.0,9.0,2700.0,24300,2.1,2.0,0.0,expired_otm,False,181.7,174.1,48600.0,48600.0,0.0,76.63134799999999,0.0,0.0,48523.368652,CONTRACT_EXPIRY
12,9,2020-01-31,INDUSINDBK,Financial Services,CE,2020-02-27,2020-02-27,1420.0,3.0,400.0,1200,12.65,12.3338,0.0,expired_otm,False,1258.85,1115.55,14800.56,14800.56,0.0,39.75007506079999,0.0,0.0,14760.8099249392,CONTRACT_EXPIRY
15,11,2020-02-04,LT,Capital Goods,PE,2020-02-27,2020-02-27,1220.0,10.0,375.0,3750,7.95,7.7512,9.650000000000091,assigned,True,1291.75,1210.35,29067.0,-7120.500000000342,0.0,18818.21582906,4575000.0,915000.0,-25938.71582906034,CONTRACT_EXPIRY
16,12,2020-02-04,HCLTECH,Information Technology,PE,2020-02-27,2020-02-27,550.0,3.0,1400.0,4200,3.1,3.0,0.0,expired_otm,False,586.5,573.15,12600.0,12600.0,0.0,37.348868,2310000.0,462000.0,12562.651132,CONTRACT_EXPIRY
17,13,2020-02-04,BAJAJ-AUTO,Automobile,PE,2020-02-27,2020-02-27,3100.0,6.0,250.0,1500,51.2,49.92,163.4000000000001,assigned,True,3162.8,2936.6,74880.0,-170220.00000000015,0.0,19175.794558399997,4650000.0,930000.0,-189395.79455840014,CONTRACT_EXPIRY
22,3,2020-02-28,ONGC,Oil Gas & Consumable Fuels,CE,2020-03-26,2020-03-26,120.0,2.0,4100.0,8200,0.3,0.2,0.0,expired_otm,False,91.95,64.75,1640.0,1640.0,0.0,25.389535199999997,0.0,0.0,1614.6104648,CONTRACT_EXPIRY
20,4,2020-02-28,HINDALCO,Metals & Mining,CE,2020-03-26,2020-03-26,205.0,2.0,3500.0,7000,0.3,0.2,0.0,expired_otm,False,155.9,94.55,1400.0,1400.0,0.0,25.127651999999998,0.0,0.0,1374.872348,CONTRACT_EXPIRY
19,6,2020-02-28,COALINDIA,Oil Gas & Consumable Fuels,CE,2020-03-26,2020-03-26,188.0,9.0,2700.0,24300,0.75,0.65,0.0,expired_otm,False,168.4,123.25,15795.0,15795.0,0.0,40.835188099999996,0.0,0.0,15754.1648119,CONTRACT_EXPIRY
23,9,2020-03-12,INDUSINDBK,Financial Services,CE,2020-03-26,2020-03-26,1450.0,2.0,400.0,800,1.225,1.125,0.0,expired_otm,False,784.65,436.0,900.0,900.0,0.0,48.182062,0.0,0.0,851.817938,CONTRACT_EXPIRY
21,11,2020-02-28,LT,Capital Goods,CE,2020-03-26,2020-03-26,1280.0,10.0,375.0,3750,9.2,8.97,0.0,expired_otm,False,1187.55,838.05,33637.5,33637.5,0.0,60.30456725,0.0,0.0,33577.19543275,CONTRACT_EXPIRY
18,13,2020-02-28,BAJAJ-AUTO,Automobile,CE,2020-03-26,2020-03-26,3100.0,6.0,250.0,1500,11.2,10.92,0.0,expired_otm,False,2890.0,2107.05,16380.0,16380.0,0.0,41.47352839999999,0.0,0.0,16338.5264716,CONTRACT_EXPIRY
24,14,2020-03-27,INFY,Information Technology,PE,2020-04-30,2020-04-30,600.0,1.0,1200.0,1200,31.8,31.005,0.0,expired_otm,False,652.7,715.5,37206.0,37206.0,0.0,64.19844308,720000.0,144000.0,37141.80155692,CONTRACT_EXPIRY
25,15,2020-05-04,VEDL,Metals & Mining,PE,2020-05-28,2020-05-28,85.0,5.0,3500.0,17500,9.75,9.5062,0.0,expired_otm,False,79.95,89.95,166358.5,166358.5,0.0,205.12706803,1487500.0,297500.0,166153.37293197,CONTRACT_EXPIRY
