date,starting_cash,starting_nav,assigned_stock_value,n_assigned_stocks,assignments_today,open_put_exposure,covered_call_exposure,gross_exposure,borrowed,uncovered_usable_shares,covered_call_opportunities,covered_call_lots_ordered,covered_call_lots_sold,covered_call_premium,cash_after_calls,margin_utilization_after_calls,breach,new_put_capacity,new_put_lots_decided,new_put_lots_attempted,new_put_lots_executed,new_put_lots_rejected,rejection_reason
2019-12-31,20000000.0,20000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20000000.0,0.0,False,20000000.0,73,0,0,0,
2020-01-01,20002728.95890411,20002728.95890411,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20002728.95890411,0.35465975244001374,False,12896893.480284132,0,60,60,0,
2020-01-02,20371733.315641988,20070060.815641988,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20371733.315641988,0.3539732921219229,False,12965795.315641988,0,0,0,0,
2020-01-03,20374565.54470254,20034918.04470254,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20374565.54470254,0.3542151000650806,False,12938247.544702541,0,0,0,0,
2020-01-06,20383063.41315651,19781898.41315651,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20383063.41315651,0.3561016669317716,False,12737531.41315651,0,0,0,0,
2020-01-07,20385897.21741103,19886402.21741103,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20385897.21741103,0.3552528467826464,False,12821701.21741103,0,0,0,0,
2020-01-08,20388731.415641982,19842776.415641982,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20388731.415641982,0.35556561502342227,False,12787367.415641982,0,0,0,0,
2020-01-09,20391566.00790414,19975518.50790414,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20391566.00790414,0.3545034636872107,False,12894128.007904138,0,0,0,0,
2020-01-10,20394400.99425228,20085693.49425228,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20394400.99425228,0.35362774514270834,False,12982834.99425228,0,0,0,0,
2020-01-13,20402907.13571902,20155847.13571902,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20402907.13571902,0.35300863080028416,False,13040659.13571902,0,0,0,0,
2020-01-14,20405743.69879464,20207093.69879464,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20405743.69879464,0.3525925155889687,False,13082223.69879464,0,0,0,0,
2020-01-15,20408580.656230245,20203085.656230245,0.0,0,0,35823000.0,0.0,35823000.0,0.0,0,0,0,0,0.0,20408580.656230245,0.352594703661183,False,13079584.656230245,0,0,0,0,
