date,symbol,event,reason,shares,entry_day,put_retries,pending_calls,reasons,assigned_lots,assigned_shares,assigned_market_value,cash_before,cash_after,nav,margin_utilization,total_assigned_stock_exposure,sector,sector_exposure,top_sector,top_sector_exposure,cash_liquidity,margin_liquidity,remaining_liquidity,lots,strike,per_share,a,b,share_multiplier,position,cancelled_orders,action,pnl
2020-01-30,ONGC,covered_call_not_available,calls_skipped_distance_cap,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,LT,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,10.0,3750.0,4538812.5,8834612.261960533,4240849.363460532,18385601.37646053,0.20465822264685593,18813822.5,Capital Goods,4538812.5,Oil Gas & Consumable Fuels,4996100.0,-428221.12353946763,14622836.87646053,-428221.12353946763,,,,,,,,,,
2020-02-27,BAJAJ-AUTO,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,6.0,1500.0,4404900.0,4240849.363460532,-428221.12353946763,18385601.37646053,0.20465822264685593,18813822.5,Automobile,4404900.0,Oil Gas & Consumable Fuels,4996100.0,-428221.12353946763,14622836.87646053,-428221.12353946763,,,,,,,,,,
2020-02-27,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,HINDALCO,covered_call_leftover_shares,"covered 7000, uncovered 14000",21000.0,,,,,,,,,,,,,,,,,,,,2.0,205.0,,,,,,,,
2020-02-28,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,SKIP_NEW_PUT,cash_liquidity,,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,HINDALCO,covered_call_fill_failed,participation_or_margin,,,,,,,,,,,,,,,,,,,,,4.0,205.0,,,,,,,,
2020-03-02,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,BAJAJ-AUTO,dividend,,1500.0,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,
2020-03-03,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,INDUSINDBK,covered_call_not_available,calls_skipped_distance_cap,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
