date,nav,cash,stock_value,option_liability,borrowed,notional_exposure,unleveraged_requirement,leveraged_requirement,available_capital,margin_utilization,n_short_puts,n_covered_calls,n_stock_names,n_active_names,cash_interest_accrued,cash_interest,financing_cost,available_liquidity,margin_liquidity,cash_liquidity
2019-12-31,20000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0,0,0,0,0.0,0.0,0.0,11480200.0,11569405.5,11480200.0
2020-01-01,19984641.480284132,20368901.480284132,0.0,384260.0,0.0,35823000.0,35438740.0,7087748.0,12896893.480284132,0.35465975244001374,9,0,0,9,2728.9589041095887,2728.9589041095887,0.0,12896893.480284132,12896893.480284132,13204301.480284132
2020-01-02,20070060.815641988,20371733.315641988,0.0,301672.5,0.0,35823000.0,35521327.5,7104265.5,12965795.315641988,0.3539732921219229,9,0,0,9,2831.8353578548445,2831.8353578548445,0.0,12965795.315641988,12965795.315641988,13207133.315641988
2020-01-03,20034918.04470254,20374565.54470254,0.0,339647.5,0.0,35823000.0,35483352.5,7096670.5,12938247.544702541,0.3542151000650806,9,0,0,9,2832.229060554117,2832.229060554117,0.0,12938247.544702541,12938247.544702541,13209965.544702541
2020-01-06,19781898.41315651,20383063.41315651,0.0,601165.0,0.0,35823000.0,35221835.0,7044367.0,12737531.41315651,0.3561016669317716,9,0,0,9,8497.86845396655,8497.86845396655,0.0,12737531.41315651,12737531.41315651,13218463.41315651
2020-01-07,19886402.21741103,20385897.21741103,0.0,499495.0,0.0,35823000.0,35323505.0,7064701.0,12821701.21741103,0.3552528467826464,9,0,0,9,2833.8042545222656,2833.8042545222656,0.0,12821701.21741103,12821701.21741103,13221297.21741103
2020-01-08,19842776.415641982,20388731.415641982,0.0,545955.0,0.0,35823000.0,35277045.0,7055409.0,12787367.415641982,0.35556561502342227,9,0,0,9,2834.198230952117,2834.198230952117,0.0,12787367.415641982,12787367.415641982,13224131.415641982
2020-01-09,19975518.50790414,20391566.00790414,0.0,416047.5,0.0,35823000.0,35406952.5,7081390.5,12894128.007904138,0.3545034636872107,9,0,0,9,2834.592262155486,2834.592262155486,0.0,12894128.007904138,12894128.007904138,13226966.007904138
2020-01-10,20085693.49425228,20394400.99425228,0.0,308707.5,0.0,35823000.0,35514292.5,7102858.5,12982834.99425228,0.35362774514270834,9,0,0,9,2834.986348139988,2834.986348139988,0.0,12982834.99425228,12982834.99425228,13229800.99425228
2020-01-13,20155847.13571902,20402907.13571902,0.0,247060.0,0.0,35823000.0,35575940.0,7115188.0,13040659.13571902,0.35300863080028416,9,0,0,9,8506.141466739713,8506.141466739713,0.0,13040659.13571902,13040659.13571902,13238307.13571902
2020-01-14,20207093.69879464,20405743.69879464,0.0,198650.0,0.0,35823000.0,35624350.0,7124870.0,13082223.69879464,0.3525925155889687,9,0,0,9,2836.5630756220867,2836.5630756220867,0.0,13082223.69879464,13082223.69879464,13241143.69879464
