put_otm,call_otm,final_nav,total_pnl,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,max_dd_peak,max_dd_trough,max_dd_recovered,premium_sold,premium_income,delivery_leg_price_pnl,dividends,costs,cash_interest,puts_sold,calls_sold,assignment_rate,itm_put_rate,itm_cash_settled,call_away_rate,avg_days_held_post_delivery,margin_call_liquidations
0.02,0.02,62703980.21969114,42703980.21969114,0.19229761314899751,0.17338043003556716,0.8198269047938505,1.1062291099792092,-0.3009101699630842,0.639053220343429,2020-01-15,2020-03-30,2020-07-21,86330071.63409999,67264517.38659999,-27268921.796112113,2075551.4967647996,4914195.430467266,5547028.562905798,498.0,387.0,0.22690763052208834,0.285140562248996,29.0,0.8761061946902655,125.00884955752213,0
0.02,0.03,66874539.215821385,46874539.215821385,0.20417367491875127,0.1712703386634038,0.8868850640157764,1.199796592412332,-0.3029974622014129,0.6738461551305996,2020-01-15,2020-03-30,2020-07-23,84669134.517,66413131.527,-22868699.862549998,2095815.0,4738581.517450532,5972874.068821829,485.0,376.0,0.22061855670103092,0.27010309278350514,24.0,0.8785046728971962,125.25233644859813,0
0.02,0.04,65929995.767642766,45929995.767642766,0.20154005791421126,0.1698548125705131,0.8797609617691842,1.1794226620808745,-0.30275269729324805,0.6656920308756106,2020-01-15,2020-03-30,2020-07-21,78323045.7075,63566643.887499996,-20727070.368149996,2241090.0,4535174.362086192,5384506.61037905,471.0,404.0,0.22929936305732485,0.2951167728237792,31.0,0.8796296296296297,135.32407407407408,0
0.02,0.05,58275880.12810793,38275880.12810793,0.178932886980256,0.17712362567282455,0.7412451762832719,0.9993569180880751,-0.3034532640471973,0.5896555027743114,2020-01-15,2020-03-30,2020-07-21,66660139.959400006,49569364.646900006,-13943928.250925004,2615086.5,4082649.1144659687,4118060.4465989806,412.0,406.0,0.2354368932038835,0.30097087378640774,27.0,0.865979381443299,152.23711340206185,0
0.02,0.06,54977987.909147836,34977987.909147836,0.1684090974214787,0.17439264802501572,0.6975974806512232,0.9340891338606764,-0.3061877176259813,0.5500191148333263,2020-01-15,2020-03-30,2020-07-23,62595343.6683,48750135.9983,-16744515.433050007,2296861.5,3477031.143749495,4152591.087647342,420.0,411.0,0.21904761904761905,0.2857142857142857,28.0,0.8260869565217391,166.02173913043478,0
0.02,0.07,62565280.191248976,42565280.191248976,0.19189129580609943,0.1729906322382805,0.8192206748791114,1.1066912979335746,-0.3115951468385124,0.6158353162847854,2024-09-27,2025-02-28,,64560093.56069999,51530662.550699994,-12453090.686124988,2522125.0,3484131.579748327,4449714.906422355,411.0,407.0,0.20437956204379562,0.2798053527980535,31.0,0.8214285714285714,178.32142857142858,0
0.03,0.02,61041643.45390471,41041643.45390471,0.18737693770350905,0.16213379808523642,0.8387733284808685,1.1489229853914995,-0.2651210375489098,0.7067599743718623,2020-01-24,2020-04-03,2020-07-02,72798216.09799999,54842872.045499995,-16895543.743249986,2266606.9956863998,4292641.887130164,5120350.043098579,473.0,370.0,0.20718816067653276,0.25158562367864695,21.0,0.8673469387755102,137.0408163265306,0
0.03,0.03,60658477.785363294,40658477.785363294,0.1862266733531035,0.16300830643909764,0.8290825162947649,1.132852470072677,-0.2672078180924611,0.6969357209775354,2020-01-24,2020-04-03,2020-07-02,73693024.3629,54459381.165400006,-17188769.440525014,2274046.9956863998,4222524.064913288,5336343.129715336,479.0,385.0,0.2045929018789144,0.25052192066805845,22.0,0.8571428571428571,144.66326530612244,0
0.03,0.04,62560661.72480668,42560661.72480668,0.1918777530487925,0.16309034701720995,0.8584881097193825,1.176784122581662,-0.2699062324914103,0.710905232819694,2020-02-07,2020-04-03,2020-07-02,67562170.7395,51949547.3495,-12777843.266150001,2302406.9956863998,3981572.744931396,5068123.390701758,469.0,401.0,0.2046908315565032,0.2515991471215352,22.0,0.84375,149.03125,0
0.03,0.05,62186730.58559573,42186730.58559573,0.19077845540831495,0.1608183688572816,0.862419223888004,1.1871724474982448,-0.27104933416771115,0.7038514076934468,2020-02-07,2020-04-03,2020-07-02,65592776.1749,52024606.819900006,-12720582.059900004,2011080.4989216,4044475.7777797496,4916101.10445405,453.0,426.0,0.2097130242825607,0.2671081677704194,26.0,0.8105263157894737,164.89473684210526,0
0.03,0.06,63518965.55629534,43518965.55629534,0.19466984077675575,0.17101711353268695,0.8405770504441255,1.1450694770662524,-0.2735400571612908,0.7116684949070189,2020-02-07,2020-04-03,2020-07-02,63803928.643,49402158.4405,-8822908.775249999,1754031.7462255997,3805927.822788815,4991611.967608611,465.0,402.0,0.1978494623655914,0.26666666666666666,32.0,0.8043478260869565,160.3913043478261,0
0.03,0.07,56467449.11423247,36467449.11423247,0.17322640006306633,0.1693081040915203,0.7381285376070033,0.9951682860573767,-0.28667137780306606,0.6042682090922493,2024-09-27,2025-02-28,,55294093.326900005,43389486.04190001,-10497352.724000005,2452355.2494608,3082595.481927747,4205556.028799448,420.0,378.0,0.19047619047619047,0.26904761904761904,33.0,0.825,188.25,0
0.04,0.02,57243217.51766656,37243217.51766656,0.17569299627614043,0.13764858846077782,0.8877425745877846,1.2194912560890583,-0.22476148505519433,0.7816864007327402,2024-09-27,2025-04-07,2025-12-31,61173568.3282,46818054.010699995,-13896113.412970215,1710617.4946079995,3814346.328789606,6425005.754118511,547.0,311.0,0.1663619744058501,0.20292504570383912,20.0,0.8791208791208791,120.6043956043956,0
0.04,0.03,58774324.095849894,38774324.095849894,0.18047936249370178,0.13822497791536772,0.9145900107588749,1.2644713466059416,-0.22252368838177605,0.8110568533452479,2024-09-27,2025-02-28,,57783970.5661,44472423.8761,-9237698.639450006,2020750.0,3826879.3627613974,5345728.221961188,505.0,346.0,0.18811881188118812,0.22178217821782178,17.0,0.8736842105263158,129.2736842105263,0
0.04,0.04,55742969.78162336,35742969.78162336,0.1708968521991887,0.14266064126034186,0.832322459127457,1.1304470066522725,-0.20811673921706397,0.8211586095481958,2024-09-27,2025-04-07,2026-01-05,58007245.6189,41523534.12890001,-10291387.45525001,2318702.5,3649667.4686570032,5841788.076630378,535.0,340.0,0.16822429906542055,0.2,17.0,0.8666666666666667,132.06666666666666,0
