put_otm,call_otm,final_nav,total_pnl,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,max_dd_peak,max_dd_trough,max_dd_recovered,premium_sold,premium_income,delivery_leg_price_pnl,dividends,costs,cash_interest,puts_sold,calls_sold,assignment_rate,itm_put_rate,itm_cash_settled,call_away_rate,avg_days_held_post_delivery,margin_call_liquidations
0.04,0.05,58376608.61964983,38376608.61964983,0.17924630770942396,0.14264248614133912,0.8832308340529029,1.2092975718780543,-0.2297092188395501,0.7803183024823481,2024-09-27,2025-04-07,,55035532.1897,38895544.139699996,-4773977.86187499,2122779.5,3504080.782478004,5636343.624302786,507.0,361.0,0.1755424063116371,0.20512820512820512,15.0,0.8651685393258427,144.2808988764045,0
0.04,0.06,49843163.315986946,29843163.315986946,0.15090785885600133,0.15197339241533636,0.6747344193678212,0.9160268538509418,-0.21660562081018153,0.696694103742796,2024-09-27,2025-04-07,,48061804.2217,34313815.131699994,-8001274.207749993,1824877.5,3065148.6179553242,4770893.50999224,474.0,369.0,0.17721518987341772,0.2109704641350211,16.0,0.8214285714285714,159.11904761904762,0
0.04,0.07,57459550.488050714,37459550.488050714,0.17637579362058342,0.150005864008289,0.8305667622780778,1.1314172156168232,-0.23335346708014337,0.7558310396134315,2024-09-27,2025-04-07,2026-05-20,49899119.9684,34317558.9259,-166427.6814999953,1445622.5,3337014.5695730844,5199811.313223828,466.0,353.0,0.1781115879828326,0.21244635193133046,16.0,0.8554216867469879,149.3734939759036,0
0.05,0.02,50316528.3562247,30316528.3562247,0.15258351705348572,0.12216685489744955,0.8178610755820368,1.1053409044820022,-0.20318838987875532,0.7509460414767494,2024-09-27,2025-02-25,,49240910.8951,35681934.0951,-10944231.254449997,1628780.0,3234964.9338014657,7185010.449376152,597.0,253.0,0.135678391959799,0.16080402010050251,15.0,0.9135802469135802,111.72839506172839,0
0.05,0.03,49368849.80745682,29368849.80745682,0.14921528341153967,0.12226483589922615,0.7928469664626121,1.0733498283420804,-0.2208421364330606,0.6756649153173189,2024-09-27,2025-02-28,,46579053.0071,32505103.599600002,-9020783.754450005,1851325.0,3096119.1056853863,7129324.067992218,595.0,248.0,0.13445378151260504,0.15966386554621848,15.0,0.9125,113.9125,0
0.05,0.04,55901785.61571152,35901785.61571152,0.1714097041120226,0.12102017855030682,0.961204349201744,1.2991262655692368,-0.21003805165998723,0.8160888122762785,2024-09-27,2025-04-07,2026-01-29,49441390.3235,35179300.2985,-5330754.341500007,1495300.0,3118772.216225477,7676711.874936947,590.0,253.0,0.1271186440677966,0.15084745762711865,14.0,0.92,119.50666666666666,0
0.05,0.05,60527071.71887184,40527071.71887184,0.1858307761491358,0.12521932792428994,1.0328775955434417,1.4132193549566754,-0.2023301669502915,0.9184531350423426,2024-09-27,2025-02-28,2025-12-12,49642501.1325,35049979.87,-82998.69775000215,1360122.5,3350331.7021825924,7550299.748804566,562.0,284.0,0.13167259786476868,0.1601423487544484,16.0,0.918918918918919,132.93243243243242,0
0.05,0.06,50781430.78274782,30781430.78274782,0.15421628627543105,0.13896251370919083,0.7453746966673778,1.0000737005031042,-0.2546795374427173,0.605530730202922,2024-09-27,2025-01-13,,45665694.4883,31848799.405800004,-5784741.691500004,1699802.5,2831885.2828436773,5849455.851291558,545.0,318.0,0.13211009174311927,0.1651376146788991,18.0,0.8611111111111112,159.94444444444446,0
0.05,0.07,57101033.85852884,37101033.85852884,0.17524304149639236,0.1386983033473194,0.879461198443085,1.1878987943014596,-0.23088088761603676,0.7590192644608499,2024-09-27,2025-04-07,2026-01-06,46778360.4308,31077655.7108,1164386.626000002,1735390.0,2949315.116060396,6072916.637789279,541.0,339.0,0.12939001848428835,0.1589648798521257,16.0,0.9142857142857143,165.1,0
0.06,0.02,54842644.86656983,34842644.86656983,0.16796591018281437,0.10871125852263855,1.0292899771397366,1.4108982011937126,-0.16291743577927065,1.0309879318895228,2024-09-27,2025-04-07,2025-07-23,44943530.8126,32778242.7751,-4726873.77445,1026650.0,3046833.9434042396,8811459.809324019,614.0,205.0,0.11889250814332247,0.13517915309446255,10.0,0.9315068493150684,94.4931506849315,0
0.06,0.03,52115583.3218221,32115583.3218221,0.15883269009632706,0.11095986938926172,0.93853004376701,1.2584017938567742,-0.18966236585998786,0.8374496931751878,2024-09-27,2025-04-07,2025-09-19,41238652.865499996,29387221.547999997,-3900403.6581999958,1247150.0,2904493.2879972076,8286108.720019319,624.0,220.0,0.11858974358974358,0.1346153846153846,10.0,0.918918918918919,102.04054054054055,0
0.06,0.04,53564958.84494876,33564958.84494876,0.16373582109282125,0.10772909772986555,1.003269927577828,1.3683202818719946,-0.18750276340753547,0.8732448424610308,2024-09-27,2025-02-28,2025-12-30,40245599.7476,28715145.125099998,-2361010.4402499944,1521950.0,2577267.85165161,8266142.011750417,598.0,222.0,0.10702341137123746,0.12374581939799331,10.0,0.921875,117.890625,0
0.06,0.05,55289234.956902556,35289234.956902556,0.16942479886016426,0.11763371861107257,0.9707012046691309,1.3258666857235473,-0.17078782303965334,0.9920191957761965,2024-09-27,2025-02-28,2025-10-01,41384283.8785,29035097.696000002,-529325.2652500011,1530762.5,2672182.633710473,7924882.659862967,595.0,255.0,0.11260504201680673,0.13277310924369748,12.0,0.8955223880597015,134.0597014925373,0
0.06,0.06,56222841.61608378,36222841.61608378,0.1724427121155203,0.12193016204166672,0.9623116448158631,1.3169062518696033,-0.19583759340713602,0.8805393750781088,2024-09-27,2025-01-27,2025-10-16,40163568.4706,28093524.550600003,2096636.9697499946,1520772.5,2638284.4784415923,7150192.074175374,577.0,279.0,0.11091854419410745,0.13518197573656845,14.0,0.90625,152.1875,0
0.06,0.07,55327248.07254512,35327248.07254512,0.1695485164328756,0.12687336292425938,0.909826395655588,1.2375398757437617,-0.17758760300260035,0.9547317130599087,2024-10-01,2025-02-28,2025-10-21,37747647.2374,27310881.869900003,2284000.7197499983,1771382.5,2276216.1064573573,6237199.089352442,553.0,313.0,0.11030741410488246,0.13381555153707053,13.0,0.8524590163934426,180.85245901639345,0
0.07,0.02,54947664.395747,34947664.395747,0.16830988193854535,0.09823052450572416,1.1309798633232753,1.542523895396528,-0.12292417718029736,1.3692170718513668,2024-09-27,2025-04-07,2025-05-16,39823635.3485,29766708.9485,-3427281.995699998,895125.0,2429171.112344645,10142283.55529156,632.0,154.0,0.09335443037974683,0.1060126582278481,8.0,0.9152542372881356,86.45762711864407,0
0.07,0.03,55046969.11099829,35046969.11099829,0.1686346246217174,0.10069152698570964,1.1084994155023393,1.5362323680543921,-0.1499715106306877,1.1244443955558237,2024-09-27,2025-02-28,2025-06-10,39676169.7125,29326541.162499998,-2473436.745699998,1355575.0,2559406.4510092624,9397696.145207651,620.0,184.0,0.09838709677419355,0.10806451612903226,6.0,0.9016393442622951,100.91803278688525,0
0.07,0.04,55027223.44367862,35027223.44367862,0.16857009255823718,0.10281063988253672,1.0872083421926415,1.503126384526753,-0.15974653012546547,1.0552347673895743,2024-09-27,2025-02-28,2025-06-27,38134724.6875,27785096.1375,-828498.7064999975,1260650.0,2489759.874669494,9299735.887348128,613.0,187.0,0.09951060358890701,0.10766721044045677,5.0,0.9180327868852459,102.37704918032787,0
0.07,0.05,53242393.827807814,33242393.827807814,0.1626544059293571,0.10916479317231771,0.9827783479880761,1.3378444918533072,-0.17218624419032702,0.9446422778672502,2024-09-27,2025-01-13,2025-10-27,35944131.3191,25810022.0466,195451.06225000322,1279747.5,2277021.5289465245,8234194.747904441,600.0,223.0,0.09833333333333333,0.10666666666666667,5.0,0.8983050847457628,127.76271186440678,0
0.07,0.06,54186314.53172225,34186314.53172225,0.1658035095330339,0.11444048961134787,0.9668140009881425,1.312690905571033,-0.15704793779084414,1.055750950094298,2024-09-27,2025-02-28,2025-06-27,36782170.2094,26715627.509399995,501688.02350000665,1427797.5,2382723.569435455,7923925.068257682,589.0,248.0,0.100169779286927,0.11375212224108659,8.0,0.8983050847457628,141.54237288135593,0
0.07,0.07,55698342.92613085,35698342.92613085,0.1707525195966364,0.11833776319015823,0.9754120027295585,1.3188322617895054,-0.15676259698924588,1.0892427331268966,2024-09-27,2025-02-28,2025-08-19,36027345.4982,25253004.7282,3724053.023499999,1201007.5,2175556.7991811973,7695834.473612044,574.0,263.0,0.09581881533101046,0.11149825783972125,9.0,0.8909090909090909,159.6909090909091,0
