,premium_sold,option_pnl,stock_pnl,costs,buybacks,dividends,premium_income,delivery_leg_price_pnl,total_pnl,premium_capture,premium_capture_strict,cash_interest
ranked_L1,14841456.3382,426890.7807000008,9709745.040599998,1081494.2402285526,3027319.6575,546485.0,11814136.680699999,-2223985.8594000004,9055141.581071446,0.7960227360095337,0.02876340238937596,7444518.783514833
ranked_L2,40392077.6175,1000418.4375000019,26899071.191118892,2796697.3225868936,8439880.129999999,1396426.2473039997,31952197.4875,-5449134.106185105,25102792.306032002,0.7910511014084753,0.024767689520050023,6080376.999939384
ranked_L3,57783970.5661,-3221586.323899992,40477061.56054999,3826879.3627613974,13311546.690000001,2020750.0,44472423.8761,-9237698.639450006,33428595.8738886,0.7696325371969255,-0.05575224915038969,5345728.221961188
ranked_L4,69423920.3456,-2403903.179399994,38318548.39549999,3840460.224436493,17580245.275000002,2852625.0,51843675.07059999,-18781654.854499996,32074184.9916635,0.7467696265569045,-0.03462643952449094,5279380.964069777
ranked_L5,78538844.2218,-669311.988199993,31288719.691099994,3548254.0926168747,22035674.56,2497025.0,56503169.6618,-28380786.958899997,27071153.610283125,0.7194296048237037,-0.00852205039215757,4971615.089947492
