series,regime,days,ann_return,ann_vol,sharpe,cumulative,worst_day
ranked_L1,bull,915,0.10519391286480087,0.038175594029902546,1.3861135689327173,0.46116008769192196,-0.013636538380333518
ranked_L1,sideways,426,0.08637794533444461,0.0495449690697432,0.6315886267124444,0.1547985969225223,-0.014620543269127761
ranked_L1,bear,263,0.07791848073342474,0.07454129762888625,0.38137972027679073,0.0815703656214617,-0.024906369203462675
ranked_L2,bull,915,0.16902270650538148,0.08579361294633973,1.3607079925500665,0.8223667080689026,-0.029783737269793553
ranked_L2,sideways,426,0.14138631011857114,0.10554938382655828,0.8175214064848098,0.2580428856919508,-0.0318427197386939
ranked_L2,bear,263,0.11836664340270321,0.1609801275053335,0.42781611630199146,0.11626153461920619,-0.05085577960256904
ranked_L3,bull,915,0.20925635068901782,0.11561051232438653,1.3577636290175958,1.0858071818157917,-0.04622095916926472
ranked_L3,sideways,426,0.10904575242030425,0.1367190424566612,0.39462759309206796,0.1835432768979317,-0.046819700259256636
ranked_L3,bear,263,0.18699920837889816,0.19976143040716388,0.6882265046102678,0.19041762016693764,-0.03889891490544006
ranked_L4,bull,915,0.1990464773689763,0.1396318965000848,1.0511282199086003,0.9874548114122188,-0.0603826650750342
ranked_L4,sideways,426,0.13457097988244598,0.1540992544567752,0.5157711460047615,0.23043315220584049,-0.04533737077379518
ranked_L4,bear,263,0.18119962497812334,0.23886460021719783,0.5512978103659871,0.17266818494253222,-0.05339212168002827
ranked_L5,bull,915,0.17931334726947964,0.16140579043571407,0.7871479164490173,0.8278885651562036,-0.07566584932852105
ranked_L5,sideways,426,0.11017757600311373,0.17529935672586558,0.3142474861539635,0.17375623624733305,-0.05943485680874283
ranked_L5,bear,263,0.22845899463747146,0.2948284347625866,0.6069422643101948,0.21283792516678957,-0.07349257952679944
NIFTY 50 TRI B&H,bull,915,0.23590156694645087,0.13637131709652436,1.3464877928231844,1.2758896791201004,-0.05864652378457058
NIFTY 50 TRI B&H,sideways,426,-0.010690843197928873,0.15206335257555278,-0.43253609071097854,-0.03692541855295561,-0.048957027242676254
NIFTY 50 TRI B&H,bear,263,0.014826190270440315,0.3085371789789847,-0.11231898221416263,-0.03431703320671331,-0.1291457498898262
Equal-weight top-20,bull,915,0.09742676874225356,0.10273708858380096,0.4399256841685499,0.39717859073232264,-0.05282415989215361
Equal-weight top-20,sideways,426,0.07878969430275286,0.08729372849096793,0.27155811861484824,0.13511620445785777,-0.03741678384526492
Equal-weight top-20,bear,263,0.15339905910842128,0.13311480230739697,0.7802493148085557,0.162809427135022,-0.03927209790447306
