slippage_level,ticks,pct_of_premium,equity_sale_bps,leverage,final_nav,cagr,ann_vol,sharpe,max_drawdown,n_puts_sold,transaction_costs,cagr_vs_base
zero,0,0.0,0.0,1.0,36979202.30677157,0.0992215762975115,0.048610825269772624,0.9299108989540881,-0.06317216488480426,611,1081571.791910471,0.002206184738846373
zero,0,0.0,0.0,2.0,51117628.52909666,0.15538917401246044,0.10696408119498749,0.9408294591263248,-0.14946818383905525,578,2896897.805976155,-0.00022789050269911293
zero,0,0.0,0.0,3.0,58396337.1895724,0.17930764035157742,0.1394233260246991,0.9006905516979707,-0.20369578843990843,529,3851446.3043577215,-0.001171722142124354
zero,0,0.0,0.0,4.0,64157178.84246226,0.19650961390060862,0.1651323940480561,0.8739372332232371,-0.2827854791949922,497,4742624.626491522,0.020468059925903503
zero,0,0.0,0.0,5.0,55122625.10875691,0.16888169963015298,0.19387358968932367,0.6482681082817083,-0.35660831903595736,491,3857622.9035247955,0.01029836624306335
low,1,0.0125,2.5,1.0,36761396.778689146,0.09822255718069872,0.0487421504668992,0.9085096609055133,-0.064268614028971,610,1081648.7260487347,0.0012071656220336013
low,1,0.0125,2.5,2.0,50171748.10651243,0.1520724324421605,0.10695588084327894,0.9134666870216896,-0.15417355782796738,578,2792190.0609840713,-0.0035446320729990433
low,1,0.0125,2.5,3.0,58697089.54820612,0.18024046235227287,0.13875782610314844,0.9101721526176901,-0.22680223091576523,521,3766253.4817197914,-0.00023890014142891047
low,1,0.0125,2.5,4.0,62422767.211054355,0.19147301393668203,0.16424490577905343,0.8515508902595612,-0.2952230944187988,499,4649202.726969434,0.015431459961976923
low,1,0.0125,2.5,5.0,47695269.945158705,0.14313109756543296,0.19266955910210942,0.5329924691880027,-0.3508064779377128,453,3256208.4229999306,-0.015452235821656668
base,2,0.025,5.0,1.0,36499660.36458634,0.09701539155866512,0.048892112053082255,0.8829202511501325,-0.06540343148207473,610,1081494.2402285526,0.0
base,2,0.025,5.0,2.0,51183169.305971295,0.15561706451515955,0.10671280623375298,0.9446921263656803,-0.15671260551006883,574,2796697.3225868936,0.0
base,2,0.025,5.0,3.0,58774324.095849894,0.18047936249370178,0.13822497791536772,0.9145900107588749,-0.22252368838177605,505,3826879.3627613974,0.0
base,2,0.025,5.0,4.0,57353565.955733284,0.1760415539747051,0.1635274111419587,0.7731324762021354,-0.29993632919324065,480,3840460.2244364936,0.0
base,2,0.025,5.0,5.0,52042768.70023064,0.15858333338708963,0.192911705407508,0.6036344911306754,-0.3549894555504456,455,3548254.0926168747,0.0
high,4,0.05,10.0,1.0,35918766.17231345,0.09430983654524971,0.04919420748844452,0.82657604486788,-0.06409682561877061,609,1067808.1848021883,-0.002705555013415406
high,4,0.05,10.0,2.0,48102818.77320625,0.14462915463604786,0.10569301311592248,0.860448813281142,-0.18391816397564364,558,2635221.2507902347,-0.01098790987911169
high,4,0.05,10.0,3.0,54587949.559252724,0.16712938302391533,0.13856462505676415,0.8289185951295023,-0.23089769932212934,537,3660940.6781041604,-0.013349979469786444
high,4,0.05,10.0,4.0,55334008.992075734,0.1695705130034597,0.163050730628773,0.7403136087936033,-0.3083881045858714,505,3945811.3095843173,-0.006471040971245401
high,4,0.05,10.0,5.0,46958108.32206965,0.14039372824712903,0.1984043158245215,0.5111850522780911,-0.3543766549978937,475,3701238.6410358786,-0.018189605139960596
stress,8,0.1,20.0,1.0,34162502.36038366,0.08589846032344561,0.05137931136495378,0.6402987870583469,-0.07193531815899112,604,1075979.3635621585,-0.011116931235219507
stress,8,0.1,20.0,2.0,44422736.617870525,0.13069261807175248,0.10700669530202819,0.7343735541062194,-0.18350918917193382,571,2553845.065957219,-0.024924446443407078
stress,8,0.1,20.0,3.0,50831970.6181729,0.15439302259144205,0.135656510974642,0.7611215510686424,-0.22645228452107613,527,3481907.9244768983,-0.026086339902259725
stress,8,0.1,20.0,4.0,47279542.18586467,0.14159177617104834,0.16321979555633714,0.5882886037819886,-0.2915691686709637,492,3496419.789424509,-0.03444977780365677
stress,8,0.1,20.0,5.0,41137273.70035958,0.11739907392851312,0.19785187810054364,0.4069501892463618,-0.36124517775850284,474,3486729.320432494,-0.04118425945857651
