,ranked_L1,ranked_L2,ranked_L3,ranked_L4,ranked_L5,NIFTY 50 TRI B&H,Equal-weight top-20
2019-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,-0.0019874770250467577,-0.006747577939139826,-0.014268680768379616,-0.019028781682472684,-0.02414130700487771,-0.016783333899395014,-0.02559250144600389
2020-02,-0.01224073676738946,-0.028994721203620344,-0.05520901005306389,-0.07198918606072369,-0.09294950885667808,-0.06334136369186061,0.0015719779029164105
2020-03,-0.02645123568829244,-0.06247053582029716,-0.12221625290231841,-0.16299165670133575,-0.2161027825372418,-0.23025869019490142,0.006283817131649272
2020-04,0.021725464365176084,0.04755172062501711,0.08607864870750292,0.11774688683777867,0.16022535104063507,0.14691640108841653,0.01720769320462967
2020-05,0.021371444270453566,0.04146425261497,0.06401112810231013,0.08775683384752808,0.1003499088437374,-0.02742185710643341,0.07717134847664164
2020-06,0.020257524306211305,0.04313308248969561,0.07027673885976515,0.073416309986996,0.07988936319822804,0.07581247755203302,0.06195343381797569
2020-07,0.010995619099477105,0.03297265812834316,0.057187502006766255,0.07389471028526118,0.09520768656942646,0.07697020343934624,0.05160069997290839
2020-08,0.0019746817798456107,0.031389012633200375,0.05507997961949118,0.0720020599958231,0.09396049243292892,0.029704052452679264,0.012331385643922887
2020-09,0.004775889350214113,-0.019266566320611522,-0.04923214996874481,-0.07164817105661225,-0.10398636619336266,-0.01200181004800105,-0.0664142270544622
2020-10,0.012254085091336409,0.02808298433937706,0.04012297383944019,0.04267856877474019,0.04494684020757167,0.03690710146311549,-0.003075334664693119
2020-11,0.015231025604091064,0.04820537578066175,0.07531378897661489,0.08067120946175388,0.0727852312973063,0.11441842541516789,0.029524987018446636
2020-12,0.015174997294864712,0.025442530519623086,0.03795577623377455,0.05004981231309591,0.06448063087071643,0.0783279525285796,0.07162710935282379
2021-01,0.005275270533171117,0.011470342198284023,0.0168459224101285,0.019643254528309617,0.02547672389817035,-0.024562866588783705,0.005941392038610882
2021-02,0.01163283340730148,0.01361538183250044,0.02322443439606592,0.03490407054021483,0.04143509822918201,0.06713780553426218,0.019652096224686
2021-03,0.015856098431086263,0.027721286547088164,0.033915647551168604,0.03063320285185811,0.04099302563911866,0.011704596975133708,-0.011374144056693902
2021-04,0.010107777244881877,0.024255485306282853,0.03250096554674342,0.028818756669024337,0.017512715809652413,-0.003609505077916242,-0.0004744481405054568
2021-05,0.033233598405561615,0.06544371584809738,0.08176500439971446,0.0871090319288903,0.08265553246721558,0.0669093893507946,0.03012235992005219
2021-06,0.013154981874799798,0.028387553576504576,0.03374142057736362,0.0450759029929384,0.04687965014903339,0.011354470155501728,0.016331573923518805
2021-07,0.003694814359696874,0.0047957161837521856,0.005953481912281733,0.009104227316266256,-0.0016912924784899808,0.004389086067234427,0.010512333825764664
2021-08,0.017570543558080853,0.034996195559836574,0.04945753532047403,0.05821213607110254,0.06398428091361152,0.08740920783922879,0.03242902252708246
2021-09,0.00970943739653185,0.018235679762376833,0.02816432885345188,0.03389682960967355,0.037410222675257065,0.02890273105243435,0.008787693407964925
2021-10,0.010833810866586635,0.017532792136267794,0.026145558327566487,0.028220514953614106,0.03757613073236232,0.0042108900607382704,0.012150807333315417
2021-11,-0.0017630550743689133,-0.006632848450735862,-0.015463419415079671,-0.014677709105745729,-0.016249018346393473,-0.03836890898995815,-0.008604734630768052
2021-12,0.008636362743223325,0.013810063489401614,0.022609381885029034,0.020268427436290537,0.023052384464615328,0.022167114717219327,0.0028711224196988905
2022-01,-0.009377290388120407,-0.02303013814732957,-0.039357553619487784,-0.053328766545971185,-0.05740672395816104,-0.0005656655844482605,-0.04633569469857057
2022-02,0.0071339828960246265,0.01458596532139178,0.011740540507936048,0.017557261134234725,0.03136442569357012,-0.029789970684429123,-0.015672709852040945
