,final_nav,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,calmar
ranked_L1,36499660.36458634,0.09701539155866512,0.048892112053082255,0.8829202511501306,1.224698811617299,-0.06540343148207473,2024-09-27,2025-02-28,2025-05-12,1.4833379435948153
ranked_L2,51183169.305971295,0.15561706451515955,0.106712806233753,0.9446921263656789,1.3135126520008211,-0.15671260551006883,2024-09-27,2025-04-07,2025-09-19,0.9930092350175437
ranked_L3,58774324.095849894,0.18047936249370178,0.13822497791536772,0.9145900107588749,1.2644713466059416,-0.22252368838177605,2024-09-27,2025-02-28,,0.8110568533452479
ranked_L4,57353565.95573328,0.1760415539747051,0.16352741114195876,0.7731324762021365,1.0529139915870136,-0.29993632919324065,2024-09-27,2025-03-03,,0.5869297475508091
ranked_L5,52042768.70023064,0.15858333338708963,0.19291170540750802,0.6036344911306768,0.8156851325067541,-0.3549894555504456,2024-09-27,2025-03-03,,0.44672688415826545
NIFTY 50 TRI buy-and-hold,42332673.188476235,0.12233650623475434,0.17985615980107403,0.45375043999226666,0.611682191635234,-0.38265399051940385,2020-01-14,2020-03-23,2020-11-06,0.3197052932041769
"Selected universe buy-and-hold (20 names picked 2019-12-31, equal weight, never rebalanced)",42402298.6417899,0.12262043274418666,0.13200390470950077,0.5641201804180203,0.7196409893064214,-0.1812472626035011,2026-04-29,2026-06-25,,0.6765367431365445
"Selected universe, equal weight, rebalanced to the top-20 each expiry",36883386.150083594,0.09878270671425415,0.10458018549433985,0.4695876555116712,0.652928936926239,-0.16995011839565544,2021-10-18,2022-06-17,2023-07-31,0.5812452950711178
