window,series,return,max_dd_in_window,max_margin_util,peak_gross_exposure_x_nav,forced_liquidations,liquidation_pnl
covid_crash_2020,ranked_L1,-0.045604998718688616,-0.04701291427807519,0.20043578649429736,0.20078524022810837,0.0,0.0
covid_crash_2020,ranked_L2,-0.10162279970095889,-0.10395107215548027,0.17692738377330489,0.3546471916785601,0.0,0.0
covid_crash_2020,ranked_L3,-0.18810141128927804,-0.19201150084162288,0.20866673581902265,0.6274039965575786,0.0,0.0
covid_crash_2020,ranked_L4,-0.2447013912940944,-0.24918367844502332,0.2172586517896587,0.8709548875898112,0.0,0.0
covid_crash_2020,ranked_L5,-0.31381929041616785,-0.3191855224098926,0.22271046706305292,1.1140676683524082,0.0,0.0
covid_crash_2020,NIFTY 50 TRI B&H,-0.370879225770526,-0.370879225770526,,,,
covid_crash_2020,Equal-weight top-20,-0.006846390561981552,-0.010371683724943459,,,,
rate_hike_selloff_2022,ranked_L1,-0.03125745934005608,-0.04555863118232417,0.6428616855762295,0.6541900682267782,0.0,0.0
rate_hike_selloff_2022,ranked_L2,-0.0794987930205765,-0.10226295826826093,0.7485227389173322,1.5221849625873747,0.0,0.0
rate_hike_selloff_2022,ranked_L3,-0.1321585291218007,-0.1321585291218007,0.6703551757125911,2.0419387666042725,0.0,0.0
rate_hike_selloff_2022,ranked_L4,-0.16736068668232862,-0.16736068668232862,0.6562344708097576,2.667505277420107,0.0,0.0
rate_hike_selloff_2022,ranked_L5,-0.21126473170843596,-0.21126473170843596,0.6601180329161724,3.353853630132462,0.0,0.0
rate_hike_selloff_2022,NIFTY 50 TRI B&H,-0.1584248767127875,-0.1584248767127875,,,,
rate_hike_selloff_2022,Equal-weight top-20,-0.11928932660405256,-0.11928932660405256,,,,
fpi_outflow_correction_2024_25,ranked_L1,-0.06064252814126336,-0.06540343148207473,0.6961364690509818,0.70906073399498,0.0,0.0
fpi_outflow_correction_2024_25,ranked_L2,-0.14674139654213747,-0.1505670232878884,0.8973631791331655,1.842330840393011,0.0,0.0
fpi_outflow_correction_2024_25,ranked_L3,-0.2189659890845399,-0.22252368838177605,0.7867595645892553,2.4320899270372527,0.0,0.0
fpi_outflow_correction_2024_25,ranked_L4,-0.2973919751343398,-0.29993632919324065,0.6858608175033265,2.907285377058316,0.0,0.0
fpi_outflow_correction_2024_25,ranked_L5,-0.35187686348350444,-0.3549894555504456,0.6036637755999699,3.2160653871031673,0.0,0.0
fpi_outflow_correction_2024_25,NIFTY 50 TRI B&H,-0.15433273479087162,-0.15433273479087162,,,,
fpi_outflow_correction_2024_25,Equal-weight top-20,-0.12338795981011164,-0.12858627080472163,,,,
tariff_shock_2025,ranked_L1,-0.0330219594705925,-0.036635657150840606,0.7003419486692977,0.7046505719513372,0.0,0.0
tariff_shock_2025,ranked_L2,-0.07043200393629723,-0.07492428768620396,0.6728114682492358,1.384034232543396,0.0,0.0
tariff_shock_2025,ranked_L3,-0.052788911893640544,-0.0558588178773084,0.39149555182635165,1.1848511709914362,0.0,0.0
tariff_shock_2025,ranked_L4,-0.05490367963713205,-0.060246376200983276,0.2894035388585172,1.1634973613789545,0.0,0.0
tariff_shock_2025,ranked_L5,-0.061747913808681276,-0.06791061396568698,0.31308272977648155,1.5875216103172645,0.0,0.0
tariff_shock_2025,NIFTY 50 TRI B&H,-0.043343457774073224,-0.050176561592390034,,,,
tariff_shock_2025,Equal-weight top-20,-0.04568142017444976,-0.053712109129619545,,,,
