leverage,stop,total_pnl,cagr,max_drawdown,sharpe,calmar,stops,no_quote,assignments,cash_settled,recon,vs_off
1.0,off,15356053.398003757,0.0916534283999988,-0.07652504934224524,0.7046079381367016,1.197691856297857,0,0,108,0,4.470348358154297e-08,0.0
1.0,-10%,15108772.925524674,0.09047475923464732,-0.03317165595554805,1.080969117836239,2.7274718921445693,65,0,64,0,-5.960464477539063e-08,-247280.47247908264
1.0,-12%,15919660.176164925,0.09431402878581885,-0.06092526345089244,0.9230888821332655,1.548028247130006,42,0,88,0,-2.421438694000244e-08,563606.7781611681
1.0,-15%,16970617.143398173,0.09918229268540579,-0.06255001676679384,0.9547757352280863,1.5856477393953166,22,0,102,0,-1.30385160446167e-07,1614563.7453944162
1.0,-20%,16205853.399193808,0.09565155538815118,-0.07260561920037278,0.7918097685333353,1.3174125700130392,6,0,111,0,-4.284083843231201e-08,849800.0011900514
3.0,off,27132718.143341646,0.1410453915147749,-0.20484933361362578,0.691115765154441,0.6885323424132102,0,0,75,27,-4.470348358154297e-08,0.0
3.0,-10%,35230928.9302515,0.16923489600985642,-0.1551755867320036,1.0336796147176186,1.0906025849422691,64,0,58,2,0.0,8098210.786909856
3.0,-12%,30648827.535660565,0.15375186814334896,-0.27183139367569753,0.8094419180149204,0.5656148322837915,44,0,68,5,-5.587935447692871e-08,3516109.3923189193
3.0,-15%,40527071.71887184,0.1858307761491358,-0.2023301669502915,1.0328775955434417,0.9184531350423426,20,0,74,16,-1.341104507446289e-07,13394353.575530194
3.0,-20%,29616194.37419465,0.15009963430626994,-0.22132150277500828,0.7215775502732459,0.678197248908339,4,0,77,25,-8.568167686462402e-08,2483476.2308530062
5.0,off,23224344.534826577,0.1259431840531815,-0.35919076695363017,0.46354287222671675,0.35063034921897135,0,0,50,41,4.470348358154297e-08,0.0
5.0,-10%,44955280.401878126,0.19878863050387685,-0.25686452811008154,0.9638387041453763,0.7739045634930342,65,0,43,9,1.043081283569336e-07,21730935.86705155
5.0,-12%,35926376.30815989,0.1714890027225111,-0.35532889506516996,0.747430286972461,0.48262048233104926,43,0,48,23,1.7881393432617188e-07,12702031.773333311
5.0,-15%,38708473.241528325,0.18027569083810424,-0.30549278448964445,0.7693819871845817,0.5901143987386557,22,0,54,28,4.470348358154297e-08,15484128.706701748
5.0,-20%,30688767.507718667,0.15389185860037013,-0.32359222996524706,0.6056638852821585,0.47557340488953553,7,0,55,40,5.960464477539063e-08,7464422.972892091
