stop,stopped,no_quote,helped,hurt,gross_gain,gross_loss,net_saving
-5%,170,1,31,138,17653632.952687282,-30238743.883309536,-12585110.93062225
-8%,96,0,25,71,14071009.171509262,-24908498.151792046,-10837488.980282785
-10%,61,0,20,41,12120906.837983593,-16208798.451230358,-4087891.613246765
-12%,41,0,16,25,7210382.517742081,-11737432.41549597,-4527049.897753888
-15%,20,0,11,9,5583636.240510609,-3471318.147109679,2112318.093400929
-20%,5,0,4,1,1871315.5932022787,-8805.922543568493,1862509.6706587102
-25%,1,0,0,1,0.0,-8805.922543568493,-8805.922543568493
