date,symbol,event,opening_cash,premium_received,margin_requirement,leveraged_requirement,stock_cash_flow,transaction_costs,interest_income,borrowing_cost,closing_cash,available_liquidity,required_liquidity,remaining_liquidity,lots_considered,lots_executed,lots_rejected,rejection_reason
2019-12-31,TATASTEEL,put_decision,20000000.0,56700.00000000001,4620000.0,912660.0,0.0,0.0,0.0,0.0,20000000.0,20000000.0,912745.469906,19087254.530094,7,7,0,
2019-12-31,VEDL,put_decision,20000000.0,56000.0,4900000.0,968800.0,0.0,0.0,0.0,0.0,20000000.0,19076000.0,968884.70608,18107115.29392,10,10,0,
2019-12-31,ONGC,put_decision,20000000.0,36900.0,4920000.0,976620.0,0.0,0.0,0.0,0.0,20000000.0,18096000.0,976683.864542,17119316.135458,10,10,0,
2019-12-31,HINDALCO,put_decision,20000000.0,52500.0,4305000.0,850500.0,0.0,0.0,0.0,0.0,20000000.0,17112000.0,850580.88695,16261419.11305,6,6,0,
2020-01-01,,cash_interest,20000000.0,0.0,0.0,0.0,0.0,0.0,2728.9589041095887,0.0,20002728.95890411,16253728.95890411,0.0,16253728.95890411,0,0,0,
2020-01-01,TATASTEEL,option_sale,20002728.95890411,63984.9,4620000.0,910875.0,0.0,93.41904318200001,0.0,0.0,20066620.439860925,20002728.95890411,912608.5190431848,19090120.439860925,7,7,0,
2020-01-01,VEDL,option_sale,20066620.439860925,42000.0,4900000.0,970900.0,0.0,69.42956,0.0,0.0,20108551.010300927,19090120.439860925,974469.4295599982,18115651.010300927,10,10,0,
2020-01-01,ONGC,option_sale,20108551.010300927,7790.0,984000.0,195078.0,0.0,32.1002922,0.0,0.0,20116308.91000873,18115651.010300927,195930.10029219836,17919720.91000873,2,2,0,
2020-01-01,HINDALCO,option_sale,20116308.91000873,59850.0,4305000.0,848610.0,0.0,88.90712299999998,0.0,0.0,20176070.00288573,17919720.91000873,850798.9071229994,17068922.00288573,6,6,0,
2020-01-02,,cash_interest,20176070.00288573,0.0,0.0,0.0,0.0,0.0,2805.026499442291,0.0,20178875.02938517,17071727.02938517,0.0,17071727.02938517,0,0,0,
2020-01-03,,cash_interest,20178875.02938517,0.0,0.0,0.0,0.0,0.0,2805.416474975755,0.0,20181680.445860147,17132500.445860147,0.0,17132500.445860147,0,0,0,
2020-01-06,,cash_interest,20181680.445860147,0.0,0.0,0.0,0.0,0.0,8417.419514179504,0.0,20190097.865374327,17122473.865374327,0.0,17122473.865374327,0,0,0,
2020-01-07,,cash_interest,20190097.865374327,0.0,0.0,0.0,0.0,0.0,2806.976756653206,0.0,20192904.84213098,17028048.84213098,0.0,17028048.84213098,0,0,0,
2020-01-08,,cash_interest,20192904.84213098,0.0,0.0,0.0,0.0,0.0,2807.367003325854,0.0,20195712.209134307,17071228.209134307,0.0,17071228.209134307,0,0,0,
