date,nav,cash,stock_value,option_liability,borrowed,notional_exposure,unleveraged_requirement,leveraged_requirement,available_capital,margin_utilization,n_short_puts,n_covered_calls,n_stock_names,n_active_names,cash_interest_accrued,cash_interest,financing_cost,available_liquidity,margin_liquidity,cash_liquidity
2019-12-31,20000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0,0,0,0,0.0,0.0,0.0,16251000.0,16291420.0,16251000.0
2020-01-01,19994385.00288573,20176070.00288573,0.0,181685.0,0.0,14809000.0,14627315.0,2925463.0,17068922.00288573,0.14631422769831515,4,0,0,4,2728.9589041095887,2728.9589041095887,0.0,17068922.00288573,17068922.00288573,17214270.00288573
2020-01-02,20069650.02938517,20178875.02938517,0.0,109225.0,0.0,14809000.0,14699775.0,2939955.0,17129695.02938517,0.14648760669445837,4,0,0,4,2805.026499442291,2805.026499442291,0.0,17129695.02938517,17129695.02938517,17217075.02938517
2020-01-03,20049400.445860147,20181680.445860147,0.0,132280.0,0.0,14809000.0,14676720.0,2935344.0,17114056.445860147,0.1464055749660134,4,0,0,4,2805.416474975755,2805.416474975755,0.0,17114056.445860147,17114056.445860147,17219880.445860147
2020-01-06,19936277.865374327,20190097.865374327,0.0,253820.0,0.0,14809000.0,14555180.0,2911036.0,17025241.865374327,0.1460170258288754,4,0,0,4,8417.419514179504,8417.419514179504,0.0,17025241.865374327,17025241.865374327,17228297.865374327
2020-01-07,19989549.84213098,20192904.84213098,0.0,203355.0,0.0,14809000.0,14605645.0,2921129.0,17068420.84213098,0.14613280554438907,4,0,0,4,2806.976756653206,2806.976756653206,0.0,17068420.84213098,17068420.84213098,17231104.84213098
2020-01-08,19976467.209134307,20195712.209134307,0.0,219245.0,0.0,14809000.0,14589755.0,2917951.0,17058516.209134307,0.14606942105688023,4,0,0,4,2807.367003325854,2807.367003325854,0.0,17058516.209134307,17058516.209134307,17233912.209134307
2020-01-09,20049649.96643856,20198519.96643856,0.0,148870.0,0.0,14809000.0,14660130.0,2932026.0,17117623.96643856,0.146238263755625,4,0,0,4,2807.7573042534805,2807.7573042534805,0.0,17117623.96643856,17117623.96643856,17236719.96643856
2020-01-10,20073233.114098005,20201328.114098005,0.0,128095.0,0.0,14809000.0,14680905.0,2936181.0,17137052.114098005,0.14627344699832318,4,0,0,4,2808.1476594436294,2808.1476594436294,0.0,17137052.114098005,17137052.114098005,17239528.114098005
2020-01-13,20092868.728304718,20209753.728304718,0.0,116885.0,0.0,14809000.0,14692115.0,2938423.0,17154445.728304718,0.14624208418087453,4,0,0,4,8425.614206711532,8425.614206711532,0.0,17154445.728304718,17154445.728304718,17247953.728304718
2020-01-14,20120998.437764835,20212563.437764835,0.0,91565.0,0.0,14809000.0,14717435.0,2943487.0,17177511.437764835,0.14628931109479182,4,0,0,4,2809.709460117323,2809.709460117323,0.0,17177511.437764835,17177511.437764835,17250763.437764835
2020-01-15,20137518.537851546,20215373.537851546,0.0,77855.0,0.0,14809000.0,14731145.0,2946229.0,17191289.537851546,0.14630546432332822,4,0,0,4,2810.1000867106204,2810.1000867106204,0.0,17191289.537851546,17191289.537851546,17253573.537851546
2020-01-16,20124169.02861916,20218184.02861916,0.0,94015.0,0.0,14809000.0,14714985.0,2942997.0,17181172.02861916,0.1462419141786515,4,0,0,4,2810.490767611717,2810.490767611717,0.0,17181172.02861916,17181172.02861916,17256384.02861916
2020-01-17,20133809.91012199,20220994.91012199,0.0,87185.0,0.0,14809000.0,14721815.0,2944363.0,17189446.91012199,0.14623973371874158,4,0,0,4,2810.881502828162,2810.881502828162,0.0,17189446.91012199,17189446.91012199,17259194.91012199
2020-01-20,20128203.726999093,20229428.726999093,0.0,101225.0,0.0,14809000.0,14707775.0,2941555.0,17186648.726999093,0.14614095921805118,4,0,0,4,8433.816877102523,8433.816877102523,0.0,17186648.726999093,17186648.726999093,17267628.726999093
2020-01-21,20119726.17182307,20232241.17182307,0.0,112515.0,0.0,14809000.0,14696485.0,2939297.0,17180429.17182307,0.146090308332147,4,0,0,4,2812.4448239769013,2812.4448239769013,0.0,17180429.17182307,17180429.17182307,17270441.17182307
2020-01-22,20087474.00765393,20235054.00765393,0.0,147580.0,0.0,14809000.0,14661420.0,2932284.0,17155190.00765393,0.14597574582462244,4,0,0,4,2812.8358308607167,2812.8358308607167,0.0,17155190.00765393,17155190.00765393,17273254.00765393
