date,symbol,event,reason,shares,entry_day,put_retries,pending_calls,lots,strike,per_share,a,b,share_multiplier,position,cancelled_orders,action,pnl,reasons,assigned_lots,assigned_shares,assigned_market_value,cash_before,cash_after,nav,margin_utilization,total_assigned_stock_exposure,sector,sector_exposure,top_sector,top_sector_exposure,cash_liquidity,margin_liquidity,remaining_liquidity
2020-01-30,ONGC,covered_call_not_available,calls_skipped_distance_cap,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,HINDALCO,covered_call_leftover_shares,"covered 7000, uncovered 14000",21000.0,,,,2.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,HINDALCO,covered_call_fill_failed,participation_or_margin,,,,,4.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,ONGC,dividend,,8200.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
