cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,63984.9,63984.9,0.0,93.41904318200001,923370.0,4616850.0,440.0,0.0,,,,0,0,0,0,0,0,0,63984.9,0.0,93.41904318200001,63891.480956818,Metals & Mining,29,,
2,VEDL,2020-01-01,2020-01-30,put_expired_otm,1,0,False,False,42000.0,42000.0,0.0,69.42956,979300.0,4896500.0,140.0,0.0,,,,0,0,0,0,0,0,0,42000.0,0.0,69.42956,41930.57044,Metals & Mining,29,,
3,ONGC,2020-01-01,2021-06-25,residual_after_call_away,1,8,True,True,102628.24,51148.23999999996,107249.77500000005,8168.437071782351,196904.0,984520.0,120.0,115.6,2020-01-30,103.45,60.0,8200,0,7700,500,500,500,0,51148.23999999996,107249.77500000005,8168.43707178235,150229.57792821765,Oil Gas & Consumable Fuels,541,-0.036666666666666736,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,245330.0,-425500.0000000003,772529.9350000004,34633.9971328689,876742.0,4383710.0,205.0,193.45,2020-01-30,189.35,87.9,21000,0,17200,3800,14000,3800,0,-425500.0000000003,772529.9350000004,34633.997132868906,312395.9378671312,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,14673.8,14673.8,0.0,39.611757084,819910.0,4099550.0,4100.0,0.0,,,,0,0,0,0,0,0,0,14673.8,0.0,39.611757084,14634.188242916,Financial Services,23,,
6,VEDL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,499075.5,499075.5,0.0,568.18120409,890925.0,4454625.0,85.0,0.0,,,,0,0,0,0,0,0,0,499075.5,0.0,568.18120409,498507.31879591,Metals & Mining,24,,
7,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,164202.075,164202.075,0.0,202.7740201985,854820.0,4274100.0,1900.0,0.0,,,,0,0,0,0,0,0,0,164202.075,0.0,202.7740201985,163999.3009798015,Information Technology,24,,
8,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,173160.0,173160.0,0.0,212.5487288,821580.0,4107900.0,1380.0,0.0,,,,0,0,0,0,0,0,0,173160.0,0.0,212.5487288,172947.4512712,Oil Gas & Consumable Fuels,24,,
9,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,164092.80000000002,164092.80000000002,0.0,202.654781504,803580.0,4017900.0,670.0,0.0,,,,0,0,0,0,0,0,0,164092.80000000002,0.0,202.654781504,163890.145218496,Information Technology,24,,
10,COALINDIA,2020-05-04,2020-08-28,residual_after_call_away,1,3,True,True,533097.88,171177.87999999983,211065.3300000002,36149.3984675194,925344.0,4626720.0,140.0,133.9,2020-05-28,148.55,126.15,32400,0,29600,2800,2800,2800,0,171177.87999999983,211065.3300000002,36149.3984675194,346093.81153248064,Oil Gas & Consumable Fuels,116,-0.04357142857142848,-0.05787901418969377
