symbol,exit_reason,removal_date,decision_date,position_before_exit,cancelled_orders,fill_date,exit_action,exit_price,realized_pnl,transaction_cost,cash_before,cash_after,position_after_exit,nav_after,available_liquidity_after,margin_utilization_after,residual,data_unavailable
VEDL,UNIVERSE_REMOVAL,2020-07-31,2020-07-31,short PE K=105 x55800 exp 2020-08-27,,2020-08-03,buy back PE,1.7500,19530.000000000004,235.5959497,17480709.74048991,17382975.539876413,flat,24324151.539876413,6501275.539876413,0.5044342525117462,False,
GAIL,UNIVERSE_REMOVAL,2021-03-31,2021-03-31,67100 shares; short CE K=135 x67100 exp 2021-04-29,,2021-04-01,buy back CE + sell shares,8.4562|140.0799,540820.9675,10563.365349549977,-20908523.004312724,-12086775.649822444,flat,38293399.35017756,-12086775.649822444,0.26312720131892076,False,
