date,rank>2,rank>1.5,rank>1,rank>0.5
2019-12-31,20000000.0,20000000.0,20000000.0,20000000.0
2020-01-01,20000995.439860925,19994385.00288573,19984641.480284132,19979038.29061704
2020-01-02,20031085.249872487,20069650.02938517,20070060.815641988,20124131.479564868
2020-01-03,20032300.447744075,20049400.445860147,20034918.04470254,20075023.815879267
2020-01-06,20023872.205100685,19936277.865374327,19781898.41315651,19733922.017087907
2020-01-07,20036638.95478986,19989549.84213098,19886402.21741103,19832010.943255324
2020-01-08,20038381.092608724,19976467.209134307,19842776.415641982,19762044.01706559
2020-01-09,20058498.618611243,20049649.96643856,19975518.50790414,20022186.238573983
2020-01-10,20067066.532851383,20073233.114098005,20085693.49425228,20151827.607835803
2020-01-13,20080696.4404466,20092868.728304718,20155847.13571902,20236164.159047425
2020-01-14,20089790.90801508,20120998.437764835,20207093.69879464,20313060.869710047
2020-01-15,20092585.76409111,20137518.537851546,20203085.656230245,20332947.978402637
2020-01-16,20097481.008728713,20124169.02861916,20184615.508080658,20317677.985180534
2020-01-17,20102376.6419819,20133809.91012199,20166060.75440071,20297522.140099082
2020-01-20,20111814.7077503,20128203.726999093,20082275.17693433,20211687.049442742
2020-01-21,20108311.895844053,20119726.17182307,20086804.501516875,20202171.547311388
2020-01-22,20113734.472823586,20087474.00765393,19792071.720843326,19884982.6935975
2020-01-23,20123357.438742965,20130412.234546036,19890046.834968563,20018960.48835647
2020-01-24,20127730.793656264,20159030.852553755,20010839.843947474,20161549.9316437
2020-01-27,20128252.025540162,20038237.880086873,19790175.055609923,19949401.95725637
2020-01-28,20110576.936807726,19964808.062937696,19616552.144387826,19746454.245044492
2020-01-29,20139102.237339668,20044198.637176063,19828042.128293935,20011503.181637958
2020-01-30,20147677.927190103,19957248.461836386,19604923.72084318,19795246.23055221
2020-01-31,20150479.006413158,19816515.600496102,19341320.63675708,19531669.60650927
2020-02-03,20158883.412362587,19649774.333273288,19132877.18931644,19323305.55023414
2020-02-04,20161693.229331363,19820180.906332515,19401761.937333368,19591436.481203444
2020-02-05,20164503.437942438,19946105.62255816,19459956.896289185,19650139.65899466
2020-02-06,20167314.038250398,19918350.63075281,19522669.52633261,19707720.51180672
2020-02-07,20170125.030309837,19994925.93095717,19666469.827487476,19856829.039664015
2020-02-10,20178559.181906417,19875372.70772145,19357451.244357977,19549095.148444816
2020-02-11,20181371.741354033,19935439.176249545,19489947.2301256,19684979.37665386
2020-02-12,20184184.6928262,19942275.936990894,19533730.887123942,19730891.28003016
2020-02-13,20186998.036377564,19970272.98998622,19444197.215376876,19642705.85859813
2020-02-14,20189811.77206277,19939920.33527626,19295781.214908265,19493478.11238219
2020-02-17,20198254.155683897,19852843.248152763,18995701.22740943,19197442.899455898
2020-02-18,20201069.460287105,19733061.76290687,18939933.41222178,19137263.35427527
2020-02-19,20203885.157297496,19833490.57015944,19202475.768431976,19402653.98443287
2020-02-20,20206701.246769764,19885159.669951238,19326858.296063907,19526884.789953135
2020-02-24,20217967.174725153,19629677.23943846,18854389.092374183,19053748.713582598
2020-02-25,20220785.226999164,19532077.802293405,18703314.977329865,18903722.896136172
2020-02-26,20223603.67206334,19426128.65793229,18504816.033850677,18706632.25419909
2020-02-27,20226422.509972423,19377499.80639591,18385601.37646053,18588705.902295824
2020-02-28,20229241.740781177,19105100.73053789,17799418.425133817,18002578.596044682
2020-03-02,20237700.612070728,18959297.183298845,17409930.29849694,17613257.450370196
2020-03-03,20240464.04236643,19197107.439569626,17995426.67529105,18198809.53323331
2020-03-04,20243227.85000475,19222307.97716558,17974439.840133596,18177875.216118142
2020-03-05,20245992.03503722,19115338.796125114,17871720.49145966,18075208.399437595
2020-03-06,20248756.597515367,18970669.896486662,17418003.62926554,17621544.083191723
2020-03-09,20257051.417441472,18723284.041892584,16324713.00211151,16528411.13575832
2020-03-11,20262583.562684804,18586788.494369704,16445009.169509929,16648812.506744832
2020-03-12,20265350.390713327,18142411.2837966,14838123.233306913,15041979.200283237
2020-03-13,20268117.596548423,18324954.354894564,15187826.368439324,15391734.932962855
2020-03-16,20276420.347628213,18035434.413317055,14143503.2332627,14347569.632325964
2020-03-17,20279189.065050762,18032188.61136855,13973849.625048311,14177968.677534236
2020-03-18,20281958.160537884,17970413.091283463,13375397.833849695,13579569.48285462
2020-03-19,20284727.6341412,17715867.853100277,12635251.02914664,12839475.28862634
2020-03-20,20287497.48591234,17932042.896857493,13271326.266407434,13475578.412430005
2020-03-23,20295808.17588417,17512818.874065824,11617039.484431697,11821375.301506493
2020-03-24,20298579.54068811,17549550.644347966,11600975.328509687,11805339.047360394
2020-03-25,20301351.283918116,17665632.697527505,11853071.296007536,12057462.920444103
2020-03-26,20304123.405625865,17695115.03364307,12527552.267051214,12731971.800884109
2020-03-27,20306895.905863035,17631727.65273329,12553012.543198122,12755470.793352174
2020-03-30,20315214.542317875,17571176.359043844,12271745.692594837,12457398.143113403
2020-03-31,20317988.557034567,17758740.110303193,12650489.255113166,12855499.788013805
2020-04-01,20320762.950539168,17654854.144730434,12421462.821873039,12601071.442355847
2020-04-03,20325366.132244036,17632065.313877814,12288874.366810855,12457866.18094703
2020-04-07,20334574.5811347,17982109.211201333,13276417.480039028,13506495.710111951
2020-04-08,20336877.736334037,17931440.965223167,13133985.770024987,13357495.618400346
2020-04-09,20339181.152395673,18097232.91425605,13692386.562931998,13920368.033190979
2020-04-13,20348395.860209603,18216921.490520142,14089337.246245567,14322005.21836539
2020-04-15,20353005.30148772,18241927.339094006,14114038.861276057,14350850.112982266
2020-04-16,20355310.544205993,18367120.653668128,14375744.674637375,14603707.573304016
2020-04-17,20357616.048023,18451414.163430057,14692512.990922395,14933347.540133893
2020-04-20,20364533.342858955,18276025.27834557,14320735.448549539,14575104.960150126
2020-04-21,20366839.891277935,18043269.56901346,13640338.776531674,13894139.953017682
2020-04-22,20369146.70094354,18037394.05497972,13716367.10743916,13982439.95239705
2020-04-23,20371453.771885358,18117468.73626645,13827787.941272335,14101692.458288975
2020-04-24,20373761.104132984,17961643.61289578,13604833.778031528,13878769.970694188
2020-04-27,20380683.884882074,18069338.828877952,13871148.797088152,14148780.027451916
2020-04-28,20382992.262560114,18088764.48703257,13840394.645553734,14118657.565915458
2020-04-29,20385300.90169197,18259700.340640426,14243450.496946994,14522945.110895976
2020-04-30,20387609.802307248,18630406.389723666,15088766.351268258,15368652.662394214
2020-05-04,20315022.09348704,18255625.175090495,14104248.153198643,14378034.029497722
2020-05-05,20414500.224734128,18271457.75583797,13923442.657077493,14188701.614505839
2020-05-06,20684547.812208563,18479839.738364473,13978949.66442684,14261406.707493857
2020-05-07,20462201.355929688,18307550.12268424,13728529.175247014,13995109.308462523
2020-05-08,20571211.355916847,18359656.908811506,13641256.189538334,13891959.41741259
2020-05-11,21019678.474734463,18709816.72265852,13965359.742826713,14271332.268209226
2020-05-12,21146215.79992118,18801388.116115455,14102401.771004908,14506422.409090128
2020-05-13,21633157.331470672,19222446.161451086,14575198.802655876,15022142.557956167
2020-05-14,21005289.81940229,18656425.10867966,14399258.337779947,14851150.214808099
2020-05-15,21267117.263735387,18861941.45781542,14379882.876377447,14847747.87964667
2020-05-18,20680567.215997204,18356335.460987005,13555846.502591206,14020180.89812455
2020-05-19,21271192.236071743,18750361.66785125,13666888.555084698,14153321.09491492
2020-05-20,21814586.21264457,19172004.276693925,13949153.111053245,14442983.799695678
2020-05-21,22025446.645735044,19439550.787529286,14217990.170497175,14721669.01246757
2020-05-22,21953277.78536254,19264847.950371586,13973252.233416816,14478204.233231347
2020-05-26,22325488.170098092,19623407.209825575,14183967.998999514,14687887.648256987
2020-05-27,22837334.342585035,20150684.13283089,14513960.079300633,15024052.908986932
2020-05-28,23263945.273205236,20630918.5054487,14962024.663079415,15475840.677713256
2020-05-29,23472135.614454683,20874987.02958951,15459570.744318422,15971923.278874159
2020-06-01,24289968.01666893,21586012.85418888,15747909.200612716,16275780.456456244
2020-06-02,24440659.634495404,21736536.357312888,15820994.432783749,16356864.359554147
2020-06-03,24553318.921829835,21882886.228545524,15883503.140983686,16425684.24336818
2020-06-04,24528791.878687594,21837302.967897497,15729431.853148526,16269030.635834768
2020-06-05,24902818.005084064,22293913.825379528,16053905.569278626,16602191.536954693
2020-06-08,24877166.392935738,22250041.502247937,16155799.229565796,16695889.766276836
2020-06-09,24782673.697594702,22112708.08232521,15987492.961559465,16535892.70201561
2020-06-10,24792576.67186928,22153650.03058612,15896829.197520193,16448337.646411646
2020-06-11,24445610.315774865,21794174.8470414,15707902.937448343,16232232.099465732
2020-06-12,24611862.12932684,21920073.781701762,15746301.681344274,16285936.06117865
2020-06-15,24337913.578968093,21661823.69033027,15460290.424936488,15998092.472296268
2020-06-16,24521214.571213353,21889054.847886033,15493846.68470606,16041795.46865002
2020-06-17,24538401.733181957,21862241.623700507,15351787.948445212,15907072.473666538
2020-06-18,25121593.564889304,22414365.76778441,15649349.216154307,16212857.487346603
2020-06-19,25240058.066350788,22530363.780148476,15647440.487833703,16215362.509691
2020-06-22,25519855.080043856,22752434.672113348,16086741.814783871,16655969.602719553
2020-06-23,25593423.76062969,22988229.907673173,16546165.60234699,17115698.659726787
2020-06-24,25566329.611046672,22792793.76156681,16169146.893882211,16738755.725402288
2020-06-25,25572157.631310202,22680951.233805,15979755.689389894,16550605.799746837
2020-06-26,25592436.731360104,22805894.079297498,16296648.888667287,16867550.782558113
2020-06-29,25437232.65773783,22579557.96241898,15882582.4484963,16451534.920592595
2020-06-30,25347575.988745768,22511463.26433064,15811276.85253834,16388298.17946217
2020-07-01,25756716.002955984,22871110.699164256,15864121.261742316,16458761.448832585
2020-07-02,25944405.3328526,23152354.325450085,16005176.566755837,16625473.9548272
2020-07-03,26034720.585768636,23244196.577269726,16094354.376644382,16720848.970738988
2020-07-06,26406765.36362077,23801609.209363256,16290947.820936374,16924704.04822849
2020-07-07,26348929.30872126,23641288.46339558,16098648.150328021,16732001.603815086
2020-07-08,26315048.676917437,23648169.84301704,16174420.98459684,16808531.66932323
2020-07-09,26364790.968224563,23909695.848238718,16371411.32374326,17006289.244753785
2020-07-10,26340589.682657894,23878116.979071673,16304266.667767711,16939171.830107637
2020-07-13,26365722.59538228,24002885.748437606,16404147.714476455,17042154.615941696
2020-07-14,26116540.50242726,23579685.381793205,16133910.578016046,16766204.74099484
2020-07-15,26128411.33267476,23641872.140815448,16197220.946435818,16833582.375975654
2020-07-16,26212607.836140044,23689808.025515422,16219098.819736205,16857677.52088501
2020-07-17,26489179.762838382,23945251.035904203,16356044.197917633,16997620.17572378
2020-07-20,26579955.812678374,24004663.4441702,16389822.847106334,17031940.670030974
2020-07-21,26715881.182415828,24236176.457391765,16444975.744814944,17088730.864593543
2020-07-22,26759022.975462697,24302182.09635754,16412908.64740675,17057771.06908991
2020-07-23,26866554.941834256,24448277.861078605,16496036.554882178,17143016.28352094
2020-07-24,26796778.331545785,24260733.75156605,16237939.467241663,16885806.50788752
2020-07-27,26746483.020746123,24260956.300360776,16273950.718973571,16922199.710796516
2020-07-28,26864539.103924494,24499811.19399134,16587111.15087229,17236867.474911407
2020-07-29,26905310.11051924,24521109.21344372,16644284.087657217,17294307.748966224
2020-07-30,26838299.540545654,24403220.858729005,16396319.529328782,17046900.53296184
2020-07-31,26838544.783148374,24416250.79666917,16397018.530295487,17046237.939858362
2020-08-03,26801969.916879244,24324151.539876413,16172403.131652098,16828458.384253193
2020-08-04,27013870.68753764,24679051.526700534,16294593.968362212,16962961.505687542
2020-08-05,27162100.354023263,25180922.4616295,16659242.310684219,17333272.13825247
2020-08-06,27268043.203756936,25353135.53371186,16714333.316741906,17395425.440072246
2020-08-07,27315415.486754894,25412964.24295977,16732534.328647997,17413338.75326009
2020-08-10,27348194.885590345,25505432.78223661,16909937.381913055,17601078.726930853
2020-08-11,27416167.151759118,25582216.54023179,16976205.917216405,17667759.58559802
2020-08-12,27432674.85127338,25530533.015212696,16853418.038130157,17542584.0353977
2020-08-13,27458082.234149374,25713815.49179383,17165648.029257175,17850326.360933237
2020-08-14,27347882.800403345,25623477.60575356,17175640.52636418,17866681.197971847
2020-08-17,27633327.799347937,26064376.359805062,17682743.03562677,18374670.743599966
2020-08-18,27823056.349227563,26333290.52336439,17811368.05665745,18506158.12665802
2020-08-19,27852003.332566414,26376014.824363187,17750628.083670773,18448280.52122424
2020-08-20,27923278.49938075,26501649.762813624,17810838.116667263,18508552.927299656
2020-08-21,27999054.849686824,26536820.338727884,17815360.655647457,18516287.844885282
2020-08-24,28071841.70112905,26562823.97889867,17776293.290540732,18479507.632175863
2020-08-25,28092913.035515897,26540438.104753483,17673278.35345944,18375855.09580948
2020-08-26,28113098.553475786,26617023.868133023,17872218.422364503,18575207.570958406
2020-08-27,28119251.40938913,26645413.86848428,17878243.49725645,18582695.057623666
2020-08-28,28073698.1309458,26574441.442424435,17870497.69919477,18575011.676865242
2020-08-31,26904908.277500387,25063397.606884837,17343460.667211875,18048161.9133834
2020-09-01,27696854.443225544,26067979.656007603,17485173.007163927,18188075.837839898
2020-09-02,28095410.581270117,26451427.245703205,17556057.410386015,18252728.48108516
2020-09-03,28112020.708771948,26529631.275634747,17535589.32185459,18225128.638700098
