,rank>2,rank>1.5,rank>1,rank>0.5
2019-12,0.0,0.0,0.0,0.0
2020-01,0.007523950320657891,-0.009174219975194853,-0.032933968162146,-0.023416519674536618
2020-02,0.00390872764577721,-0.03590009890237211,-0.07972062717852701,-0.07828777781265506
2020-03,0.004387055995009437,-0.07047126519896618,-0.2892751351218342,-0.2859078648411919
2020-04,0.0034265815770713193,0.04908379051702849,0.19274172302621184,0.19549242859648452
2020-05,0.15129413609820808,0.12047942449091886,0.024574864797942686,0.03925331840936819
2020-06,0.07990071313051494,0.07839411983449307,0.02275005652075901,0.02606917735065406
2020-07,0.058820961620337675,0.08461411459452584,0.037045817565525274,0.04014692393263397
2020-08,0.0024726934671093215,0.02650475765525595,0.057720379785368925,0.058776838447285096
2020-09,0.0010948808008874877,0.006816050318161793,-0.056962029486242405,-0.06714716356039263
2020-10,0.14240839537828798,0.12402274595348328,0.017644897519885294,0.023342670389688402
2020-11,0.08696380381588953,0.13671239271758928,0.19647051854873898,0.20559297189811776
2020-12,0.06640294578520134,0.06114674525303254,0.09779401932722509,0.09666899063889245
2021-01,-0.003328056178452554,0.012756335925795836,-0.007322991554817526,-0.003537958168198241
2021-02,0.035833328635948236,0.04690392363696683,0.07851369270592601,0.07845453980393091
2021-03,0.02985380222488976,0.029241568108112848,0.04007552063605302,0.04000271457321847
2021-04,0.046053378750661844,0.03096563690143861,0.026922698474072915,0.02623786829722108
2021-05,0.1066892936262247,0.09860444465108897,0.10068542878851505,0.10014830017179843
2021-06,0.051454981051251236,0.05630577399215109,0.048237992122530216,0.04801784946666743
2021-07,-0.02640423938305514,-0.023562484207855783,-0.027831423302050573,-0.025252382015967023
2021-08,0.04811145171727982,0.053527861504758745,0.05351773516305536,0.05346164093723815
2021-09,0.04692353696305829,0.04447873153124959,0.07986550450094443,0.07692041401017646
2021-10,0.029714364630603285,0.030355464880490235,0.027875573223780536,0.026637398395115364
2021-11,-0.004392682283952953,-0.015765093229667793,-0.027737957439745387,-0.014408807433526016
2021-12,0.01608452231925206,0.0156537539455317,0.017735625945577205,0.02663610754689194
2022-01,-0.07685290002018441,-0.06645700979759794,-0.05747139810230917,-0.05837618618508644
2022-02,-0.006542749456834862,-0.0520360918822903,-0.04197145141721703,-0.044089941558216106
2022-03,0.07481014972535815,0.06819945917508008,0.07398979447657839,0.07284319083974111
2022-04,-0.07835204781407412,-0.06824388543712578,-0.05507664000088475,-0.05673552209398636
2022-05,-0.038365329296282114,-0.01768686979981493,-0.026937782750612982,-0.02551168710095142
2022-06,-0.0825550850247948,-0.0883811125419296,-0.09487391212824126,-0.09445928109564738
