symbol,ex_date,contract_month,action_type,model,a,b,share_multiplier,qty_multiplier,strike_match,oi_mismatch,oi_strikes,unchanged_frac,prev_close,price_ratio,implied_ratio,lot_before,lot_after,source,price_consistent,accepted
ADANIENT,2025-11-17,2025-11,value_adjustment,scale,0.96948473,0.0,1.0,1.03,1.0,0.158,39,0.0,2516.8,0.97822631913541,0.9694847328244276,300.0,309,detected,True,True
BAJAJ-AUTO,2025-06-20,2025-06,value_adjustment,shift,1.0,-210.0,1.0,1.0,1.0,0.113,27,0.0,8496.0,0.9852871939736346,0.9752824858757062,75.0,75,detected,True,True
BAJAJFINSV,2022-09-13,2022-09,split_bonus,lot_ratio,0.1,0.0,10.0,10.0,1.0,0.22,28,0.0,17138.05,0.10413961915153708,0.1,50.0,500,detected,True,True
BAJFINANCE,2025-06-16,2025-06,split_bonus,lot_ratio,0.1,0.0,10.0,10.0,1.0,0.066,32,0.0,9331.0,0.1005251312828207,0.1,125.0,1250,detected,True,True
BEL,2022-09-15,2022-09,split_bonus,lot_ratio,0.33333333,0.0,3.0,3.0,1.0,0.179,32,0.0,335.9,0.3307532003572492,0.3333333333333333,3800.0,11400,detected,True,True
BHARTIARTL,2021-09-27,2021-09,value_adjustment,scale,0.98157233,0.0,1.0,1.0189086980010804,1.0,0.119,59,0.018,739.4,0.9772112523667839,0.9815723270440252,1851.0,1886,detected,True,True
BPCL,2021-09-16,2021-09,value_adjustment,shift,1.0,-58.0,1.0,1.0,1.0,0.171,37,0.0,489.95,0.8961118481477702,0.881620573527911,1800.0,1800,detected,True,True
BPCL,2023-12-12,2023-12,value_adjustment,shift,1.0,-21.0,1.0,1.0,1.0,0.13,64,0.0,465.5,0.9614393125671321,0.9548872180451128,1800.0,1800,detected,True,True
BPCL,2024-06-21,2024-06,split_bonus,lot_ratio,0.5,0.0,2.0,2.0,1.0,0.106,25,0.0,626.25,0.4911776447105789,0.5,900.0,1800,detected,True,True
BPCL,2024-08-09,2024-08,value_adjustment,shift,1.0,-10.5,1.0,1.0,1.0,0.06,21,0.0,338.3,0.9855158143659473,0.9689624593556015,1800.0,1800,detected,True,True
BPCL,2025-11-07,2025-11,value_adjustment,shift,1.0,-7.5,1.0,1.0,1.0,0.143,24,0.0,367.95,0.9978257915477646,0.9796167957602935,1975.0,1975,detected,True,True
COALINDIA,2020-03-19,2020-03,value_adjustment,shift,1.0,-12.0,1.0,1.0,1.0,0.086,22,0.0,145.05,0.8517752499138227,0.9172699069286453,2700.0,2700,detected,True,True
COALINDIA,2021-12-06,2021-12,value_adjustment,shift,1.0,-9.0,1.0,1.0,1.0,0.065,23,0.0,159.75,0.9298904538341158,0.9436619718309859,4200.0,4200,detected,True,True
COALINDIA,2023-02-08,2023-02,value_adjustment,shift,1.0,-5.25,1.0,1.0,1.0,0.045,28,0.0,219.7,0.9808830223031407,0.9761037778789258,4200.0,4200,detected,True,True
COALINDIA,2023-11-21,2023-11,value_adjustment,shift,1.0,-15.25,1.0,1.0,1.0,0.103,54,0.0,347.75,0.9610352264557872,0.9561466570812365,2100.0,2100,detected,True,True
COALINDIA,2024-11-05,2024-11,value_adjustment,shift,1.0,-15.75,1.0,1.0,1.0,0.078,35,0.0,443.3,0.9810512068576583,0.9644710128581097,1050.0,1050,detected,True,True
COALINDIA,2025-11-04,2025-11,value_adjustment,shift,1.0,-10.25,1.0,1.0,1.0,0.059,36,0.0,388.55,0.9716896152361344,0.9736198687427615,1350.0,1350,detected,True,True
DRREDDY,2024-10-28,2024-10,split_bonus,lot_ratio,0.2,0.0,5.0,5.0,1.0,0.091,29,0.0,6514.7,0.20131395152501266,0.2,125.0,625,detected,True,True
EICHERMOT,2020-08-24,2020-08,split_bonus,lot_ratio,0.1,0.0,10.0,10.0,1.0,0.69,20,0.0,21702.4,0.10028614346800352,0.1,35.0,350,detected,True,True
GAIL,2020-02-17,2020-02,value_adjustment,shift,1.0,-6.4,1.0,1.0,1.0,0.096,25,0.0,122.55,0.9628722970216238,0.9477764177886576,5334.0,5334,detected,True,True
GAIL,2022-09-06,2022-09,split_bonus,lot_ratio,0.66666667,0.0,1.5,1.5,1.0,0.181,22,0.0,136.75,0.6804387568555759,0.6666666666666666,6100.0,9150,detected,True,True
GAIL,2024-02-06,2024-02,value_adjustment,shift,1.0,-5.5,1.0,1.0,1.0,0.194,53,0.255,181.6,0.9997246696035244,0.9697136563876652,4575.0,4575,detected,True,True
GAIL,2025-02-07,2025-02,value_adjustment,shift,1.0,-6.5,1.0,1.0,1.0,0.059,27,0.0,178.41,0.958746707023149,0.9635670646264223,2350.0,2350,detected,True,True
GRASIM,2024-01-10,2024-01,value_adjustment,shift,1.0,-8.75,1.0,1.0042105263157894,1.0,0.048,26,0.0,2064.05,1.0021801797437078,0.9957607616094571,475.0,477,detected,True,True
HCLTECH,2019-12-05,2019-12,split_bonus,lot_ratio,0.5,0.0,2.0,2.0,1.0,0.21,13,0.0,1125.5,0.4983562860950688,0.5,700.0,1400,detected,True,True
HDFCBANK,2025-08-26,2025-08,split_bonus,lot_ratio,0.5,0.0,2.0,2.0,1.0,0.257,29,0.0,1964.1,0.49559594725319484,0.5,550.0,1100,detected,True,True
HEROMOTOCO,2023-02-17,2023-02,value_adjustment,shift,1.0,-65.0,1.0,1.0,1.0,0.146,36,0.0,2556.7,0.991727617632104,0.9745766026518559,300.0,300,detected,True,True
INFY,2026-06-10,2026-06,value_adjustment,shift,1.0,-25.0,1.0,1.0,1.0,0.055,50,0.0,1180.3,0.97034652207066,0.9788189443361858,400.0,400,detected,True,True
IOC,2021-02-09,2021-02,value_adjustment,shift,1.0,-7.5,1.0,1.0,1.0,0.28,29,0.0,104.1,0.9385206532180597,0.9279538904899135,6500.0,6500,detected,True,True
IOC,2022-06-30,2022-07,split_bonus,lot_ratio,0.66666667,0.0,1.5,1.5,1.0,0.379,21,0.0,109.8,0.6762295081967213,0.6666666666666666,6500.0,9750,detected,True,True
IOC,2024-07-12,2024-07,value_adjustment,shift,1.0,-7.0,1.0,1.0,1.0,0.141,23,0.0,174.44,0.9575785370327906,0.9598715890850722,4875.0,4875,detected,True,True
IOC,2025-08-08,2025-08,value_adjustment,shift,1.0,-3.0,1.0,1.0,1.0,0.124,23,0.045,141.67,0.9875767628996965,0.9788240276699371,4875.0,4875,detected,True,True
ITC,2020-07-06,2020-07,value_adjustment,shift,1.0,-10.15,1.0,1.0,1.0,0.106,31,0.0,207.55,0.9626596000963623,0.9510961214165261,3200.0,3200,detected,True,True
ITC,2023-05-30,2023-06,value_adjustment,shift,1.0,-9.5,1.0,1.0,1.0,0.22,49,0.0,449.1,1.001781340458695,0.9788465820529949,1600.0,1600,detected,True,True
ITC,2026-02-04,2026-02,value_adjustment,shift,1.0,-6.5,1.0,1.0,1.0,0.062,60,0.0,316.65,0.9911574293383864,0.9794726038212538,1600.0,1600,detected,True,True
ITC,2026-05-27,2026-06,value_adjustment,shift,1.0,-8.0,1.0,1.0,1.0,0.296,34,0.0,301.65,0.9678435272666999,0.9734791977457318,1600.0,1600,detected,True,True
KOTAKBANK,2026-01-14,2026-01,split_bonus,lot_ratio,0.2,0.0,5.0,5.0,1.0,0.059,28,0.0,2132.6,0.19741161024102036,0.2,400.0,2000,detected,True,True
NESTLEIND,2024-01-05,2024-01,split_bonus,lot_ratio,0.1,0.0,10.0,10.0,1.0,0.172,34,0.0,27116.4,0.09833163694295703,0.1,40.0,400,detected,True,True
NESTLEIND,2025-08-08,2025-08,split_bonus,lot_ratio,0.5,0.0,2.0,2.0,1.0,0.137,30,0.0,2234.6,0.49069184641546587,0.5,250.0,500,detected,True,True
NTPC,2023-02-03,2023-02,value_adjustment,shift,1.0,-4.25,1.0,1.0,1.0,0.111,17,0.0,166.9,0.9919113241461953,0.9745356500898742,5700.0,5700,detected,True,True
ONGC,2022-11-21,2022-11,value_adjustment,shift,1.0,-6.75,1.0,1.0,1.0,0.108,23,0.0,141.75,0.9555555555555555,0.9523809523809523,3850.0,3850,detected,True,True
ONGC,2023-02-24,2023-03,value_adjustment,shift,1.0,-4.0,1.0,1.0,1.0,0.434,16,0.0,154.65,1.0022631749110895,0.9741351438732622,3850.0,3850,detected,True,True
ONGC,2023-11-21,2023-11,value_adjustment,shift,1.0,-5.75,1.0,1.0,1.0,0.071,47,0.0,197.85,0.966388678291635,0.9709375789739702,3850.0,3850,detected,True,True
ONGC,2024-11-19,2024-11,value_adjustment,shift,1.0,-6.0,1.0,1.0,1.0,0.033,24,0.0,250.65,0.9894274885298224,0.9760622381807301,1925.0,1925,detected,True,True
ONGC,2025-11-14,2025-11,value_adjustment,shift,1.0,-6.0,1.0,1.0,1.0,0.073,24,0.0,250.85,0.9870440502292207,0.9760813235000997,2250.0,2250,detected,True,True
ONGC,2026-02-18,2026-02,value_adjustment,shift,1.0,-6.25,1.0,1.0,1.0,0.044,75,0.0,271.85,0.9733308810005518,0.9770093801728894,2250.0,2250,detected,True,True
POWERGRID,2021-07-29,2021-07,split_bonus,lot_ratio,0.75004688,-0.0102,1.3333333333333333,1.33325,1.0,0.086,30,0.0,228.1,0.7338886453309952,0.7500021784570655,4000.0,5333,detected,True,True
POWERGRID,2023-08-08,2023-08,value_adjustment,shift,1.0,-4.75,1.0,1.0,1.0,0.062,33,0.0,247.95,0.9739866908650938,0.9808429118773946,2700.0,2700,detected,True,True
POWERGRID,2023-09-12,2023-09,split_bonus,lot_ratio,0.75,0.0,1.3333333333333333,1.3333333333333333,1.0,0.244,51,0.0,264.5,0.7232514177693762,0.75,2700.0,3600,detected,True,True
RELIANCE,2020-05-13,2020-05,value_adjustment,scale,0.99061047,0.0,1.0,1.01,1.0,0.109,39,0.0,1479.25,1.0116275139428765,0.9906104651162791,500.0,505,detected,True,True
RELIANCE,2024-10-28,2024-10,split_bonus,lot_ratio,0.5,0.0,2.0,2.0,1.0,0.082,51,0.0,2655.7,0.5024475656135858,0.5,250.0,500,detected,True,True
SHRIRAMFIN,2025-01-10,2025-01,split_bonus,lot_ratio,0.2,0.0,5.0,5.0,1.0,0.299,22,0.0,2809.85,0.18933395021086535,0.2,150.0,750,detected,True,True
TATACONSUM,2024-07-26,2024-08,value_adjustment,lot_ratio,0.98684211,1.0776,1.0,1.0133333333333334,1.0,0.165,28,0.0,1223.6,0.9918682576005232,0.987722811032157,450.0,456,detected,True,True
TATAMOTORS,2025-10-14,2025-11,value_adjustment,none,1.0,0.0,1.0,1.0,0.0,,19,0.0,660.75,0.5984865682936057,1.0,,800,detected,False,False
TATASTEEL,2022-07-28,2022-07,split_bonus,lot_ratio,0.1,0.0,10.0,10.0,1.0,0.422,37,0.0,959.4,0.10459662288930581,0.1,425.0,4250,detected,True,True
TATASTEEL,2023-06-22,2023-06,value_adjustment,shift,1.0,-3.6,1.0,1.0,1.0,0.142,37,0.0,113.9,0.9754170324846355,0.9683933274802459,5500.0,5500,detected,True,True
TATASTEEL,2024-06-21,2024-06,value_adjustment,shift,1.0,-3.6,1.0,1.0,1.0,0.139,55,0.0,182.28,0.9871626069782752,0.9802501645819619,5500.0,5500,detected,True,True
