date,symbol,kind,amount
2020-01-01,,cash_interest,2728.9589041095887
2020-01-01,TATASTEEL,premium,65446.5
2020-01-01,TATASTEEL,option_sale_costs,-95.01391186999999
2020-01-01,VEDL,premium,51450.0
2020-01-01,VEDL,option_sale_costs,-79.741211
2020-01-01,ONGC,premium,6970.0
2020-01-01,ONGC,option_sale_costs,-31.205524599999997
2020-01-01,HINDALCO,premium,49875.0
2020-01-01,HINDALCO,option_sale_costs,-78.0226025
2020-01-02,,cash_interest,2805.042692348135
2020-01-03,,cash_interest,2805.4326701328564
2020-01-06,,cash_interest,8417.46810640552
2020-01-07,,cash_interest,2806.992960817528
2020-01-08,,cash_interest,2807.3832097429986
2020-01-09,,cash_interest,2807.7735129237617
2020-01-10,,cash_interest,2808.1638703673593
2020-01-13,,cash_interest,8425.662846244011
2020-01-14,,cash_interest,2809.725680057043
2020-01-15,,cash_interest,2810.1163089053566
2020-01-16,,cash_interest,2810.506992061782
2020-01-17,,cash_interest,2810.8977295338705
2020-01-20,,cash_interest,8433.865563987518
2020-01-21,,cash_interest,2812.4610597073765
2020-01-22,,cash_interest,2812.852068848404
2020-01-23,,cash_interest,2813.2431323504143
2020-01-24,,cash_interest,2813.634250220965
2020-01-27,,cash_interest,8442.076267402846
2020-01-28,,cash_interest,2815.199102358545
2020-01-29,,cash_interest,2815.5904921625156
2020-01-30,,cash_interest,2815.9819363803917
2020-01-30,ONGC,put_assignment_pay_strike,-502250.0
2020-01-30,ONGC,assignment_costs,-2059.8176550000003
2020-01-30,TATASTEEL,put_assignment_pay_strike,-3375000.0
2020-01-30,TATASTEEL,assignment_costs,-13841.4825
2020-01-30,VEDL,put_assignment_pay_strike,-3552500.0
2020-01-30,VEDL,assignment_costs,-14569.44195
2020-01-30,HINDALCO,put_assignment_pay_strike,-3587500.0
2020-01-30,HINDALCO,assignment_costs,-14712.98325
2020-01-31,,cash_interest,1278.392066819356
2020-01-31,HINDALCO,premium,43750.0
2020-01-31,HINDALCO,option_sale_costs,-71.339125
2020-01-31,TATASTEEL,premium,68371.5
2020-01-31,TATASTEEL,option_sale_costs,-98.20561337
2020-01-31,VEDL,premium,73500.0
2020-01-31,VEDL,option_sale_costs,-103.80172999999999
2020-02-03,,cash_interest,3913.0148091407536
2020-02-04,,cash_interest,1308.225170935614
2020-02-04,DRREDDY,premium,18281.25
2020-02-04,DRREDDY,option_sale_costs,-43.548134375000004
2020-02-04,BAJFINANCE,premium,11005.35
2020-02-04,BAJFINANCE,option_sale_costs,-35.608817813
2020-02-05,,cash_interest,1312.4785534578843
2020-02-06,,cash_interest,1312.6614913932465
2020-02-07,,cash_interest,1312.8444548271495
2020-02-07,ONGC,premium,1845.0
2020-02-07,ONGC,option_sale_costs,-25.613227099999996
2020-02-10,,cash_interest,3939.8431091146867
2020-02-11,,cash_interest,1313.8301857364286
2020-02-12,,cash_interest,1314.0133120671117
2020-02-13,,cash_interest,1314.1964639225948
2020-02-14,,cash_interest,1314.3796413064363
2020-02-17,,cash_interest,3943.6885326665806
2020-02-18,,cash_interest,1315.1125295758907
2020-02-19,,cash_interest,1315.2958346442254
2020-02-20,,cash_interest,1315.4791652622732
2020-02-24,,cash_interest,5262.650085734383
2020-02-25,,cash_interest,1316.3960483462306
2020-02-26,,cash_interest,1316.579532315983
2020-02-27,,cash_interest,1316.7630418603846
2020-02-28,,cash_interest,1316.9465769829999
2020-02-28,HINDALCO,premium,1400.0
2020-02-28,HINDALCO,option_sale_costs,-25.127651999999998
2020-02-28,TATASTEEL,premium,21000.0
2020-02-28,TATASTEEL,option_sale_costs,-46.51478
2020-02-28,VEDL,premium,15925.0
2020-02-28,VEDL,option_sale_costs,-40.9770415
2020-03-02,,cash_interest,3967.368946152202
2020-03-03,,cash_interest,1296.1005274497986
2020-03-04,,cash_interest,1296.2775082013418
2020-03-05,,cash_interest,1296.454513119364
2020-03-05,VEDL,dividend,95550.0
2020-03-06,,cash_interest,1309.6787638167546
2020-03-09,,cash_interest,3929.57279597362
2020-03-11,,cash_interest,2620.788352880374
2020-03-12,,cash_interest,1310.7520414996518
2020-03-13,,cash_interest,1310.931022895368
2020-03-16,,cash_interest,3933.330086192245
2020-03-17,,cash_interest,1311.6471195658944
2020-03-18,,cash_interest,1311.8262231832944
2020-03-19,,cash_interest,1312.0053512570478
2020-03-20,,cash_interest,1312.1845037904945
2020-03-23,,cash_interest,3937.0910423609216
2020-03-23,ONGC,dividend,20500.0
2020-03-24,,cash_interest,1315.700532093341
2020-03-25,,cash_interest,1315.8801891986689
2020-03-26,,cash_interest,1316.0598708359285
2020-03-27,,cash_interest,1316.2395770084693
2020-03-27,TATASTEEL,premium,4725.0
2020-03-27,TATASTEEL,option_sale_costs,-28.7558255
2020-03-30,,cash_interest,3951.1817202853767
2020-03-30,TATASTEEL,premium,2250.0
2020-03-30,TATASTEEL,option_sale_costs,-26.055155
2020-03-30,KOTAKBANK,premium,309855.0
2020-03-30,KOTAKBANK,option_sale_costs,-361.70757890000004
2020-03-31,,cash_interest,1360.1646636185578
2020-04-01,,cash_interest,1360.3503922401358
2020-04-03,,cash_interest,2257.048262036918
2020-04-07,,cash_interest,4515.119084426722
2020-04-08,,cash_interest,1129.291167101391
2020-04-09,,cash_interest,1129.41907402232
2020-04-13,,cash_interest,4518.187981721491
2020-04-15,,cash_interest,2260.117478035279
2020-04-16,,cash_interest,1130.3147267345146
2020-04-17,,cash_interest,1130.4427495868924
2020-04-20,,cash_interest,3391.712360818574
2020-04-21,,cash_interest,1130.9549425031096
2020-04-22,,cash_interest,1131.0830378682551
2020-04-23,,cash_interest,1131.2111477418673
2020-04-24,,cash_interest,1131.3392721255902
2020-04-27,,cash_interest,3394.4022330632
2020-04-28,,cash_interest,1131.8518712476887
2020-04-29,,cash_interest,1131.9800682016867
2020-04-30,,cash_interest,1132.1082796756577
2020-05-04,,cash_interest,4528.946022684988
2020-05-04,UPL,premium,342356.22
2020-05-04,UPL,option_sale_costs,-397.1722601396
2020-05-04,TCS,premium,142471.875
2020-05-04,TCS,option_sale_costs,-179.06246056250004
2020-05-04,RELIANCE,premium,131137.6
2020-05-04,RELIANCE,option_sale_costs,-166.694726368
2020-05-04,INFY,premium,151866.24
2020-05-04,INFY,option_sale_costs,-189.3134037632
2020-05-04,COALINDIA,premium,146893.5
2020-05-04,COALINDIA,option_sale_costs,-183.88724933
2020-05-04,HDFCBANK,premium,260714.99999999997
2020-05-04,HDFCBANK,option_sale_costs,-308.0869937
2020-05-04,BHARTIARTL,premium,86355.8136
2020-05-04,BHARTIARTL,option_sale_costs,-117.82973668404799
2020-05-05,,cash_interest,1056.1687458656897
2020-05-06,,cash_interest,1056.267801183432
2020-05-07,,cash_interest,1056.366865791315
2020-05-08,,cash_interest,1056.4659396902098
2020-05-11,,cash_interest,3169.6950686429623
2020-05-12,,cash_interest,1056.8623003315838
2020-05-13,,cash_interest,1056.9614206959945
2020-05-14,,cash_interest,1057.0605503566462
2020-05-15,,cash_interest,1057.1596893144106
2020-05-18,,cash_interest,3171.7765127104794
2020-05-19,,cash_interest,1057.5563102339781
2020-05-20,,cash_interest,1057.6554956877712
2020-05-21,,cash_interest,1057.7546904439098
2020-05-22,,cash_interest,1057.8538945032665
2020-05-26,,cash_interest,4231.812431466854
2020-05-27,,cash_interest,1058.3499985403548
2020-05-28,,cash_interest,1058.4492584321083
2020-05-28,UPL,put_assignment_pay_strike,-3240000.0
2020-05-28,UPL,assignment_costs,-13287.823199999999
2020-05-28,HDFCBANK,put_assignment_pay_strike,-3360000.0
2020-05-28,HDFCBANK,assignment_costs,-13779.964800000002
2020-05-28,COALINDIA,put_assignment_pay_strike,-3402000.0
2020-05-28,COALINDIA,assignment_costs,-13952.21436
2020-05-29,,cash_interest,116.63982097897373
2020-05-29,COALINDIA,premium,137416.5
2020-05-29,COALINDIA,option_sale_costs,-173.54613647000002
2020-05-29,HDFCBANK,premium,87871.7
2020-05-29,HDFCBANK,option_sale_costs,-119.483841606
2020-05-29,UPL,premium,174140.28
2020-05-29,UPL,option_sale_costs,-213.61839073039997
2020-06-01,,cash_interest,462.19380186957335
2020-06-01,HEROMOTOCO,premium,121835.99999999999
2020-06-01,HEROMOTOCO,option_sale_costs,-156.47312323999998
2020-06-01,ADANIPORTS,premium,45338.0
2020-06-01,ADANIPORTS,option_sale_costs,-73.04516941999998
2020-06-02,,cash_interest,164.20027338092106
2020-06-03,,cash_interest,164.2151684825696
2020-06-04,,cash_interest,164.23006493539768
2020-06-05,,cash_interest,164.24496273952786
2020-06-08,,cash_interest,492.7795856852484
2020-06-09,,cash_interest,164.30456341638947
2020-06-10,,cash_interest,164.31946797850142
2020-06-11,,cash_interest,164.33437389265112
2020-06-12,,cash_interest,164.3492811589612
2020-06-15,,cash_interest,493.09256933266295
2020-06-16,,cash_interest,164.4089196905509
2020-06-17,,cash_interest,164.42383371913496
2020-06-18,,cash_interest,164.43874910061552
2020-06-19,,cash_interest,164.45366583511526
2020-06-22,,cash_interest,493.4057517682709
2020-06-23,,cash_interest,164.51334224547608
2020-06-24,,cash_interest,164.52826574654483
2020-06-25,,cash_interest,164.5431906013693
2020-06-25,COALINDIA,call_away_receive_strike,3402000.0
2020-06-25,COALINDIA,call_away_costs,-13493.6469148
2020-06-25,HDFCBANK,call_away_receive_strike,3430000.0
2020-06-25,HDFCBANK,call_away_costs,-14239.93311875
2020-06-25,UPL,call_away_receive_strike,3321000.0
2020-06-25,UPL,call_away_costs,-14188.042119100002
2020-06-25,ONGC,equity_sale,334392.72000000003
2020-06-25,ONGC,equity_sale_costs,-362.75397251680005
2020-06-26,,cash_interest,1112.065373091666
2020-06-26,BAJFINANCE,premium,262396.875
2020-06-26,BAJFINANCE,option_sale_costs,-309.76740790625
2020-06-26,RELIANCE,premium,80060.276
2020-06-26,RELIANCE,option_sale_costs,-110.91293640284
2020-06-26,HDFCBANK,premium,91216.125
2020-06-26,HDFCBANK,option_sale_costs,-123.07939376375
2020-06-26,M&M,premium,113635.9
2020-06-26,M&M,option_sale_costs,-147.530176181
2020-06-26,POWERGRID,premium,71000.0
2020-06-26,POWERGRID,option_sale_costs,-101.03189
