date,nav,cash,stock_value,option_liability,borrowed,notional_exposure,unleveraged_requirement,leveraged_requirement,available_capital,margin_utilization,n_short_puts,n_covered_calls,n_stock_names,n_active_names,cash_interest_accrued,cash_interest,financing_cost,available_liquidity,margin_liquidity,cash_liquidity
2019-12-31,20000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0,0,0,0,0.0,0.0,0,16492312.5,16544841.25,16492312.5
2020-01-01,19996156.47565414,20176186.47565414,0.0,180030.0,0.0,11017250.0,10837220.0,2709305.0,17286851.47565414,0.13549128820324305,4,0,0,4,2728.9589041095887,2728.9589041095887,0,17286851.47565414,17286851.47565414,17421873.97565414
2020-01-02,20070791.51834649,20178991.51834649,0.0,108200.0,0.0,11017250.0,10909050.0,2727262.5,17343529.01834649,0.13588215977964993,4,0,0,4,2805.042692348135,2805.042692348135,0,17343529.01834649,17343529.01834649,17424679.01834649
2020-01-03,20051126.95101662,20181796.95101662,0.0,130670.0,0.0,11017250.0,10886580.0,2721645.0,17329481.95101662,0.13573526349161183,4,0,0,4,2805.4326701328564,2805.4326701328564,0,17329481.95101662,17329481.95101662,17427484.45101662
2020-01-06,19947814.419123024,20190214.419123024,0.0,242400.0,0.0,11017250.0,10774850.0,2693712.5,17254101.919123024,0.13503797676289114,4,0,0,4,8417.46810640552,8417.46810640552,0,17254101.919123024,17254101.919123024,17435901.919123024
2020-01-07,20001751.41208384,20193021.41208384,0.0,191270.0,0.0,11017250.0,10825980.0,2706495.0,17295256.41208384,0.1353129005675423,4,0,0,4,2806.992960817528,2806.992960817528,0,17295256.41208384,17295256.41208384,17438708.91208384
2020-01-08,19994213.795293584,20195828.795293584,0.0,201615.0,0.0,11017250.0,10815635.0,2703908.75,17290305.045293584,0.13523456224302602,4,0,0,4,2807.3832097429986,2807.3832097429986,0,17290305.045293584,17290305.045293584,17441516.295293584
2020-01-09,20056736.568806507,20198636.568806507,0.0,141900.0,0.0,11017250.0,10875350.0,2718837.5,17337899.068806507,0.13555732213327798,4,0,0,4,2807.7735129237617,2807.7735129237617,0,17337899.068806507,17337899.068806507,17444324.068806507
2020-01-10,20080024.732676875,20201444.732676875,0.0,121420.0,0.0,11017250.0,10895830.0,2723957.5,17356067.232676875,0.1356550868967415,4,0,0,4,2808.1638703673593,2808.1638703673593,0,17356067.232676875,17356067.232676875,17447132.232676875
2020-01-13,20101470.39552312,20209870.39552312,0.0,108400.0,0.0,11017250.0,10908850.0,2727212.5,17374257.89552312,0.13567228895889072,4,0,0,4,8425.662846244011,8425.662846244011,0,17374257.89552312,17374257.89552312,17455557.89552312
