symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
TATASTEEL,1,residual_after_call_away,2020-11-27,7500,0,6800,700,0,0,0,0,3000,700,FLAT
VEDL,2,universe_removal_sale,2020-08-03,24500,0,0,24500,0,0,0,0,0,0,FLAT
ONGC,3,uncoverable_odd_lot,2020-06-25,4100,0,0,4100,0,0,0,0,0,0,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,17500,0,17200,300,0,0,0,0,10500,300,FLAT
UPL,8,completed,2020-06-25,8100,0,8100,0,0,0,0,0,0,0,FLAT
COALINDIA,12,completed,2020-06-25,24300,0,24300,0,0,0,0,0,0,0,FLAT
HDFCBANK,13,completed,2020-06-25,3500,0,3500,0,0,0,0,0,0,0,FLAT
TATAMOTORS,30,completed,2020-11-26,28500,0,28500,0,0,0,0,0,0,0,FLAT
M&M,35,completed,2020-11-26,7000,0,7000,0,0,0,0,0,0,0,FLAT
BAJFINANCE,37,completed,2020-10-29,1250,0,1250,0,0,0,0,0,0,0,FLAT
SUNPHARMA,41,cash_settlement_forced_sale,2020-09-24,8400,0,0,8400,0,0,0,0,0,0,FLAT
ASIANPAINT,57,completed,2021-05-27,1800,0,1800,0,0,0,0,0,1200,0,FLAT
TITAN,58,completed,2021-04-29,3000,0,3000,0,0,0,0,0,0,0,FLAT
BAJFINANCE,63,completed,2021-02-25,1000,0,1000,0,0,0,0,0,0,0,FLAT
ONGC,81,completed,2021-06-24,46200,0,46200,0,0,0,0,0,0,0,FLAT
BPCL,82,completed,2021-05-27,10800,0,10800,0,0,0,0,0,0,0,FLAT
INDUSINDBK,85,completed,2021-05-27,4500,0,4500,0,0,0,0,0,0,0,FLAT
SBIN,90,completed,2021-05-27,12000,0,12000,0,0,0,0,0,0,0,FLAT
JSWSTEEL,94,completed,2021-07-29,8100,0,8100,0,0,0,0,0,0,0,FLAT
M&M,112,completed,2021-10-28,5600,0,5600,0,0,0,0,0,0,0,FLAT
MARUTI,114,completed,2021-09-30,800,0,800,0,0,0,0,0,0,0,FLAT
TCS,116,completed,2021-08-26,1800,0,1800,0,0,0,0,0,0,0,FLAT
HDFCLIFE,119,completed,2021-08-26,8800,0,8800,0,0,0,0,0,0,0,FLAT
HINDUNILVR,120,completed,2021-08-26,2700,0,2700,0,0,0,0,0,0,0,FLAT
HINDALCO,123,completed,2021-09-30,15050,0,15050,0,0,0,0,0,0,0,FLAT
JSWSTEEL,125,completed,2022-03-31,1350,0,1350,0,0,0,0,0,0,0,FLAT
COALINDIA,137,completed,2022-03-31,37800,0,37800,0,0,0,0,0,29400,0,FLAT
ICICIBANK,148,completed,2022-01-27,8250,0,8250,0,0,0,0,0,0,0,FLAT
BHARTIARTL,149,residual_after_call_away,2022-01-28,9430,0,8550,880,0,0,0,0,880,880,FLAT
DRREDDY,156,completed,2023-04-27,1500,0,1500,0,0,0,0,0,0,0,FLAT
TITAN,157,completed,2022-03-31,3000,0,3000,0,0,0,0,0,0,0,FLAT
INFY,158,completed,2022-03-31,3900,0,3900,0,0,0,0,0,0,0,FLAT
IOC,165,universe_removal_sale,2022-04-01,45500,0,0,45500,0,0,0,0,0,0,FLAT
BAJFINANCE,174,completed,2023-09-28,1000,0,1000,0,0,0,0,0,0,0,FLAT
BAJAJFINSV,175,completed,2023-11-30,450,4050,4500,0,0,0,0,0,0,0,FLAT
RELIANCE,182,completed,2023-12-28,2500,0,2500,0,0,0,0,0,0,0,FLAT
INDUSINDBK,186,completed,2022-07-28,7200,0,7200,0,0,0,0,0,0,0,FLAT
COALINDIA,198,completed,2022-10-27,33600,0,33600,0,0,0,0,0,0,0,FLAT
HCLTECH,215,completed,2023-01-25,7000,0,7000,0,0,0,0,0,0,0,FLAT
JSWSTEEL,221,completed,2023-04-27,10800,0,10800,0,0,0,0,0,0,0,FLAT
LT,243,completed,2023-06-28,3600,0,3600,0,0,0,0,0,0,0,FLAT
EICHERMOT,249,completed,2023-11-30,2275,0,2275,0,0,0,0,0,2100,0,FLAT
TATAMOTORS,268,completed,2023-11-30,14250,0,14250,0,0,0,0,0,0,0,FLAT
HEROMOTOCO,272,completed,2023-10-26,600,0,600,0,0,0,0,0,0,0,FLAT
CIPLA,274,completed,2023-11-30,7800,0,7800,0,0,0,0,0,0,0,FLAT
LT,277,completed,2023-11-30,3300,0,3300,0,0,0,0,0,0,0,FLAT
HDFCLIFE,281,completed,2024-07-25,15400,0,15400,0,0,0,0,0,0,0,FLAT
HINDALCO,298,completed,2024-04-25,16800,0,16800,0,0,0,0,0,1400,0,FLAT
ULTRACEMCO,304,completed,2024-06-27,1000,0,1000,0,0,0,0,0,0,0,FLAT
JSWSTEEL,309,completed,2024-04-25,12150,0,12150,0,0,0,0,0,0,0,FLAT
TATASTEEL,314,completed,2024-02-29,77000,0,77000,0,0,0,0,0,0,0,FLAT
TATACONSUM,321,completed,2024-07-25,9000,0,9000,0,0,0,0,0,0,0,FLAT
DRREDDY,334,completed,2024-06-27,1875,0,1875,0,0,0,0,0,0,0,FLAT
AXISBANK,348,completed,2024-09-26,10000,0,10000,0,0,0,0,0,0,0,FLAT
RELIANCE,354,open,,4000,4000,0,0,8000,8000,0,8000,1000,0,OPEN_AT_END
TATAMOTORS,376,terminated,2025-10-13,12100,0,0,12100,0,0,0,0,9900,0,FLAT
SHRIRAMFIN,390,completed,2025-06-26,1500,6000,7500,0,0,0,0,0,300,0,FLAT
POWERGRID,393,open,,36000,0,0,0,36000,36000,0,36000,21600,0,OPEN_AT_END
ULTRACEMCO,398,completed,2024-12-26,1000,0,1000,0,0,0,0,0,900,0,FLAT
AXISBANK,399,completed,2025-10-28,5625,0,5625,0,0,0,0,0,2500,0,FLAT
DRREDDY,402,completed,2026-04-28,7500,0,7500,0,0,0,0,0,5625,0,FLAT
TATASTEEL,429,completed,2026-01-27,60500,0,60500,0,0,0,0,0,0,0,FLAT
JSWSTEEL,434,completed,2026-01-27,9450,0,9450,0,0,0,0,0,0,0,FLAT
HINDALCO,445,completed,2026-04-28,11900,0,11900,0,0,0,0,0,0,0,FLAT
TATASTEEL,456,completed,2026-04-28,55000,0,55000,0,0,0,0,0,0,0,FLAT
COALINDIA,466,open,,24300,0,0,0,24300,24300,0,24300,0,0,OPEN_AT_END
EICHERMOT,478,open,,1600,0,0,0,1600,1600,0,1600,0,0,OPEN_AT_END
BAJAJ-AUTO,479,open,,1125,0,0,0,1125,1125,0,1125,0,0,OPEN_AT_END
