date,symbol,event,opening_cash,premium_received,margin_requirement,leveraged_requirement,stock_cash_flow,transaction_costs,interest_income,borrowing_cost,closing_cash,available_liquidity,required_liquidity,remaining_liquidity,lots_considered,lots_executed,lots_rejected,rejection_reason
2019-12-31,TATASTEEL,put_decision,20000000.0,57375.0,3375000.0,829406.25,0.0,0.0,0.0,0.0,20000000.0,20000000.0,829492.4564525001,19170507.5435475,5,5,0,
2019-12-31,VEDL,put_decision,20000000.0,67375.0,3552500.0,871281.25,0.0,0.0,0.0,0.0,20000000.0,19156250.0,871378.3682525,18284871.6317475,7,7,0,
2019-12-31,ONGC,put_decision,20000000.0,41615.0,3515750.0,868533.75,0.0,0.0,0.0,0.0,20000000.0,18268125.0,868602.7594557,17399522.2405443,7,7,0,
2019-12-31,HINDALCO,put_decision,20000000.0,43750.0,3587500.0,885937.5,0.0,0.0,0.0,0.0,20000000.0,17389187.5,886008.8391249999,16503178.660875,5,5,0,
2020-01-01,,cash_interest,20000000.0,0.0,0.0,0.0,0.0,0.0,2728.9589041095887,0.0,20002728.95890411,16495041.45890411,0.0,16495041.45890411,0,0,0,
2020-01-01,TATASTEEL,option_sale,20002728.95890411,65446.5,3375000.0,826968.75,0.0,95.01391186999999,0.0,0.0,20068080.44499224,20002728.95890411,828742.2639118694,19173986.69499224,5,5,0,
2020-01-01,VEDL,option_sale,20068080.44499224,51450.0,3552500.0,874650.0,0.0,79.741211,0.0,0.0,20119450.70378124,19173986.69499224,877179.7412110008,18296806.95378124,7,7,0,
2020-01-01,ONGC,option_sale,20119450.70378124,6970.0,502250.0,123717.5,0.0,31.205524599999997,0.0,0.0,20126389.49825664,18296806.95378124,124158.70552460104,18172648.24825664,1,1,0,
2020-01-01,HINDALCO,option_sale,20126389.49825664,49875.0,3587500.0,883968.75,0.0,78.0226025,0.0,0.0,20176186.47565414,18172648.24825664,885796.7726024985,17286851.47565414,5,5,0,
2020-01-02,,cash_interest,20176186.47565414,0.0,0.0,0.0,0.0,0.0,2805.042692348135,0.0,20178991.51834649,17289656.51834649,0.0,17289656.51834649,0,0,0,
2020-01-03,,cash_interest,20178991.51834649,0.0,0.0,0.0,0.0,0.0,2805.4326701328564,0.0,20181796.95101662,17346334.45101662,0.0,17346334.45101662,0,0,0,
2020-01-06,,cash_interest,20181796.95101662,0.0,0.0,0.0,0.0,0.0,8417.46810640552,0.0,20190214.419123024,17337899.419123024,0.0,17337899.419123024,0,0,0,
2020-01-07,,cash_interest,20190214.419123024,0.0,0.0,0.0,0.0,0.0,2806.992960817528,0.0,20193021.41208384,17256908.91208384,0.0,17256908.91208384,0,0,0,
2020-01-08,,cash_interest,20193021.41208384,0.0,0.0,0.0,0.0,0.0,2807.3832097429986,0.0,20195828.795293584,17298063.795293584,0.0,17298063.795293584,0,0,0,
2020-01-09,,cash_interest,20195828.795293584,0.0,0.0,0.0,0.0,0.0,2807.7735129237617,0.0,20198636.568806507,17293112.818806507,0.0,17293112.818806507,0,0,0,
2020-01-10,,cash_interest,20198636.568806507,0.0,0.0,0.0,0.0,0.0,2808.1638703673593,0.0,20201444.732676875,17340707.232676875,0.0,17340707.232676875,0,0,0,
2020-01-13,,cash_interest,20201444.732676875,0.0,0.0,0.0,0.0,0.0,8425.662846244011,0.0,20209870.39552312,17364492.89552312,0.0,17364492.89552312,0,0,0,
2020-01-14,,cash_interest,20209870.39552312,0.0,0.0,0.0,0.0,0.0,2809.725680057043,0.0,20212680.121203177,17377067.621203177,0.0,17377067.621203177,0,0,0,
2020-01-15,,cash_interest,20212680.121203177,0.0,0.0,0.0,0.0,0.0,2810.1163089053566,0.0,20215490.23751208,17399730.23751208,0.0,17399730.23751208,0,0,0,
2020-01-16,,cash_interest,20215490.23751208,0.0,0.0,0.0,0.0,0.0,2810.506992061782,0.0,20218300.744504143,17409324.494504143,0.0,17409324.494504143,0,0,0,
2020-01-17,,cash_interest,20218300.744504143,0.0,0.0,0.0,0.0,0.0,2810.8977295338705,0.0,20221111.642233677,17404271.642233677,0.0,17404271.642233677,0,0,0,
2020-01-20,,cash_interest,20221111.642233677,0.0,0.0,0.0,0.0,0.0,8433.865563987518,0.0,20229545.507797666,17415356.757797666,0.0,17415356.757797666,0,0,0,
2020-01-21,,cash_interest,20229545.507797666,0.0,0.0,0.0,0.0,0.0,2812.4610597073765,0.0,20232357.968857374,17411246.718857374,0.0,17411246.718857374,0,0,0,
2020-01-22,,cash_interest,20232357.968857374,0.0,0.0,0.0,0.0,0.0,2812.852068848404,0.0,20235170.820926223,17400049.570926223,0.0,17400049.570926223,0,0,0,
2020-01-23,,cash_interest,20235170.820926223,0.0,0.0,0.0,0.0,0.0,2813.2431323504143,0.0,20237984.064058572,17385196.564058572,0.0,17385196.564058572,0,0,0,
2020-01-24,,cash_interest,20237984.064058572,0.0,0.0,0.0,0.0,0.0,2813.634250220965,0.0,20240797.698308792,17412223.948308792,0.0,17412223.948308792,0,0,0,
2020-01-27,,cash_interest,20240797.698308792,0.0,0.0,0.0,0.0,0.0,8442.076267402846,0.0,20249239.774576195,17440518.524576195,0.0,17440518.524576195,0,0,0,
2020-01-28,,cash_interest,20249239.774576195,0.0,0.0,0.0,0.0,0.0,2815.199102358545,0.0,20252054.97367855,17351376.22367855,0.0,17351376.22367855,0,0,0,
2020-01-29,,cash_interest,20252054.97367855,0.0,0.0,0.0,0.0,0.0,2815.5904921625156,0.0,20254870.564170714,17260708.064170714,0.0,17260708.064170714,0,0,0,
2020-01-30,,cash_interest,20254870.564170714,0.0,0.0,0.0,0.0,0.0,2815.9819363803917,0.0,20257686.546107095,17314981.546107095,0.0,17314981.546107095,0,0,0,
2020-01-30,ONGC,put_assignment,20257686.546107095,0.0,473960.0,118490.0,-502250.0,2059.8176550000003,0.0,0.0,19753376.728452094,17124626.728452094,0.0,17124626.728452094,0,0,0,
2020-01-30,TATASTEEL,put_assignment,19753376.728452094,0.0,3364125.0,841031.25,-3375000.0,13841.4825,0.0,0.0,16364535.245952094,14579535.245952094,0.0,14579535.245952094,0,0,0,
2020-01-30,VEDL,put_assignment,16364535.245952094,0.0,3453274.9999999995,863318.7499999999,-3552500.0,14569.44195,0.0,0.0,12797465.804002093,11900590.804002093,0.0,11900590.804002093,0,0,0,
2020-01-30,HINDALCO,put_assignment,12797465.804002093,0.0,3385375.0,846343.75,-3587500.0,14712.98325,0.0,0.0,9195252.820752094,9195252.820752094,0.0,9195252.820752094,0,0,0,
2020-01-31,,cash_interest,9195252.820752094,0.0,0.0,0.0,0.0,0.0,1278.392066819356,0.0,9196531.212818913,9196531.212818913,0.0,9196531.212818913,0,0,0,
2020-01-31,HINDALCO,option_sale,9196531.212818913,43750.0,0.0,817031.25,0.0,71.339125,0.0,0.0,9240209.873693913,9196531.212818913,0.0,9196531.212818913,5,5,0,
2020-01-31,TATASTEEL,option_sale,9240209.873693913,68371.5,0.0,805031.25,0.0,98.20561337,0.0,0.0,9308483.168080544,9240209.873693913,0.0,9240209.873693913,5,5,0,
2020-01-31,VEDL,option_sale,9308483.168080544,73500.0,0.0,825650.0,0.0,103.80172999999999,0.0,0.0,9381879.366350545,9308483.168080544,0.0,9308483.168080544,7,7,0,
2020-02-03,,cash_interest,9381879.366350545,0.0,0.0,0.0,0.0,0.0,3913.0148091407536,0.0,9385792.381159686,9385792.381159686,0.0,9385792.381159686,0,0,0,
2020-02-03,ONGC,call_fill_rejected,9385792.381159686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9385792.381159686,9385792.381159686,0.0,9385792.381159686,0,0,0,participation_or_shares
2020-02-03,DRREDDY,put_decision,9385792.381159686,40375.0,3750000.0,927406.25,0.0,0.0,0.0,0.0,9385792.381159686,9385792.381159686,927473.9063925,8458318.474767186,5,5,0,
2020-02-03,BAJFINANCE,put_decision,9385792.381159686,24450.000000000004,3075000.0,762637.5,0.0,0.0,0.0,0.0,9385792.381159686,8448292.381159686,762687.779351,7685604.601808686,3,3,0,
2020-02-04,,cash_interest,9385792.381159686,0.0,0.0,0.0,0.0,0.0,1308.225170935614,0.0,9387100.606330622,7680850.606330622,0.0,7680850.606330622,0,0,0,
2020-02-04,DRREDDY,option_sale,9387100.606330622,18281.25,3750000.0,932812.5,0.0,43.548134375000004,0.0,0.0,9405338.308196247,9387100.606330622,919262.2981343754,8467838.308196247,5,5,0,
2020-02-04,BAJFINANCE,option_sale,9405338.308196247,11005.35,3075000.0,765928.125,0.0,35.608817813,0.0,0.0,9416308.049378432,8467838.308196247,757780.2588178143,7710058.049378432,3,3,0,
