cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,cash_settled,stopped_out,stop_level,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-11-27,residual_after_call_away,1,7,True,True,315787.84,-500207.1599999997,979937.9274999998,30118.229904192453,861402.5,3445610.0,450.0,448.55,2020-01-30,438.7,253.75,7500,0,6800,700,False,False,397.5875,3000,700,1,-500207.1599999997,979937.9274999998,30118.229904192453,449612.53759580763,Metals & Mining,331,-0.0032222222222222374,-0.43428826217812955
2,VEDL,2020-01-01,2020-08-03,universe_removal_sale,1,2,True,False,140875.0,41649.99999999972,-534287.4249999996,17742.6841666705,886593.75,3546375.0,145.0,140.95,2020-01-30,137.9,61.55,24500,0,0,24500,False,False,131.41,0,0,0,41649.99999999972,-534287.4249999996,17742.6841666705,-510380.1091666704,Metals & Mining,215,-0.027931034482758688,-0.5633203263568641
3,ONGC,2020-01-01,2020-06-25,uncoverable_odd_lot,1,1,True,False,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,124281.25,497125.0,122.5,115.6,2020-01-30,109.25,60.0,4100,0,0,4100,False,False,108.3325,0,0,0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,Oil Gas & Consumable Fuels,176,-0.05632653061224491,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,226605.0,-403800.00000000023,654276.0475000003,30848.30543298965,900408.75,3601635.0,205.0,193.45,2020-01-30,189.35,87.9,17500,0,17200,300,False,False,182.155,10500,300,0,-403800.0000000003,654276.0475000003,30848.30543298965,219627.74206701043,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,DRREDDY,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,18281.25,18281.25,0.0,43.548134375000004,936421.875,3745687.5,3000.0,0.0,,,,0,0,0,0,False,False,2755.5724999999998,0,0,0,18281.25,0.0,43.548134375000004,18237.701865625,Healthcare,23,,
6,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,11005.35,11005.35,0.0,35.608817813,768665.625,3074662.5,4100.0,0.0,,,,0,0,0,0,False,False,3841.3624999999997,0,0,0,11005.35,0.0,35.608817813,10969.741182187001,Financial Services,23,,
7,KOTAKBANK,2020-03-30,2020-04-30,put_expired_otm,1,0,False,False,309855.0,309855.0,0.0,361.70757890000004,659275.0,2637100.0,1340.0,0.0,,,,0,0,0,0,False,False,1099.645,0,0,0,309855.0,0.0,361.70757890000004,309493.2924211,Financial Services,31,,
8,UPL,2020-05-04,2020-06-25,completed,1,1,True,True,516496.5,177916.50000000032,419579.99999999965,28086.65596997,830047.5,3320190.0,400.0,391.1,2020-05-28,405.85,405.0,8100,0,8100,0,False,False,327.59,0,0,0,177916.50000000032,419579.99999999965,28086.65596997,569409.84403003,Chemicals,52,-0.022249999999999992,0.035540782408591154
9,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,142471.875,142471.875,0.0,179.06246056250004,839671.875,3358687.5,1920.0,0.0,,,,0,0,0,0,False,False,1640.8825,0,0,0,142471.875,0.0,179.06246056250004,142292.8125394375,Information Technology,24,,
10,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,131137.6,131137.59999999998,0.0,166.694726368,693600.0,2774400.0,1400.0,0.0,,,,0,0,0,0,False,False,1219.92,0,0,0,131137.59999999998,0.0,166.694726368,130970.90527363197,Oil Gas & Consumable Fuels,24,,
11,INFY,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,151866.24,151866.24,0.0,189.3134037632,815460.0,3261840.0,680.0,0.0,,,,0,0,0,0,False,False,572.645,0,0,0,151866.24,0.0,189.3134037632,151676.9265962368,Information Technology,24,,
12,COALINDIA,2020-05-04,2020-06-25,completed,1,1,True,True,284310.0,126360.0,157950.0,27803.2946606,845640.0,3382560.0,140.0,133.9,2020-05-28,141.3,129.45,24300,0,24300,0,False,False,120.95500000000001,0,0,0,126360.0,157950.0,27803.2946606,256506.70533939998,Oil Gas & Consumable Fuels,52,-0.04357142857142848,-0.03323375653472749
13,HDFCBANK,2020-05-04,2020-06-25,completed,1,1,True,True,348586.69999999995,126336.69999999997,292250.0,28447.468754056,860650.0,3442600.0,960.0,945.25,2020-05-28,951.65,949.85,3500,0,3500,0,False,False,784.55,0,0,0,126336.69999999997,292250.0,28447.468754056,390139.231245944,Financial Services,52,-0.015364583333333348,0.004866437450409933
14,BHARTIARTL,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,86355.8136,86355.8136,0.0,117.82973668404799,680173.0875,2720692.35,490.0,0.0,,,,0,0,0,0,False,False,452.625,0,0,0,86355.8136,0.0,117.82973668404799,86237.98386331595,Telecommunication,24,,
15,HEROMOTOCO,2020-06-01,2020-06-25,put_expired_otm,1,0,False,False,121835.99999999999,121835.99999999999,0.0,156.47312323999998,899420.0,3597680.0,2250.0,0.0,,,,0,0,0,0,False,False,1977.355,0,0,0,121835.99999999999,0.0,156.47312323999998,121679.52687675999,Automobile,24,,
16,ADANIPORTS,2020-06-01,2020-06-25,put_expired_otm,1,0,False,False,45338.0,45338.0,0.0,73.04516941999998,774750.0,3099000.0,310.0,0.0,,,,0,0,0,0,False,False,279.9475,0,0,0,45338.0,0.0,73.04516941999998,45264.95483058,Services,24,,
17,BAJFINANCE,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,262396.875,262396.875,0.0,309.76740790625,890484.375,3561937.5,2850.0,0.0,,,,0,0,0,0,False,False,2467.975,0,0,0,262396.875,0.0,309.76740790625,262087.10759209376,Financial Services,34,,
18,RELIANCE,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,80060.276,80060.276,0.0,110.91293640284,828124.25,3312497.0,1640.0,0.0,,,,0,0,0,0,False,False,1480.4025000000001,0,0,0,80060.276,0.0,110.91293640284,79949.36306359716,Oil Gas & Consumable Fuels,34,,
19,HDFCBANK,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,91216.125,91216.125,0.0,123.07939376375,943009.375,3772037.5,980.0,0.0,,,,0,0,0,0,False,False,897.9825,0,0,0,91216.125,0.0,123.07939376375,91093.04560623625,Financial Services,34,,
20,M&M,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,113635.9,113635.9,0.0,147.530176181,839912.5,3359650.0,480.0,0.0,,,,0,0,0,0,False,False,426.19,0,0,0,113635.9,0.0,147.530176181,113488.369823819,Automobile,34,,
21,POWERGRID,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,71000.0,71000.0,0.0,101.03189,849500.0,3398000.0,170.0,0.0,,,,0,0,0,0,False,False,152.32,0,0,0,71000.0,0.0,101.03189,70898.96811,Power,34,,
22,HINDUNILVR,2020-06-26,2020-07-30,put_expired_otm,1,0,False,False,66865.5,66865.5,0.0,96.522845645,926932.5,3707730.0,2060.0,0.0,,,,0,0,0,0,False,False,1831.0699999999997,0,0,0,66865.5,0.0,96.522845645,66768.977154355,FMCG,34,,
