date,symbol,mark_value
2020-01-01,TATASTEEL,-67125.0
2020-01-01,VEDL,-53900.00000000001
2020-01-01,ONGC,-7380.0
2020-01-01,HINDALCO,-51625.0
2020-01-02,TATASTEEL,-39375.0
2020-01-02,VEDL,-33075.0
2020-01-02,ONGC,-5125.0
2020-01-02,HINDALCO,-30625.0
2020-01-03,TATASTEEL,-41625.0
2020-01-03,VEDL,-39200.0
2020-01-03,ONGC,-6970.0
2020-01-03,HINDALCO,-42875.0
2020-01-06,TATASTEEL,-57375.0
2020-01-06,VEDL,-86975.0
2020-01-06,ONGC,-12300.0
2020-01-06,HINDALCO,-85750.0
2020-01-07,TATASTEEL,-49125.0
2020-01-07,VEDL,-51450.0
2020-01-07,ONGC,-11070.0
2020-01-07,HINDALCO,-79625.0
2020-01-08,TATASTEEL,-48750.0
2020-01-08,VEDL,-47775.0
2020-01-08,ONGC,-14965.0
2020-01-08,HINDALCO,-90125.0
2020-01-09,TATASTEEL,-32624.999999999996
2020-01-09,VEDL,-36750.0
2020-01-09,ONGC,-11275.0
2020-01-09,HINDALCO,-61250.0
2020-01-10,TATASTEEL,-27375.0
2020-01-10,VEDL,-30625.0
2020-01-10,ONGC,-10045.0
2020-01-10,HINDALCO,-53375.0
2020-01-13,TATASTEEL,-19875.0
2020-01-13,VEDL,-26950.000000000004
2020-01-13,ONGC,-8200.0
2020-01-13,HINDALCO,-53375.0
2020-01-14,TATASTEEL,-13125.0
2020-01-14,VEDL,-15925.0
2020-01-14,ONGC,-7380.0
2020-01-14,HINDALCO,-45500.0
2020-01-15,TATASTEEL,-13500.0
2020-01-15,VEDL,-15925.0
2020-01-15,ONGC,-7585.0
2020-01-15,HINDALCO,-35875.0
2020-01-16,TATASTEEL,-12375.0
2020-01-16,VEDL,-12250.0
2020-01-16,ONGC,-7995.0
2020-01-16,HINDALCO,-50750.0
2020-01-17,TATASTEEL,-9750.0
2020-01-17,VEDL,-17150.0
2020-01-17,ONGC,-6560.0
2020-01-17,HINDALCO,-46375.0
2020-01-20,TATASTEEL,-8250.0
2020-01-20,VEDL,-17150.0
2020-01-20,ONGC,-12915.0
2020-01-20,HINDALCO,-50750.0
2020-01-21,TATASTEEL,-16500.0
2020-01-21,VEDL,-20825.0
2020-01-21,ONGC,-10045.0
2020-01-21,HINDALCO,-60375.0
2020-01-22,TATASTEEL,-14250.0
2020-01-22,VEDL,-20825.0
2020-01-22,ONGC,-29725.0
2020-01-22,HINDALCO,-66500.0
2020-01-23,TATASTEEL,-6750.0
2020-01-23,VEDL,-14700.0
2020-01-23,ONGC,-24190.0
2020-01-23,HINDALCO,-53375.0
2020-01-24,TATASTEEL,-4125.0
2020-01-24,VEDL,-6125.0
2020-01-24,ONGC,-20295.0
2020-01-24,HINDALCO,-42000.0
2020-01-27,TATASTEEL,-16500.0
2020-01-27,VEDL,-24500.0
2020-01-27,ONGC,-23780.0
2020-01-27,HINDALCO,-130375.0
2020-01-28,TATASTEEL,-50625.0
2020-01-28,VEDL,-85750.0
2020-01-28,ONGC,-27675.0
2020-01-28,HINDALCO,-155750.0
2020-01-29,TATASTEEL,-15374.999999999998
2020-01-29,VEDL,-77175.0
2020-01-29,ONGC,-22140.0
2020-01-29,HINDALCO,-136500.0
2020-01-30,TATASTEEL,3364125.0
2020-01-30,VEDL,3453274.9999999995
2020-01-30,ONGC,473960.0
2020-01-30,HINDALCO,3385375.0
2020-01-31,TATASTEEL,3220125.0
2020-01-31,VEDL,3302600.0
2020-01-31,ONGC,446695.0
2020-01-31,HINDALCO,3268125.0
2020-02-03,TATASTEEL,3220125.0
2020-02-03,VEDL,3242575.0
2020-02-03,ONGC,424145.0
2020-02-03,HINDALCO,3162250.0
2020-02-04,TATASTEEL,3316875.0
2020-02-04,VEDL,3340575.0000000005
2020-02-04,ONGC,435215.0
2020-02-04,HINDALCO,3284750.0
2020-02-04,DRREDDY,-18750.0
2020-02-04,BAJFINANCE,-11287.5
2020-02-05,TATASTEEL,3419250.0
2020-02-05,VEDL,3427550.0
2020-02-05,ONGC,437880.0
2020-02-05,HINDALCO,3380125.0
