symbol,exit_reason,removal_date,decision_date,position_before_exit,cancelled_orders,fill_date,exit_action,exit_price,realized_pnl,transaction_cost,cash_before,cash_after,position_after_exit,nav_after,available_liquidity_after,margin_utilization_after,residual,data_unavailable
VEDL,UNIVERSE_REMOVAL,2020-07-31,2020-07-31,31500 shares,,2020-08-03,sell shares,115.2424,-686940.9749999994,3786.8314439335,10853973.480575753,14480320.67413182,flat,20987481.924131818,7765420.67413182,0.38195779174359473,False,
UPL,UNIVERSE_REMOVAL,2024-03-28,2024-03-28,5200 shares,,2024-04-01,sell shares,465.9669,-1359712.12,2536.1515931252807,4338489.299911061,6758981.028317936,flat,54438956.028317936,6758981.028317936,0.1751685869038265,False,
