date,symbol,mark_value
2020-04-22,TATASTEEL,2816100.0000000005
2020-04-22,VEDL,2397150.0
2020-04-22,ONGC,267935.0
2020-04-22,HINDALCO,2274300.0
2020-04-22,KOTAKBANK,-456000.0
2020-04-23,TATASTEEL,2837100.0
2020-04-23,VEDL,2444400.0
2020-04-23,ONGC,276135.0
2020-04-23,HINDALCO,2336250.0
2020-04-23,KOTAKBANK,-276600.0
2020-04-24,TATASTEEL,2808750.0
2020-04-24,VEDL,2455425.0
2020-04-24,ONGC,277160.0
2020-04-24,HINDALCO,2176650.0
2020-04-24,KOTAKBANK,-282600.0
2020-04-27,TATASTEEL,2851799.9999999995
2020-04-27,VEDL,2471175.0
2020-04-27,ONGC,280645.0
2020-04-27,HINDALCO,2272200.0
2020-04-27,KOTAKBANK,-127800.0
2020-04-28,TATASTEEL,2871750.0
2020-04-28,VEDL,2420775.0
2020-04-28,ONGC,283720.0
2020-04-28,HINDALCO,2283750.0
2020-04-28,KOTAKBANK,-79440.0
2020-04-29,TATASTEEL,2967299.9999999995
2020-04-29,VEDL,2493225.0
2020-04-29,ONGC,289050.0
2020-04-29,HINDALCO,2442300.0
2020-04-29,KOTAKBANK,-51480.0
2020-04-30,TATASTEEL,3132150.0
2020-04-30,VEDL,2820825.0
2020-04-30,ONGC,327590.0
2020-04-30,HINDALCO,2734199.9999999995
2020-05-04,TATASTEEL,2872800.0000000005
2020-05-04,VEDL,2518425.0
2020-05-04,ONGC,313855.0
2020-05-04,HINDALCO,2433900.0
2020-05-04,UPL,-429165.0
2020-05-04,TCS,-167000.0
2020-05-04,RELIANCE,-168125.0
2020-05-04,INFY,-155760.0
2020-05-04,COALINDIA,-167400.0
2020-05-04,HDFCBANK,-305600.0
2020-05-04,BHARTIARTL,-118093.79999999999
2020-05-05,TATASTEEL,2862824.9999999995
2020-05-05,VEDL,2485350.0
2020-05-05,ONGC,321645.0
2020-05-05,HINDALCO,2433900.0
2020-05-05,UPL,-414810.0
2020-05-05,TCS,-153800.0
2020-05-05,RELIANCE,-132625.0
2020-05-05,INFY,-147600.0
2020-05-05,COALINDIA,-232200.0
2020-05-05,HDFCBANK,-319800.0
2020-05-05,BHARTIARTL,-107358.0
2020-05-06,TATASTEEL,2916375.0
2020-05-06,VEDL,2502675.0
2020-05-06,ONGC,324925.0
2020-05-06,HINDALCO,2490600.0
