cycle_id,symbol,start,end,status,n_puts,n_calls,assigned,called_away,premium,option_pnl,stock_pnl,costs,max_margin_lev,max_margin_unlev,put_strike,assign_fsp,assign_date,first_call_spot,min_spot_while_held,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,cash_settled,stopped_out,stop_level,max_uncovered_at_call,residual_after_call_away,n_call_topups,option_pnl_t,stock_pnl_t,costs_t,total_pnl,sector,duration_days,assignment_gap_pct,drawdown_while_held_pct
1,TATASTEEL,2020-01-01,2020-11-27,residual_after_call_away,1,7,True,True,456962.46,-765942.5399999996,1366023.3974999997,43227.363770768054,957390.0,4786950.0,450.0,448.55,2020-01-30,438.7,253.75,10500,0,10200,300,False,False,397.5875,6000,300,2,-765942.5399999996,1366023.3974999997,43227.363770768054,556853.4937292321,Metals & Mining,331,-0.0032222222222222374,-0.43428826217812955
2,VEDL,2020-01-01,2020-08-03,universe_removal_sale,1,2,True,False,181125.0,53549.99999999964,-686940.9749999994,22787.411071433497,911925.0,4559625.0,145.0,140.95,2020-01-30,137.9,61.55,31500,0,0,31500,False,False,131.41,0,0,0,53549.99999999964,-686940.9749999994,22787.411071433497,-656178.3860714333,Metals & Mining,215,-0.027931034482758688,-0.5633203263568641
3,ONGC,2020-01-01,2020-06-25,uncoverable_odd_lot,1,1,True,False,8815.0,-19475.000000000022,-119067.27999999996,2479.3903792168003,99425.0,497125.0,122.5,115.6,2020-01-30,109.25,60.0,4100,0,0,4100,False,False,108.3325,0,0,0,-19475.000000000022,-119067.27999999996,2479.3903792168003,-141021.67037921678,Oil Gas & Consumable Fuels,176,-0.05632653061224491,-0.4809688581314878
4,HINDALCO,2020-01-01,2020-11-27,residual_after_call_away,1,6,True,True,245330.0,-425500.0000000003,772529.9350000004,34633.9971328689,876742.0,4383710.0,205.0,193.45,2020-01-30,189.35,87.9,21000,0,17200,3800,False,False,182.155,14000,3800,0,-425500.0000000003,772529.9350000004,34633.997132868906,312395.9378671312,Metals & Mining,331,-0.056341463414634196,-0.54561902300336
5,DRREDDY,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,21937.5,21937.5,0.0,47.53776125,898965.0,4494825.0,3000.0,0.0,,,,0,0,0,0,False,False,2755.5724999999998,0,0,0,21937.5,0.0,47.53776125,21889.96223875,Healthcare,23,,
6,BAJFINANCE,2020-02-04,2020-02-27,put_expired_otm,1,0,False,False,14673.8,14673.8,0.0,39.611757084,819910.0,4099550.0,4100.0,0.0,,,,0,0,0,0,False,False,3841.3624999999997,0,0,0,14673.8,0.0,39.611757084,14634.188242916,Financial Services,23,,
7,KOTAKBANK,2020-03-30,2020-04-30,put_expired_otm,1,0,False,False,371826.0,371826.0,0.0,429.32909468,632904.0,3164520.0,1340.0,0.0,,,,0,0,0,0,False,False,1099.645,0,0,0,371826.0,0.0,429.32909468,371396.67090532,Financial Services,31,,
8,UPL,2020-05-04,2020-05-28,put_cash_settled,1,0,False,False,418435.38,330325.3800000002,0.0,558.5204877483999,762102.0,3810510.0,400.0,0.0,,,,0,0,0,0,True,False,327.59,0,0,0,330325.3800000002,0.0,558.5204877483999,329766.8595122518,Chemicals,24,,
9,TCS,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,162825.0,162825.0,0.0,201.2713835,767700.0,3838500.0,1920.0,0.0,,,,0,0,0,0,False,False,1640.8825,0,0,0,162825.0,0.0,201.2713835,162623.7286165,Information Technology,24,,
10,RELIANCE,2020-05-04,2020-05-28,put_expired_otm,1,0,False,False,163922.0,163921.99999999997,0.0,202.46840796,693600.0,3468000.0,1400.0,0.0,,,,0,0,0,0,False,False,1219.92,0,0,0,163921.99999999997,0.0,202.46840796,163719.53159203997,Oil Gas & Consumable Fuels,24,,
