put_otm,call_otm,leverage,final_nav,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,calmar,offsets
0.02,0.02,1.0,39632664.74246262,0.11100893733809825,0.06226904097062292,0.9130543725621293,1.2644633072421998,-0.09185290926642575,2024-09-27,2025-02-28,2025-05-26,1.2085511305483978,put 2% / call 2%
0.02,0.02,2.0,56225711.22335456,0.17245192264109588,0.12828627726167044,0.9208159194398431,1.260357385574533,-0.20037656229126222,2024-09-27,2025-02-28,2026-01-06,0.8606391918752663,put 2% / call 2%
0.02,0.02,3.0,62703980.21969114,0.19229761314899751,0.17338043003556716,0.8198269047938505,1.1062291099792092,-0.3009101699630842,2020-01-15,2020-03-30,2020-07-21,0.639053220343429,put 2% / call 2%
0.02,0.02,4.0,60513183.13744339,0.18578889046712677,0.2025496075715288,0.7015856105671708,0.9399458868281788,-0.3735589265985615,2020-01-15,2020-03-30,2020-08-04,0.4973482822611853,put 2% / call 2%
0.02,0.02,5.0,70844838.35106191,0.21491082961352892,0.2228755065771985,0.7683546408003427,1.036257919246293,-0.3765172016093964,2020-01-15,2020-03-23,2020-07-06,0.5707862182522011,put 2% / call 2%
0.04,0.03,1.0,36499660.36458634,0.09701539155866512,0.048892112053082255,0.8829202511501306,1.224698811617299,-0.06540343148207473,2024-09-27,2025-02-28,2025-05-12,1.4833379435948153,put 4% / call 3%
0.04,0.03,2.0,51183169.305971295,0.15561706451515955,0.106712806233753,0.9446921263656789,1.3135126520008211,-0.15671260551006883,2024-09-27,2025-04-07,2025-09-19,0.9930092350175437,put 4% / call 3%
0.04,0.03,3.0,58774324.095849894,0.18047936249370178,0.13822497791536772,0.9145900107588749,1.2644713466059416,-0.22252368838177605,2024-09-27,2025-02-28,,0.8110568533452479,put 4% / call 3%
0.04,0.03,4.0,57353565.95573328,0.1760415539747051,0.16352741114195876,0.7731324762021365,1.0529139915870136,-0.29993632919324065,2024-09-27,2025-03-03,,0.5869297475508091,put 4% / call 3%
0.04,0.03,5.0,52042768.70023064,0.15858333338708963,0.19291170540750802,0.6036344911306768,0.8156851325067541,-0.3549894555504456,2024-09-27,2025-03-03,,0.44672688415826545,put 4% / call 3%
0.06,0.05,1.0,36477759.036443315,0.09691404777721457,0.04238634282374082,1.0091400169587765,1.396944262394738,-0.04712000406327976,2024-10-01,2025-02-28,2025-03-24,2.056749563244179,put 6% / call 5%
0.06,0.05,2.0,48107961.14964734,0.14464798813399682,0.08923152051644805,1.0013954976890274,1.385808853373639,-0.13048559809387672,2024-09-27,2025-01-27,2025-06-06,1.1085360395860016,put 6% / call 5%
0.06,0.05,3.0,55289234.956902556,0.16942479886016426,0.11763371861107257,0.9707012046691309,1.3258666857235473,-0.17078782303965334,2024-09-27,2025-02-28,2025-10-01,0.9920191957761965,put 6% / call 5%
0.06,0.05,4.0,49701624.02234097,0.15040421123346825,0.14388779943558688,0.7013058984199189,0.9380100500660616,-0.2795758373477968,2024-09-27,2025-02-28,,0.5379728543792682,put 6% / call 5%
0.06,0.05,5.0,55888435.60235573,0.17136664141726388,0.16332621094732572,0.7496081673584029,0.9898340839330138,-0.25641833563489147,2024-09-27,2025-04-07,,0.6683088437999579,put 6% / call 5%
