symbol,days_active,total_pnl,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,calmar,csp_cycles,puts_sold,calls_sold,delivered,itm_cash_settled,called_away,avg_days_held_post_delivery,assignment_rate,itm_put_rate,call_away_rate,premium_sold,premium_income,delivery_leg_price_pnl,dividends,costs,premium_capture
TATAMOTORS,509,-4464375.834794287,-0.3449613630326922,0.5756558531748425,-0.5364944641495841,-0.6847456446674914,-0.9681485947568226,2020-09-16,2025-04-07,,-0.3563103483296785,13,13,3,1,2,0,382.0,0.07692307692307693,0.23076923076923078,0.0,1995802.4225,1995802.4225,-6470510.15625,82500.0,72168.1010442855,1.0
HCLTECH,221,-4265652.468750412,-0.31591111443429754,0.39527255883249557,-0.877171249426147,-1.0094314876470534,-0.9209856675628139,2022-01-14,2026-06-30,,-0.34301414838548666,6,6,3,2,1,1,76.5,0.3333333333333333,0.5,0.5,448754.04,448754.04,-4850020.0,253400.0,117786.5087504117,1.0
NESTLEIND,100,-1690128.2907589767,-0.09456294844122515,0.11560775259816143,-1.2678386405874935,-1.301979077596757,-0.5114147536641752,2024-10-01,2024-10-24,,-0.18490461560544008,5,5,0,0,1,0,,0.0,0.2,,266121.375,266121.375,-1954890.000000001,0.0,1359.6657589755007,1.0
INFY,365,-1642063.9945330597,-0.09454123004110693,0.18753535680385788,-0.7169872566678709,-0.786297453810509,-0.6462587214838117,2026-02-03,2026-02-24,,-0.14629006448692874,10,10,8,1,1,0,246.0,0.1,0.2,0.0,755231.3200000001,755231.3200000001,-2401966.23,9750.0,5079.0845330599,1.0
TRENT,262,-1322041.3189550508,-0.17717048158418125,0.5015767675450341,-0.23694977211610252,-0.31995415567741364,-0.924632119116942,2025-04-03,2026-03-30,,-0.19161186154055046,2,2,3,1,0,0,334.0,0.5,0.5,0.0,466513.02,466513.02,-1752200.0000000007,12000.0,48354.33895505067,1.0
SBIN,356,-998047.0856122458,-0.12939276049507287,0.2713066614589106,-0.5722326240987414,-0.6815373307963928,-0.5935284677576759,2019-12-31,2026-03-30,,-0.2180059888010308,14,14,4,1,3,1,119.0,0.07142857142857142,0.2857142857142857,1.0,1504966.95,1504966.95,-2417250.000000001,0.0,85764.0356122453,1.0
WIPRO,111,-980170.3699308462,-0.09899691071911332,0.1417063298714293,-1.0442795291654265,-1.1130969404141353,-0.6232128623911215,2022-01-04,2024-01-11,,-0.15884927396922682,6,6,0,0,1,0,,0.0,0.16666666666666666,,624988.08,624988.08,-1603200.0,0.0,1958.4499308463999,1.0
MARUTI,301,-797278.4085710724,-0.014557163637987092,0.22132487703801126,-0.19259572167682754,-0.2557721379394139,-0.5229875176243367,2024-04-25,2025-09-02,,-0.027834629216606926,12,12,3,2,1,2,49.0,0.16666666666666666,0.25,1.0,1251095.535,1251095.535,-1982082.4999999988,45000.0,111291.4435710721,1.0
BAJAJFINSV,213,-668980.9415457862,-0.0444438363039924,0.17998685134056105,-0.4551372871244059,-0.5478190530716505,-0.4967026110751418,2021-09-30,2024-10-25,,-0.08947775854810008,11,11,0,0,2,0,,0.0,0.18181818181818182,,1146769.6475,1146769.6475,-1813074.9999999998,0.0,2675.58904578665,1.0
TECHM,883,-583851.420467699,-0.2670057865570973,0.67988109407376,-0.19326502204484836,-0.2622230343811816,-0.9188880418877987,2022-01-04,2023-04-26,,-0.29057488440980295,8,8,10,2,0,1,535.5,0.25,0.25,0.5,937123.92,937123.92,-1982159.9999999993,576000.0,114815.34046769704,1.0
KOTAKBANK,147,-551586.4225595932,-0.06360547014686635,0.15011769157258886,-0.7182261859180881,-0.8287675256746224,-0.47243714847543405,2020-07-30,2022-06-29,,-0.13463266034883734,7,7,0,0,2,0,,0.0,0.2857142857142857,,616376.2,616376.2,-1166320.000000001,0.0,1642.6225595924006,1.0
GAIL,36,-86592.6779681,-0.00995664240021421,0.06904481108868815,-0.8733117800972195,-1.0413574586308436,-0.19153954654644,2021-03-08,2021-03-25,,-0.0519821758991173,2,2,0,0,1,0,,0.0,0.5,,255590.0,255590.0,-341600.0,0.0,582.6779680999999,1.0
TITAN,162,-35763.80328679933,0.006708890299083059,0.08362020372985544,-0.5035399311456813,-0.6124948608279895,-0.18723187215670867,2025-07-02,2025-11-03,,0.03583198854876522,8,8,0,0,1,0,,0.0,0.125,,472973.53750000003,472973.53750000003,-507727.49999999936,0.0,1009.8407867999247,1.0
