symbol,days_active,total_pnl,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,calmar,csp_cycles,puts_sold,calls_sold,delivered,itm_cash_settled,called_away,avg_days_held_post_delivery,assignment_rate,itm_put_rate,call_away_rate,premium_sold,premium_income,delivery_leg_price_pnl,dividends,costs,premium_capture
IOC,37,-154985.49610874394,-0.016172756550467238,0.08011049890755305,-0.8203693847770818,-0.909656277052645,-0.19854475183563358,2022-02-18,2022-02-24,,-0.08145647971524297,2,2,0,0,1,0,,0.0,0.5,,235606.80000000002,235606.80000000002,-390000.0,0.0,592.296108744,1.0
WIPRO,163,58189.010843073425,0.002153697591574799,0.06372759001252974,-0.7579813170718744,-0.9389756676828902,-0.2764234050727937,2021-06-24,2024-01-08,,0.007791299694783954,9,9,0,0,0,0,,0.0,0.0,,614113.47,59506.109999999986,1.4551915228366852e-11,0.0,1317.0991569265998,0.09689758148441198
DIVISLAB,99,82708.96921611132,0.009185874951934014,0.03992295719436556,-1.0614687714636206,-1.3989891948685347,-0.08990803010485893,2024-01-09,2024-06-04,,0.10216968318870528,5,5,0,0,1,0,,0.0,0.2,,325591.56,325591.56,-242199.99999999985,0.0,682.5907838887999,1.0
GAIL,22,82786.40841890872,0.008744156369668632,0.05120122356369372,-0.8266749498042308,-1.227636622944848,-0.1162588896977147,2021-03-08,2021-03-25,2021-04-01,0.07521279785489399,1,1,1,1,0,0,7.0,1.0,1.0,0.0,182663.28,-23668.00000000003,123950.17000000007,0.0,17495.761581090905,-0.12957174534476787
APOLLOHOSP,81,156825.74809004288,0.010147926207842328,0.050118716486735396,-0.8178279927040686,-1.2514256128762107,-0.09071693940533687,2026-02-27,2026-03-23,2026-03-25,0.11186363069966321,4,4,0,0,1,0,,0.0,0.25,,189131.55,189131.55,-31937.500000000233,0.0,368.30190995690015,1.0
BRITANNIA,118,192041.2576323612,0.017679015391814712,0.04930617748066348,-0.6782770184142974,-1.109645059488856,-0.09280143544588537,2020-06-25,2022-06-10,2022-06-24,0.19050368463453077,6,6,0,0,0,0,,0.0,0.0,,192406.36,192406.36,0.0,0.0,365.10236763880005,1.0
BEL,74,204492.8464735374,0.011850774639331929,0.03821673672327743,-1.0411280113855155,-1.5564280202588172,-0.09811999015242989,2025-02-05,2025-02-28,2025-06-09,0.12077839205774167,3,3,1,1,0,1,28.0,0.3333333333333333,0.3333333333333333,1.0,297675.375,297675.375,-85500.0,12825.0,20507.528526462753,1.0
MAXHEALTH,81,211219.02270962112,0.008509787553173886,0.07198760826070227,-0.5737461698392337,-0.8249590122090056,-0.1779379783730216,2019-12-31,2026-04-06,2026-05-14,0.04782445901084888,1,1,3,1,0,1,92.0,1.0,1.0,1.0,257664.12,257664.12,-1.1641532182693481e-10,0.0,46445.09729037808,1.0
TRENT,37,216059.886090311,0.011085451189934759,0.025295861368010975,-1.618766966323127,-2.6588595429038304,-0.04792274521640849,2026-05-07,2026-05-12,2026-05-21,0.23131920218416785,2,2,0,0,0,0,,0.0,0.0,,216508.5,216508.5,0.0,0.0,448.613909689,1.0
ITC,85,216207.9915696,0.016748941532011008,0.013728525241400504,-2.5811017151246394,-4.695045534426797,-0.009385275406112337,2024-07-31,2024-08-05,2024-08-07,1.7845977669555595,4,4,0,0,0,0,,0.0,0.0,,216560.0,216560.0,0.0,0.0,352.00843039999995,1.0
SBIN,544,240198.70632654836,0.008056405002531575,0.23737600328924133,-0.0657276339121488,-0.0850283924104767,-0.40180685027780405,2022-02-10,2023-03-24,2023-07-20,0.020050442138956768,16,16,12,3,1,3,121.66666666666667,0.1875,0.25,1.0,1815471.45,558180.45,-291150.00000000093,101700.0,128531.7436734509,0.307457575276108
JIOFIN,65,286451.77467351925,0.01577984936581256,0.030637732673727165,-1.1778326260115024,-2.1406001726689987,-0.03309903953061266,2025-07-24,2025-07-28,2025-07-29,0.4767464430869084,3,3,0,0,0,0,,0.0,0.0,,286930.14,286930.14,0.0,0.0,478.36532648076,1.0
HINDUNILVR,124,326013.31409272295,0.03295134415793877,0.04063056774699774,-0.45794310706155644,-0.9877530500821948,-0.029883758575663055,2021-09-30,2022-05-09,2022-05-10,1.102650594452798,5,5,1,1,0,1,28.0,0.2,0.2,1.0,218658.36000000002,218658.36000000002,144000.0,0.0,36645.0459072766,1.0
SBILIFE,131,371659.53033030254,0.025929143231142815,0.03661527723258883,-0.7028144604379578,-1.1747245034918514,-0.04530381341281642,2024-08-01,2024-08-06,2024-08-20,0.5723390875481462,7,7,0,0,0,0,,0.0,0.0,,372279.1875,372279.1875,0.0,0.0,619.6571696975001,1.0
TCS,148,398892.568645239,0.044320709615065734,0.04885327129707565,-0.1448089585664668,-0.2416783846452593,-0.05364417987954384,2024-08-01,2024-08-05,2024-08-16,0.8261979158705821,6,6,1,1,0,1,28.0,0.16666666666666666,0.16666666666666666,1.0,312583.9,312583.9,120000.0,0.0,33691.331354761,1.0
INDUSINDBK,218,420803.9509190451,0.009110506489873327,0.19591053184116125,-0.12100190983323877,-0.16015517294970838,-0.4645322685891706,2020-09-18,2022-06-22,,0.019612214491670978,9,9,2,1,1,1,63.0,0.1111111111111111,0.2222222222222222,1.0,1127208.97,727704.97,-268920.00000000023,0.0,37981.0190809542,0.6455812447979367
BPCL,161,426506.02481768397,0.025819510514246247,0.05700059169901546,-0.4366941775975964,-0.6117189660003057,-0.10093118050628624,2024-09-05,2024-09-19,2024-09-25,0.25581302412922974,8,8,0,0,1,0,,0.0,0.125,,526860.0,526860.0,-99450.00000000012,0.0,903.9751823160001,1.0
ICICIBANK,176,442591.374802963,0.04267829887185126,0.12453813144822212,-0.01605661246672826,-0.022451359903100418,-0.20808681702618392,2020-09-16,2020-09-24,2020-10-06,0.20509852321149674,6,6,3,2,0,2,49.0,0.3333333333333333,0.3333333333333333,1.0,503363.475,503363.475,0.0,0.0,60772.100197036256,1.0
LT,171,448956.5976870584,0.033901901191370154,0.031441048158099866,-0.5731751672526542,-1.0793553495514456,-0.0411216883039639,2023-10-19,2023-10-26,2023-10-30,0.8244287282363891,8,8,1,1,0,1,35.0,0.125,0.125,1.0,374417.1175,374417.1175,126000.00000000006,0.0,51460.51981294212,1.0
HDFCBANK,151,468393.1665946703,0.060089994178888606,0.1294366287351636,0.11793324924752428,0.20129448100909356,-0.21807179876761273,2020-05-06,2020-05-19,2020-05-28,0.2755514216807247,6,6,1,1,0,1,28.0,0.16666666666666666,0.16666666666666666,1.0,439064.175,439064.175,50000.0,0.0,20671.00840532965,1.0
ETERNAL,58,537164.94331441,0.02830017278734398,0.045601797097996825,-0.504872525649778,-0.940992389512513,-0.07562507620730985,2026-05-07,2026-05-13,2026-05-25,0.37421678372614336,3,3,0,0,0,0,,0.0,0.0,,538132.235,538132.235,0.0,0.0,967.29168558999,1.0
UPL,111,551315.3598669318,0.0814943598720379,0.1696832114025228,0.2475324176430898,0.37250509256428,-0.23809230055194885,2020-05-14,2020-05-19,2020-05-22,0.34228053441088413,5,5,1,1,1,1,28.0,0.2,0.4,1.0,787483.45,787483.45,-213574.9999999996,0.0,22593.0901330685,1.0
ADANIPORTS,418,553481.6118048197,0.047663435248924246,0.20776573253315492,0.08212616863321276,0.10902669119692612,-0.394764500588176,2022-05-06,2022-06-20,2022-08-16,0.1207389093444535,16,16,5,2,0,2,73.5,0.125,0.125,1.0,1678631.3925,757853.3925000001,-187500.0,31250.0,48121.78069518028,0.4514709994618429
NTPC,628,616926.6734533891,0.04436625706334785,0.07350506384245763,-0.07542978535308578,-0.11880005466852264,-0.13562424440767362,2022-05-09,2022-05-13,2022-05-25,0.3271262985251153,11,11,9,1,0,0,607.0,0.09090909090909091,0.09090909090909091,0.0,691284.6,691284.6,-87524.99999999997,17025.0,3857.9265466108,1.0
TATACONSUM,217,630610.3690787682,0.03355971025476778,0.10865799964777106,-0.1194939733869901,-0.1827387382240251,-0.15598394530688509,2024-03-07,2024-05-15,2024-07-03,0.21514848972913156,7,7,4,1,0,1,119.0,0.14285714285714285,0.14285714285714285,1.0,643021.0608,643021.0608,1.1641532182693481e-10,48825.0,61235.69172123122,1.0
GRASIM,250,647672.7692393791,0.047664632087122794,0.04441290042286239,-0.09043180030904453,-0.13558748070677643,-0.0731418799852811,2025-07-31,2025-11-25,2025-12-24,0.6516735978992434,12,12,1,1,0,1,35.0,0.08333333333333333,0.08333333333333333,1.0,683153.5053000001,683153.5053000001,-8.731149137020111e-11,0.0,35480.73606062107,1.0
SUNPHARMA,276,716043.1790421683,0.07094451014728165,0.08624383805140481,0.24452644297558654,0.42412199190008937,-0.17909355949538608,2020-10-08,2020-10-29,2020-11-17,0.3961309962634886,12,12,2,1,1,1,63.0,0.08333333333333333,0.16666666666666666,1.0,794310.86,794310.86,-54389.999999999534,0.0,23877.6809578318,1.0
ASIANPAINT,474,780290.4466846017,0.034525040447327404,0.31176503659811966,0.10073928716500175,0.1405609088234398,-0.5260571326838537,2026-01-13,2026-03-23,,0.06562983049233938,8,8,16,3,0,2,161.33333333333334,0.375,0.375,0.6666666666666666,1067233.775,1067233.775,-277691.68750000047,92250.0,101501.64081539733,1.0
BAJAJFINSV,560,792282.6197864074,0.033624929214643995,0.282759687550027,0.07427070565271286,0.1077332837076201,-0.6141315531806579,2021-09-30,2022-06-30,2022-08-30,0.0547519974189514,9,9,14,1,1,1,581.0,0.1111111111111111,0.2222222222222222,1.0,1607961.01,1607961.01,-776625.0000000005,3600.0,42653.3902135926,1.0
ADANIENT,79,812473.7906624603,0.04398331769989405,0.122698234916815,-0.008846600334864929,-0.013488138872936406,-0.1778418134474754,2024-03-05,2024-03-13,2024-03-28,0.24731707829151373,4,4,0,0,0,0,,0.0,0.0,,813852.2046,813852.2046,0.0,0.0,1378.4139375397963,1.0
BHARTIARTL,390,818189.8451416567,0.05702503059099029,0.10925887312290693,0.09232780090070061,0.1280054398445079,-0.1663845055937221,2024-10-16,2025-08-12,2025-10-27,0.3427304146350868,16,16,4,2,1,2,59.0,0.125,0.1875,1.0,1067478.9199,1067478.9199,-148143.57320000068,0.0,101145.50155834388,1.0
HINDALCO,758,869993.4388529856,-0.05043168545066934,0.5139446586510965,0.06134887946891782,0.08173749285177384,-0.8627962360994492,2020-01-02,2020-03-23,2026-05-21,-0.05845144350497188,21,21,13,5,1,5,105.2,0.23809523809523808,0.2857142857142857,1.0,3196738.515,1244599.745,-117159.4924999997,14000.0,271446.8136470145,0.3893342352400694
COALINDIA,357,940198.2793523958,0.0689834752107854,0.27168944652275845,0.19124976245534062,0.301038484294647,-0.34252851817747065,2021-10-11,2021-12-20,2022-02-28,0.20139483736371327,8,8,9,5,0,4,61.6,0.625,0.625,0.8,1533702.06,1533702.06,-773954.9999999998,352800.0,172348.780647604,1.0
HEROMOTOCO,217,949503.6825056359,0.07883063369191423,0.10497986258894616,0.2890662070194585,0.48673122720860135,-0.1695505780760147,2021-06-24,2022-06-20,2022-06-24,0.4649387491711886,9,9,2,1,0,1,56.0,0.1111111111111111,0.1111111111111111,1.0,792375.6,792375.6,210000.0,0.0,52871.917494363624,1.0
HDFCLIFE,383,957437.4960603805,0.05234705528800432,0.17488425216004713,0.0850361975389727,0.12195532353598375,-0.3423214363079332,2023-12-13,2024-06-04,2024-07-16,0.15291784193414004,11,11,8,2,1,2,119.0,0.18181818181818182,0.2727272727272727,1.0,1049612.74,1049612.74,-16500.0,22000.0,97675.2439396182,1.0
TITAN,352,962338.1116385468,0.09175856662675863,0.12691483561211422,0.3551166132728813,0.5565525512716338,-0.12854804765947558,2022-03-02,2022-03-08,2022-03-15,0.7138075474302614,11,11,7,4,0,4,52.75,0.36363636363636365,0.36363636363636365,1.0,879865.39,879865.39,165750.0,0.0,83277.27836145318,1.0
EICHERMOT,245,965884.9570213584,0.06363842106444406,0.11982663546756228,0.1479902794326091,0.20491615012325423,-0.2635196242938497,2023-07-03,2023-07-10,2023-10-11,0.24149404901048702,7,7,5,2,0,1,77.5,0.2857142857142857,0.2857142857142857,0.5,1023196.5125,1023196.5125,-31800.0,58275.0,83786.55547864249,1.0
RELIANCE,772,1030140.092680689,0.06603063010439447,0.34746825153074723,0.2112290492611884,0.3022391576112511,-0.5222264104204337,2024-09-27,2025-04-07,2025-07-07,0.12644061806685453,9,9,29,3,0,2,295.6666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,2150683.639,2150683.639,-1133549.9999999995,117000.0,103993.54631930983,1.0
CIPLA,383,1035335.3311337195,0.06222452198308104,0.1685308933583659,0.13986570954543712,0.19020559107952303,-0.4756273492155898,2022-12-21,2023-03-21,2023-09-08,0.13082620687330626,8,8,10,3,0,3,114.33333333333333,0.375,0.375,1.0,957415.75,957415.75,143000.0,44200.0,109280.41886628051,1.0
KOTAKBANK,285,1040093.474939432,0.07966947055279272,0.24238111222082664,0.2329314660499625,0.3171221966238772,-0.38500489698242946,2024-04-24,2024-05-03,2024-09-20,0.20693105770140013,5,5,9,2,0,2,140.0,0.4,0.4,1.0,1081879.6400000001,1081879.6400000001,40000.0,8000.0,89786.16506056758,1.0
SHRIRAMFIN,322,1070856.7036236261,0.041014082777083294,0.24390177689090733,0.07458227494285619,0.10869482829551373,-0.38189384621932265,2019-12-31,2025-01-27,2025-03-21,0.10739655321266632,5,5,10,2,0,2,163.5,0.4,0.4,1.0,1243589.445,1243589.445,-115499.99999999977,51750.0,108982.74137637163,1.0
ULTRACEMCO,317,1117651.0667844596,0.07463015784512694,0.13258469070545215,0.22372503522843115,0.35043618795729553,-0.1346696694926982,2024-04-02,2024-04-19,2024-05-17,0.5541719833891282,12,12,5,1,1,1,154.0,0.08333333333333333,0.16666666666666666,1.0,1308406.085,1308406.085,-127480.00000000023,0.0,63275.018215539916,1.0
ONGC,372,1370007.0031308483,0.10204984886084856,0.13987756553334535,0.40293471443251516,0.6316962590673861,-0.23765965082855367,2020-01-02,2020-03-17,2021-04-30,0.4293949288618064,9,9,6,3,0,2,98.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1155109.57,1155109.57,231580.21999999997,20500.0,37182.7868691518,1.0
AXISBANK,594,1377508.782400129,0.05797957562845224,0.2820481397236071,0.15906600175859884,0.2290988012439459,-0.49319569600979196,2024-09-25,2025-01-27,2025-05-26,0.11755896512791367,15,15,13,3,0,3,153.33333333333334,0.2,0.2,1.0,1781371.0125,1427131.0125,120000.0,6875.0,176497.2300998704,0.8011419308418773
DRREDDY,873,1844842.7549253053,0.07485361984217787,0.3392606173225384,0.2313267733943438,0.3307253634923024,-0.43108313079453164,2020-10-29,2022-03-03,2023-03-29,0.1736408003352271,12,12,29,3,0,3,312.0,0.25,0.25,1.0,1759330.0125,1759330.0125,175000.00000000023,75000.0,164487.25757469313,1.0
BAJFINANCE,705,1940301.5605543042,0.12942516534570236,0.3044753432646642,0.38719529166548605,0.5795608936973811,-0.48216936350566386,2022-04-26,2022-06-16,2022-07-29,0.2684226231312228,14,14,20,3,1,3,212.33333333333334,0.21428571428571427,0.2857142857142857,1.0,2123912.525,2123912.525,-83600.0,31250.0,131260.96444569732,1.0
TATASTEEL,655,2283873.051433374,0.09996243879551403,0.41775873494017796,0.32050970885941854,0.44145565996585384,-0.7856227106216305,2020-02-05,2020-04-03,2022-08-12,0.1272397519114715,19,19,11,4,1,4,107.25,0.21052631578947367,0.2631578947368421,1.0,2418514.97,2418514.97,24155.19249999989,60000.0,218797.11106662426,1.0
M&M,502,3004703.026457601,0.23963874343247005,0.30079761391335996,0.7065190662831315,1.0277524509750742,-0.49942850796366134,2025-02-07,2025-04-07,,0.4798259202494429,11,11,14,4,0,4,108.5,0.36363636363636365,0.36363636363636365,1.0,2863854.84,2863854.84,294000.0,42875.0,196026.8135423995,1.0
JSWSTEEL,642,3339906.372027957,0.2333763411003973,0.2824660557389811,0.7141798186699934,1.0528111320024625,-0.30020154496113416,2021-11-24,2022-02-24,2022-03-24,0.7773988675861463,15,15,17,5,0,5,105.2,0.3333333333333333,0.3333333333333333,1.0,3314879.1,3314879.1,229500.0,35100.0,239572.72797204208,1.0
