symbol,days_active,total_pnl,cagr,annualized_vol,sharpe,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,calmar,csp_cycles,puts_sold,calls_sold,delivered,itm_cash_settled,called_away,avg_days_held_post_delivery,assignment_rate,itm_put_rate,call_away_rate,premium_sold,premium_income,delivery_leg_price_pnl,dividends,costs,premium_capture
TECHM,259,-817832.6267714007,-0.04979636981839153,0.11476734262002226,-0.8510620504857964,-0.9190464590850912,-0.40143754114251895,2022-01-04,2026-06-12,,-0.12404512462055149,13,13,0,0,0,0,,0.0,0.0,,766671.0,-815724.0,0.0,0.0,2108.62677140076,-1.0639818122767133
BAJAJ-AUTO,344,-669552.4477271624,-0.037573394867816634,0.16924260090711876,-0.4333029162728467,-0.45500799912877954,-0.4672715884719023,2024-09-26,2026-06-29,,-0.08041018498619026,16,16,2,2,0,1,31.5,0.125,0.125,0.5,1207878.9,-302484.2250000001,-331799.9999999998,30000.0,65268.22272716261,-0.2504259532971394
INFY,510,-638355.827818797,-0.05948856757015342,0.2669001426707575,-0.29085259630832944,-0.35843629444447456,-0.6287742984962813,2022-03-30,2023-04-20,,-0.09461036768268168,12,12,13,2,0,2,213.5,0.16666666666666666,0.16666666666666666,1.0,1043806.01,-677799.23,0.0,127800.0,88356.59781879501,-0.649353638038547
HCLTECH,169,-567499.915885182,-0.03471944854399822,0.09103706638559046,-0.926466578826872,-1.0811903958831344,-0.311862330292883,2022-01-14,2022-12-09,,-0.11132940779154613,8,8,1,1,0,1,27.0,0.125,0.125,1.0,417178.08999999997,-571751.985,0.0,49000.0,44747.93088518279,-1.3705225626782078
TATAMOTORS,665,-556652.6362444945,0.007627177096983129,0.34277992743011737,0.04430141984576523,0.05926856909274732,-0.788090147511901,2024-08-29,2025-04-07,,0.009678051579585253,15,15,9,4,0,3,142.75,0.26666666666666666,0.26666666666666666,0.75,2452514.1325,2452514.1325,-2904663.0937500005,49500.0,154003.6749944953,1.0
MARUTI,394,-552635.9809280713,-0.021203845353409356,0.16568220356201355,-0.3651172017594102,-0.47497088017333716,-0.38138561687899464,2024-04-25,2025-09-04,,-0.05559686683238733,12,12,8,2,2,2,122.5,0.16666666666666666,0.3333333333333333,1.0,1004676.51,-372385.3300000001,-125060.00000000012,27000.0,82190.65092807,-0.37065197234480984
TMPV,22,-519718.3582044188,-0.029687077795437,0.08205169840179168,-0.9707790949087391,-1.0618071383115504,-0.22751626886479093,2026-06-15,2026-06-29,,-0.1304833185932718,1,1,0,1,0,0,0.0,1.0,1.0,0.0,161731.84,161731.84,-644960.0000000002,0.0,36490.19820441856,1.0
VEDL,146,-364581.83226190787,-0.1142807659423214,0.34542319668401195,-0.32174233736784036,-0.39930066408985215,-0.8233138756427189,2020-01-24,2020-03-30,,-0.1388058301010757,1,1,2,1,0,0,186.0,1.0,1.0,0.0,100625.0,100625.0,-520758.8749999999,68250.0,12697.9572619075,1.0
NESTLEIND,96,-271657.593354992,-0.013316027374011052,0.028535717026039815,-2.301634642117485,-2.54600396201575,-0.13781862299027892,2023-05-25,2026-04-30,,-0.09661994210281946,6,6,0,0,0,0,,0.0,0.0,,215371.314,-270929.686,0.0,0.0,727.90735499196,-1.2579655153146345
POWERGRID,525,-265956.3543373011,-0.044363694655546904,0.3172970920745131,-0.15319080117478373,-0.22055901184679255,-0.5782176883703164,2024-11-25,2025-02-28,,-0.07672490058300398,6,6,12,1,0,0,607.0,0.16666666666666666,0.16666666666666666,0.0,701779.56,701779.56,-1353239.9999999998,422100.0,36595.9143373008,1.0
