date,symbol,kind,amount
2020-06-26,POWERGRID,option_sale_costs,-85.54551200000002
2020-06-26,HINDUNILVR,premium,44577.0
2020-06-26,HINDUNILVR,option_sale_costs,-72.21523043
2020-06-29,,cash_interest,4046.7600124506866
2020-06-30,,cash_interest,1349.2870979466734
2020-07-01,,cash_interest,1349.4094958456728
2020-07-02,,cash_interest,1311.3715392234021
2020-07-03,,cash_interest,1311.4871339299857
2020-07-06,,cash_interest,3934.808216478015
2020-07-07,,cash_interest,1311.9495840850652
2020-07-08,,cash_interest,1312.0652297451156
2020-07-09,,cash_interest,1312.1808855990932
2020-07-10,,cash_interest,1312.2965516478966
2020-07-13,,cash_interest,3937.236683677275
2020-07-14,,cash_interest,1312.7592872158784
2020-07-15,,cash_interest,1312.875004249596
2020-07-16,,cash_interest,1312.9907314835323
2020-07-17,,cash_interest,1313.1064689185862
2020-07-20,,cash_interest,3939.6666496669727
2020-07-21,,cash_interest,1313.5694900756203
2020-07-22,,cash_interest,1313.685278527055
2020-07-23,,cash_interest,1313.8010771850038
2020-07-24,,cash_interest,1313.9168860503664
2020-07-27,,cash_interest,3942.0981153721277
2020-07-28,,cash_interest,1314.3801929727108
2020-07-29,,cash_interest,1314.4960528859403
2020-07-30,,cash_interest,1314.611923011983
2020-07-31,,cash_interest,1314.727803351739
2020-07-31,DRREDDY,premium,39585.0
2020-07-31,DRREDDY,option_sale_costs,-66.77100515000001
2020-07-31,WIPRO,premium,65051.520000000004
2020-07-31,WIPRO,option_sale_costs,-94.54453719680001
2020-07-31,INFY,premium,38844.0
2020-07-31,INFY,option_sale_costs,-65.96287795999999
2020-07-31,SUNPHARMA,premium,41769.28
2020-07-31,SUNPHARMA,option_sale_costs,-69.15315907520001
2020-07-31,RELIANCE,premium,100813.857
2020-07-31,RELIANCE,option_sale_costs,-133.54658430562998
2020-07-31,CIPLA,premium,37644.75
2020-07-31,CIPLA,option_sale_costs,-64.6549879025
2020-07-31,MARUTI,premium,82095.0
2020-07-31,MARUTI,option_sale_costs,-113.13198605
2020-08-03,,cash_interest,4051.6825714274737
2020-08-03,VEDL,equity_sale,2016741.125
2020-08-03,VEDL,equity_sale_costs,-2110.6130244075002
2020-08-04,,cash_interest,1536.413529079744
2020-08-05,,cash_interest,1536.5496616324485
2020-08-06,,cash_interest,1536.6858062470567
2020-08-06,TATASTEEL,dividend,60000.0
2020-08-07,,cash_interest,1542.1382094999801
2020-08-07,TATASTEEL,premium,18615.0
2020-08-07,TATASTEEL,option_sale_costs,-43.90133285
2020-08-10,,cash_interest,4631.760974833167
2020-08-11,,cash_interest,1544.3307180013933
2020-08-12,,cash_interest,1544.4675520495728
2020-08-12,HINDALCO,premium,12255.0
2020-08-12,HINDALCO,option_sale_costs,-36.96518045
2020-08-13,,cash_interest,1545.6869663179255
2020-08-14,,cash_interest,1545.8239205352795
2020-08-17,,cash_interest,4637.882660662021
2020-08-18,,cash_interest,1546.3718223508665
2020-08-19,,cash_interest,1546.5088372492796
2020-08-20,,cash_interest,1546.6458642877756
2020-08-21,,cash_interest,1546.7829034674303
2020-08-24,,cash_interest,4640.7598643679585
2020-08-25,,cash_interest,1547.3311451849183
2020-08-26,,cash_interest,1547.468245083277
2020-08-27,,cash_interest,1547.6053571292498
2020-08-28,,cash_interest,1547.7424813239134
2020-08-28,TATASTEEL,premium,51216.75
2020-08-28,TATASTEEL,option_sale_costs,-79.45647538249999
2020-08-31,,cash_interest,4657.23177608366
2020-08-31,HINDALCO,premium,40635.0
2020-08-31,HINDALCO,option_sale_costs,-67.91612464999999
2020-09-01,,cash_interest,1556.4176522479559
2020-09-01,TATAMOTORS,premium,104480.99999999999
2020-09-01,TATAMOTORS,option_sale_costs,-137.54593379
2020-09-01,INDUSINDBK,premium,150969.28
2020-09-01,INDUSINDBK,option_sale_costs,-188.2455870752
2020-09-01,SBIN,premium,46500.0
2020-09-01,SBIN,option_sale_costs,-74.31243500000001
2020-09-01,AXISBANK,premium,95355.0
2020-09-01,AXISBANK,option_sale_costs,-127.59320945000003
2020-09-01,ASIANPAINT,premium,18778.5
2020-09-01,ASIANPAINT,option_sale_costs,-44.079644314999996
2020-09-01,M&M,premium,66066.0
2020-09-01,M&M,option_sale_costs,-95.65091894000001
2020-09-01,MARUTI,premium,38683.100000000006
2020-09-01,MARUTI,option_sale_costs,-65.78740202899999
2020-09-01,BAJFINANCE,premium,41778.799999999996
2020-09-01,BAJFINANCE,option_sale_costs,-69.163541492
2020-09-01,ICICIBANK,premium,66361.34999999999
2020-09-01,ICICIBANK,option_sale_costs,-95.97302469649998
2020-09-01,KOTAKBANK,premium,47619.12
2020-09-01,KOTAKBANK,option_sale_costs,-75.53293608080001
2020-09-01,EICHERMOT,premium,62244.0
2020-09-01,EICHERMOT,option_sale_costs,-91.48268396
2020-09-01,SUNPHARMA,premium,57056.72
2020-09-01,SUNPHARMA,option_sale_costs,-85.82548826480001
2020-09-01,TITAN,premium,28372.5
2020-09-01,TITAN,option_sale_costs,-54.542764775
2020-09-02,,cash_interest,1650.1903336671994
2020-09-03,,cash_interest,1650.338405471893
2020-09-03,HINDALCO,dividend,14000.0
2020-09-04,,cash_interest,1651.742712480898
2020-09-07,,cash_interest,4955.672770742265
2020-09-08,,cash_interest,1652.335596777333
2020-09-09,,cash_interest,1652.4838610767792
2020-09-10,,cash_interest,1652.632138680001
2020-09-11,,cash_interest,1652.7804295881929
2020-09-14,,cash_interest,4958.7862014076445
2020-09-15,,cash_interest,1653.373686367686
2020-09-16,,cash_interest,1653.5220438150536
2020-09-17,,cash_interest,1653.670414574555
2020-09-18,,cash_interest,1653.818798647385
2020-09-21,,cash_interest,4961.901588104213
2020-09-22,,cash_interest,1654.4124281439513
2020-09-22,AXISBANK,option_buyback,-354240.0
2020-09-22,AXISBANK,option_buyback_costs,-243.4378016
2020-09-23,,cash_interest,1622.753031364448
2020-09-23,INDUSINDBK,option_buyback,-399504.0
2020-09-23,INDUSINDBK,option_buyback_costs,-271.52818736
2020-09-23,SBIN,option_buyback,-244462.5
2020-09-23,SBIN,option_buyback_costs,-175.31098287499998
2020-09-24,,cash_interest,1565.075344016702
2020-09-24,SUNPHARMA,put_assignment_pay_strike,-2744000.0
2020-09-24,SUNPHARMA,assignment_costs,-11252.01896
2020-09-24,ICICIBANK,put_assignment_pay_strike,-3052500.0
2020-09-24,ICICIBANK,assignment_costs,-12517.050975
2020-09-24,TATAMOTORS,put_assignment_pay_strike,-3078000.0
2020-09-24,TATAMOTORS,assignment_costs,-12621.616020000001
2020-09-24,KOTAKBANK,put_assignment_pay_strike,-3216000.0
2020-09-24,KOTAKBANK,assignment_costs,-13187.49744
2020-09-24,M&M,put_assignment_pay_strike,-3248000.0
2020-09-24,M&M,assignment_costs,-13318.71632
2020-09-24,MARUTI,put_cash_settled_intrinsic,-101150.00000000009
2020-09-24,MARUTI,put_cash_settled_costs,-86.37267850000006
2020-09-24,BAJFINANCE,put_cash_settled_intrinsic,-271099.9999999999
2020-09-24,BAJFINANCE,put_cash_settled_costs,-191.84194899999994
2020-09-25,,cash_interest,149.8193171201024
2020-09-25,ICICIBANK,premium,66361.34999999999
2020-09-25,ICICIBANK,option_sale_costs,-95.97302469649998
2020-09-25,KOTAKBANK,premium,48789.12
2020-09-25,KOTAKBANK,option_sale_costs,-76.8089263808
2020-09-25,M&M,premium,146054.72
2020-09-25,M&M,option_sale_costs,-182.8858170848
2020-09-25,SUNPHARMA,premium,89271.28
2020-09-25,SUNPHARMA,option_sale_costs,-120.95836525519998
2020-09-25,TATASTEEL,premium,6630.0
2020-09-25,TATASTEEL,option_sale_costs,-30.830611700000002
2020-09-28,,cash_interest,545.491316209474
2020-09-28,DRREDDY,premium,68006.25
2020-09-28,DRREDDY,option_sale_costs,-97.7669361875
2020-09-29,,cash_interest,187.97282323486746
2020-09-29,TATAMOTORS,premium,146718.0
2020-09-29,TATAMOTORS,option_sale_costs,-183.60918362
2020-09-30,,cash_interest,201.13824102320407
2020-10-01,,cash_interest,201.15628918512428
2020-10-05,,cash_interest,799.3583413039622
2020-10-05,HINDALCO,premium,15480.0
2020-10-05,HINDALCO,option_sale_costs,-40.4823332
2020-10-06,,cash_interest,201.28703420221757
2020-10-07,,cash_interest,201.30497588065086
2020-10-08,,cash_interest,201.32291915831195
2020-10-09,,cash_interest,201.3408640353434
2020-10-12,,cash_interest,604.0764315356632
2020-10-13,,cash_interest,201.4126547404874
2020-10-14,,cash_interest,201.43060761608152
2020-10-15,,cash_interest,201.4485620919015
2020-10-16,,cash_interest,201.46651816809003
2020-10-19,,cash_interest,604.453427534369
2020-10-20,,cash_interest,201.53835367685022
2020-10-21,,cash_interest,201.5563177565932
2020-10-22,,cash_interest,201.57428343756075
2020-10-23,,cash_interest,201.59225071989556
2020-10-26,,cash_interest,604.8306588112213
2020-10-27,,cash_interest,201.66413106023325
2020-10-28,,cash_interest,201.68210635111748
2020-10-29,,cash_interest,201.70008324422557
2020-10-29,ICICIBANK,call_away_receive_strike,3052500.0
2020-10-29,ICICIBANK,call_away_costs,-13049.02776325
2020-10-29,KOTAKBANK,call_away_receive_strike,3216000.0
2020-10-29,KOTAKBANK,call_away_costs,-14909.6963944
2020-10-30,,cash_interest,757.967426058906
2020-10-30,M&M,premium,117936.0
2020-10-30,M&M,option_sale_costs,-152.21982223999998
2020-10-30,SUNPHARMA,premium,70980.0
2020-10-30,SUNPHARMA,option_sale_costs,-101.0100782
