symbol,exit_reason,removal_date,decision_date,position_before_exit,cancelled_orders,fill_date,exit_action,exit_price,realized_pnl,transaction_cost,cash_before,cash_after,position_after_exit,nav_after,available_liquidity_after,margin_utilization_after,residual,data_unavailable
VEDL,UNIVERSE_REMOVAL,2020-07-31,2020-07-31,17500 shares,,2020-08-03,sell shares,115.2424,-381633.87499999965,2110.6130244075002,15325575.672656879,17340206.184632473,flat,21393224.934632473,11262439.517965805,0.34724885749415835,False,
GAIL,UNIVERSE_REMOVAL,2021-03-31,2021-03-31,24400 shares; short CE K=135 x24400 exp 2021-04-29,,2021-04-01,buy back CE + sell shares,8.4562|140.0799,196662.17000000004,3881.0219452909005,1149373.0303205024,4357256.379226059,flat,27086041.37922606,4357256.379226059,0.2797109241838996,False,
