symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
TATASTEEL,1,residual_after_call_away,2020-11-27,6000,0,5100,900,0,0,0,0,1500,900,FLAT
VEDL,2,universe_removal_sale,2020-08-03,17500,0,0,17500,0,0,0,0,0,0,FLAT
ONGC,3,uncoverable_odd_lot,2020-06-25,4100,0,0,4100,0,0,0,0,0,0,FLAT
HINDALCO,4,residual_after_call_away,2020-11-27,14000,0,12900,1100,0,0,0,0,7000,1100,FLAT
UPL,8,completed,2020-06-25,6300,0,6300,0,0,0,0,0,0,0,FLAT
COALINDIA,12,completed,2020-06-25,18900,0,18900,0,0,0,0,0,0,0,FLAT
HDFCBANK,13,completed,2020-06-25,2500,0,2500,0,0,0,0,0,0,0,FLAT
TATAMOTORS,35,completed,2020-11-26,22800,0,22800,0,0,0,0,0,0,0,FLAT
M&M,40,completed,2020-11-26,5600,0,5600,0,0,0,0,0,0,0,FLAT
ICICIBANK,43,completed,2020-10-29,8250,0,8250,0,0,0,0,0,0,0,FLAT
KOTAKBANK,44,completed,2020-10-29,2400,0,2400,0,0,0,0,0,0,0,FLAT
SUNPHARMA,46,completed,2020-11-26,5600,0,5600,0,0,0,0,0,0,0,FLAT
ASIANPAINT,62,completed,2021-05-27,1200,0,1200,0,0,0,0,0,600,0,FLAT
TITAN,63,completed,2021-04-29,2250,0,2250,0,0,0,0,0,0,0,FLAT
BAJFINANCE,68,completed,2021-02-25,500,0,500,0,0,0,0,0,0,0,FLAT
COALINDIA,84,completed,2021-05-27,25200,0,25200,0,0,0,0,0,0,0,FLAT
ONGC,86,completed,2021-06-24,30800,0,30800,0,0,0,0,0,0,0,FLAT
GAIL,89,universe_removal_sale,2021-04-01,24400,0,0,24400,0,0,0,0,0,0,FLAT
TATAMOTORS,92,completed,2021-04-29,11400,0,11400,0,0,0,0,0,0,0,FLAT
RELIANCE,94,completed,2021-06-24,1750,0,1750,0,0,0,0,0,0,0,FLAT
SBIN,95,completed,2021-05-27,9000,0,9000,0,0,0,0,0,0,0,FLAT
JSWSTEEL,99,completed,2021-07-29,5400,0,5400,0,0,0,0,0,0,0,FLAT
M&M,121,completed,2021-10-28,4900,0,4900,0,0,0,0,0,0,0,FLAT
MARUTI,123,completed,2021-09-30,600,0,600,0,0,0,0,0,0,0,FLAT
TCS,125,completed,2021-08-26,1200,0,1200,0,0,0,0,0,0,0,FLAT
HDFCLIFE,128,completed,2021-08-26,6600,0,6600,0,0,0,0,0,0,0,FLAT
HINDUNILVR,129,completed,2021-08-26,1800,0,1800,0,0,0,0,0,0,0,FLAT
HINDALCO,132,completed,2021-09-30,10750,0,10750,0,0,0,0,0,0,0,FLAT
JSWSTEEL,134,completed,2022-03-31,5400,0,5400,0,0,0,0,0,0,0,FLAT
COALINDIA,150,completed,2022-03-31,25200,0,25200,0,0,0,0,0,16800,0,FLAT
ICICIBANK,161,completed,2022-01-27,5500,0,5500,0,0,0,0,0,0,0,FLAT
BHARTIARTL,162,residual_after_call_away,2022-01-28,5658,0,4750,908,0,0,0,0,908,908,FLAT
DRREDDY,169,completed,2023-04-27,1000,0,1000,0,0,0,0,0,0,0,FLAT
TITAN,170,completed,2022-03-31,1875,0,1875,0,0,0,0,0,0,0,FLAT
INFY,171,completed,2022-03-31,2700,0,2700,0,0,0,0,0,0,0,FLAT
ASIANPAINT,173,residual_after_call_away,2022-07-29,1500,0,1400,100,0,0,0,0,150,100,FLAT
AXISBANK,175,completed,2022-03-31,6000,0,6000,0,0,0,0,0,0,0,FLAT
CIPLA,179,completed,2022-03-31,1300,0,1300,0,0,0,0,0,0,0,FLAT
BAJFINANCE,188,completed,2023-09-28,625,0,625,0,0,0,0,0,0,0,FLAT
BAJAJFINSV,189,completed,2023-11-30,300,2700,3000,0,0,0,0,0,0,0,FLAT
ADANIPORTS,194,completed,2022-08-25,6250,0,6250,0,0,0,0,0,0,0,FLAT
RELIANCE,197,completed,2022-08-25,1750,0,1750,0,0,0,0,0,0,0,FLAT
INDUSINDBK,201,completed,2022-07-28,4500,0,4500,0,0,0,0,0,0,0,FLAT
COALINDIA,219,completed,2022-10-27,25200,0,25200,0,0,0,0,0,0,0,FLAT
CIPLA,236,completed,2023-07-27,5200,0,5200,0,0,0,0,0,0,0,FLAT
MARUTI,239,completed,2023-05-25,600,0,600,0,0,0,0,0,0,0,FLAT
INFY,243,completed,2023-12-28,3600,0,3600,0,0,0,0,0,800,0,FLAT
HCLTECH,244,completed,2023-01-25,4900,0,4900,0,0,0,0,0,0,0,FLAT
JSWSTEEL,251,completed,2023-04-27,6750,0,6750,0,0,0,0,0,0,0,FLAT
SBIN,252,completed,2023-07-27,9000,0,9000,0,0,0,0,0,0,0,FLAT
EICHERMOT,265,completed,2023-11-30,1575,0,1575,0,0,0,0,0,1400,0,FLAT
TATAMOTORS,283,completed,2023-11-30,9975,0,9975,0,0,0,0,0,0,0,FLAT
HEROMOTOCO,287,completed,2023-10-26,2100,0,2100,0,0,0,0,0,0,0,FLAT
SBIN,288,completed,2023-12-28,10500,0,10500,0,0,0,0,0,0,0,FLAT
CIPLA,290,completed,2023-11-30,5200,0,5200,0,0,0,0,0,0,0,FLAT
LT,293,completed,2023-11-30,2100,0,2100,0,0,0,0,0,0,0,FLAT
HDFCLIFE,297,completed,2024-07-25,11000,0,11000,0,0,0,0,0,0,0,FLAT
HINDALCO,312,completed,2024-04-25,11200,0,11200,0,0,0,0,0,0,0,FLAT
ULTRACEMCO,318,completed,2024-06-27,700,0,700,0,0,0,0,0,0,0,FLAT
M&M,322,completed,2024-02-29,4200,0,4200,0,0,0,0,0,0,0,FLAT
JSWSTEEL,323,completed,2024-04-25,8775,0,8775,0,0,0,0,0,0,0,FLAT
TATASTEEL,328,completed,2024-02-29,55000,0,55000,0,0,0,0,0,0,0,FLAT
KOTAKBANK,329,completed,2024-09-26,4000,0,4000,0,0,0,0,0,0,0,FLAT
TATACONSUM,336,completed,2024-07-25,6300,0,6300,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,344,completed,2024-06-27,375,0,375,0,0,0,0,0,0,0,FLAT
DRREDDY,351,completed,2024-06-27,1250,0,1250,0,0,0,0,0,0,0,FLAT
ONGC,354,completed,2024-07-25,1925,0,1925,0,0,0,0,0,0,0,FLAT
AXISBANK,364,completed,2024-09-26,6875,0,6875,0,0,0,0,0,0,0,FLAT
RELIANCE,369,open,,2750,2750,0,0,5500,5500,0,5500,0,0,OPEN_AT_END
TATAMOTORS,390,terminated,2025-10-13,8250,0,0,8250,0,0,0,0,6050,0,FLAT
M&M,399,completed,2025-05-29,2800,0,2800,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,403,completed,2025-06-26,1500,6000,7500,0,0,0,0,0,300,0,FLAT
POWERGRID,406,open,,25200,0,0,0,25200,25200,0,25200,10800,0,OPEN_AT_END
