date,zero,low,base,high,stress
2019-12-31,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
2020-01-01,20002380.744980212,19998380.16510155,19994379.585222892,19986379.474319838,19970378.20365946
2020-01-02,20098273.962381937,20094272.826313067,20090271.690244198,20082270.467106547,20066266.971831158
2020-01-03,20073517.57089795,20069515.87856155,20065514.186225146,20057511.85069827,20041506.130498584
2020-01-06,19941704.569952007,19937701.208580993,19933697.847209983,19925692.174051464,19909679.778150916
2020-01-07,20010324.74330585,20006320.82535792,20002316.90741,19994310.12124358,19978295.499181304
2020-01-08,20001895.308045916,19997890.833443698,19993886.358841483,19985878.459512424,19969861.610978924
2020-01-09,20079801.26422662,20075796.23289272,20071791.201558825,20063782.18891236,20047763.1135981
2020-01-10,20108522.611902382,20104517.0237594,20100511.435616422,20092501.309497777,20076480.00709317
2020-01-13,20134042.82957813,20130035.570775665,20126028.311973207,20118014.8449736,20101986.86036907
2020-01-14,20170755.74361515,20166747.927693922,20162740.1117727,20154725.530681636,20138695.317748126
2020-01-15,20184394.049419425,20180385.67630198,20176377.303184543,20168361.607847128,20152329.166274834
2020-01-16,20175252.74704542,20171243.81665429,20167234.886263173,20159218.0765245,20143183.40600358
2020-01-17,20182131.83654761,20178122.348805323,20174112.861063045,20166094.93676818,20150058.03698875
2020-01-20,20181085.280846205,20177074.12081798,20173062.960789766,20165041.692361467,20148998.103876725
2020-01-21,20158950.938234564,20154939.220545202,20150927.50285585,20142905.11925148,20126859.300268386
2020-01-22,20137891.987771578,20133879.712343547,20129867.436915528,20121843.937980045,20105795.8881885
2020-01-23,20180373.429511767,20176360.59626753,20172347.7630233,20164323.14860164,20148272.867691502
2020-01-24,20215440.263509657,20211426.87237166,20207413.481233668,20199387.75117075,20183335.238831833
2020-01-27,20073421.94244004,20069406.87738807,20065391.812336106,20057362.734884106,20041303.52732816
2020-01-28,19915375.345850505,19911359.722594492,19907344.09933848,19899313.90562474,19883252.465398967
2020-01-29,20007209.141791396,20003192.960253734,19999176.778716072,19991145.468585398,19975081.795379397
2020-01-30,19845257.717612285,19841240.977715354,19837224.237818427,19829191.811115608,19813125.90461893
2020-01-31,19532904.949137308,19525039.404519875,19517173.859902445,19501444.87275929,19469984.796381272
2020-02-03,19308803.481417395,19300934.656221375,19293065.831025355,19277330.28360177,19245857.08578614
2020-02-04,19729129.140725497,19720790.38088993,19712451.62105436,19695776.10475391,19662423.06878233
2020-02-05,20087518.319991004,20079178.39786939,20070838.475747775,20054160.635154475,20020802.95031794
2020-02-06,20083537.62458732,20075196.540017653,20066855.455447987,20050175.290237866,20016812.955888413
2020-02-07,20166060.99392101,20157513.970433168,20148966.94694533,20131874.904178172,20097688.814435333
2020-02-10,19794165.591884565,19785614.994452998,19777064.39702143,19759965.207204886,19725764.822525203
2020-02-11,19884775.834151994,19876224.044907704,19867672.255663414,19850570.682500888,19816365.530849785
2020-02-12,19956376.2018984,19947823.220675264,19939270.23945213,19922166.28261143,19887956.36332446
2020-02-13,19970136.695141267,19961582.521773145,19953028.34840503,19935922.0075539,19901707.31996654
2020-02-14,19866722.313898087,19858166.948218815,19849611.58253955,19832502.857345708,19798283.40079333
2020-02-17,19846179.546762906,19837620.603651617,19829061.66054033,19811945.78132133,19777712.015879758
2020-02-18,19643265.667698022,19634705.531610757,19626145.395523496,19609027.13063229,19574788.59356656
2020-02-19,19813806.91423458,19805245.58500506,19796684.25577554,19779563.604879607,19745320.295524634
2020-02-20,19969848.286390092,19961285.763852008,19952723.24131393,19935600.204080697,19901352.121771306
2020-02-24,19167454.277557984,19158886.981120348,19150319.68468272,19133187.10076982,19098919.923981663
2020-02-25,19119756.277965847,19111187.787387922,19102619.29681,19085484.32489654,19051212.371827234
2020-02-26,18898133.404097743,18889563.719213083,18880994.034328427,18863856.67408155,18829579.944065362
2020-02-27,18838870.65597119,18830299.77661333,18821728.897255473,18804589.14834229,18770307.640713386
2020-02-28,17725100.93656722,17714081.535960667,17703062.135354117,17681025.34422368,17639772.58805415
2020-03-02,17324496.881172888,17313472.87279642,17302448.864419963,17280402.858590223,17239131.974436004
2020-03-03,18048239.053993687,18037213.54030398,18026188.02661428,18004139.010432642,17962512.204043604
2020-03-04,17972676.348639462,17961649.329430964,17950622.31022247,17928570.28327788,17886587.55384535
2020-03-05,17905373.76512685,17894345.240193985,17883316.715261124,17861261.677142464,17819973.023857657
2020-03-06,17338923.078471698,17327893.04760886,17316863.01674603,17294804.967042126,17252810.38909615
2020-03-09,16333331.391002722,16322296.841733068,16311262.292463422,16289195.206770107,16247532.85241361
2020-03-11,15883866.01111808,15872828.448343255,15861790.885568433,15839717.773414474,15796643.56326294
2020-03-12,14965231.069642393,14954191.99970349,14943152.929764593,14921076.803557405,14879396.66388946
2020-03-13,15672381.252433952,15661340.67512517,15650300.097816395,15628220.957144415,15586184.887150392
2020-03-16,14726662.173661266,14715617.073625363,14704571.973589465,14682483.788288245,14640779.924886653
2020-03-17,14658532.85364059,14647486.245411407,14636439.63718223,14614348.435769565,14572288.63880245
2020-03-18,14481108.657972017,14470060.541343614,14459012.424715215,14436918.206779258,14394502.475436402
2020-03-19,14048834.58667253,14037784.961438935,14026735.336205345,14004638.101334196,13962566.434805267
2020-03-20,14683725.639759107,14672674.505714323,14661623.371669544,14639523.119451243,14596745.5169258
2020-03-23,13606214.172227992,13595158.511131564,13584102.850035138,13561993.544539338,13518848.131592697
2020-03-24,13647763.522224654,13636706.351492846,13625649.180761043,13603536.856269864,13560385.504084166
2020-03-25,13967132.997074554,13956074.31650123,13945015.63592791,13922900.292029113,13879742.999793366
2020-03-26,14009342.596794743,13998282.406173736,13987222.215552732,13965103.851834022,13921590.618737116
2020-03-27,13805823.074545769,13794536.619186383,13783250.163827002,13760679.270907026,13716261.078199748
