date,zero,low,base,high,stress
2020-03-30,13434292.224849854,13418014.713080034,13401736.961572098,13369183.716919713,13304801.117164575
2020-03-31,13910090.693451768,13893736.040848512,13877381.148474406,13844673.622398058,13779982.558641117
2020-04-01,13565144.45623703,13548787.570428366,13532430.444816109,13499718.45257188,13435018.555338802
2020-04-03,13378376.795326483,13362016.204257455,13345655.373330515,13312935.970968634,13248221.417524863
2020-04-07,14104092.201713666,14087724.198445238,14071355.955210228,14038621.729255877,13973877.856750693
2020-04-08,14136451.41749708,14120081.560339276,14103711.463187706,14070973.529656272,14006222.32406497
2020-04-09,14743540.724368399,14727169.013111237,14710797.06183313,14678055.420304682,14613296.880796693
2020-04-13,14904483.316246547,14888104.18775196,14871724.819127686,14838968.343931265,14774180.465433888
2020-04-15,14839697.841053927,14823315.00226043,14806931.92328285,14774168.027892232,14709365.473254114
2020-04-16,15095947.78575725,15079563.091394056,15063178.156819576,15030410.550491426,14965600.656120677
2020-04-17,15291907.821631033,15275521.27148798,15259134.48110643,15226363.163420435,15161545.92848573
2020-04-20,15003988.202794751,14987596.084681535,14971203.726248197,14938421.273227591,14873582.01410678
2020-04-21,14389523.603422673,14373129.62868876,14356735.413607504,14323949.247547472,14259102.644536767
2020-04-22,14411984.0952727,14395588.2637078,14379192.191768337,14346402.312248329,14281548.36451594
2020-04-23,14730589.678355157,14714191.989748964,14697794.06074098,14665000.467340399,14600139.17405444
2020-04-24,14549495.352680385,14533095.80682256,14516696.020535719,14483898.712833919,14419030.07316241
2020-04-27,14864547.649415372,14848142.531171588,14831737.17241709,14798928.720549554,14734038.039225174
2020-04-28,14897888.688784014,14881481.7124471,14865074.495572226,14832262.327720558,14767364.296682049
2020-04-29,15258534.819447104,15242125.984806603,15225716.9096009,15192901.025344215,15127995.64375913
2020-04-30,16133711.041414984,16117300.34826042,16100889.41451341,16068069.813430775,16003157.080466565
2020-05-04,15259337.164655333,15224050.001008183,15188762.79644135,15118191.454272492,14977774.568955813
2020-05-05,15227837.490665259,15192547.017526872,15157256.503464967,15086678.542593606,14946248.487942722
2020-05-06,15378624.892598521,15343331.109658513,15308037.285791144,15237452.705596529,15097009.480376322
2020-05-07,15172930.97046224,15137633.877410188,15102336.743426941,15031745.543288263,14891289.1462635
2020-05-08,15194588.72426354,15159288.320789,15123987.876379427,15053390.055675816,14912920.485611148
2020-05-11,15558600.613501543,15523290.27782811,15487979.90120813,15417362.216946948,15276853.12405617
2020-05-12,15755003.671103017,15719690.023765108,15684376.335476803,15613752.028166814,15473229.757293923
2020-05-13,16167814.804677686,16132497.845364703,16097180.845097488,16026549.914117536,15886014.464026598
2020-05-14,15592838.61423267,15557518.342633996,15522198.030077245,15451560.474806111,15311011.84426109
2020-05-15,15795371.499775108,15760047.915580083,15724724.290423151,15654080.110239554,15513518.298004288
2020-05-18,15309178.184386121,15273844.661470028,15238511.097580494,15167847.04079553,15027245.679780694
2020-05-19,15216986.77392822,15181649.937172977,15146313.059440454,15075642.375257524,14935027.827606985
2020-05-20,15739534.639493404,15704194.488588216,15668854.296701903,15598176.984499438,15457549.24897646
2020-05-21,16097731.581088807,16062388.115722846,16027044.609371915,15956360.668528292,15815719.743896019
2020-05-22,16010043.198721549,15974696.418583957,15939349.59745756,15868659.027351102,15728004.91237255
2020-05-26,16143376.573430425,16108016.532962793,16072656.451490974,16001939.361846188,15861232.480534209
2020-05-27,16800638.171314076,16765274.81452028,16729911.416718453,16659187.694701891,16518467.616857734
2020-05-28,17473670.321508057,17438303.648077074,17402936.933634207,17332206.57862383,17191473.303009834
2020-05-29,17793835.33936069,17755223.78996967,17716612.199562926,17639392.492476612,17485680.181371383
2020-06-01,18175597.01604485,18134971.06517549,18094303.004280865,18012662.380461566,17851643.318391405
2020-06-02,18333639.617133573,18285268.459704533,18244596.709687542,18168064.14671967,18004404.423586346
2020-06-03,18366577.22934381,18315835.864882786,18275160.42540878,18200610.92266287,18036560.53704571
2020-06-04,18605029.852676567,18554068.28071122,18513389.151445515,18439422.708292034,18275731.658770256
2020-06-05,19084412.487132855,19030650.707190793,18989967.88779868,18917289.50360804,18752082.78876072
2020-06-08,18985135.42387535,18930498.018585853,18889804.12781028,18817714.918619245,18652211.20353216
2020-06-09,18812828.10283283,18758400.487676766,18717702.905435722,18644891.75268879,18478872.36659158
2020-06-10,18805540.79291889,18750462.967423655,18709761.693382278,18636338.596449576,18469053.537920676
2020-06-11,18431113.494134538,18376675.457827486,18335970.491650876,18264395.449902482,18099594.7175202
2020-06-12,18624326.206480782,18569452.958889227,18528744.30024246,18454967.31304839,18287525.905390903
2020-06-15,18326249.376914337,18274585.494051073,18233865.75698898,18160092.931567736,17995854.493818786
2020-06-16,18614622.133790035,18563383.037751213,18522659.606879056,18446199.83349179,18279695.714779444
2020-06-17,18461334.901801385,18408800.5921141,18368073.467096798,18293396.74511324,18127376.94401503
2020-06-18,19059127.680949386,19004438.157140695,18963707.337643147,18887298.66643297,18717388.181526296
2020-06-19,19088480.471235055,19032280.73283197,18991546.218519032,18914510.597451847,18742459.427313987
2020-06-22,19382278.875508092,19325848.491902728,19285102.892138124,19208636.419608593,19036913.189508617
2020-06-23,19638511.710351504,19581431.110259484,19540681.814338733,19464103.389430255,19291614.468407284
2020-06-24,19432219.556337632,19375133.73928576,19334380.74687357,19257545.36895547,19084790.755586136
2020-06-25,19332931.23127909,19275326.643691055,19234486.40134905,19157656.96358449,18984302.444033056
2020-06-26,19393087.895608395,19324793.874846205,19273264.82105586,19175059.82617276,18958951.679026444
2020-06-29,19250282.81377262,19181970.207541108,19130427.130683474,19032195.41038724,18816028.451776985
2020-06-30,19251847.621775337,19183528.81870144,19131981.066215966,19033740.435024343,18817553.86725781
2020-07-01,19431911.26378356,19363586.263305143,19312033.834767696,19213784.291872352,18997578.113170736
2020-07-02,19652458.799150594,19584127.775963776,19532570.80318568,19434312.599795014,19218087.362963006
2020-07-03,19610638.91385389,19542301.86742779,19490740.35000848,19392473.485359084,19176229.188716747
2020-07-06,20178436.99599357,20110081.878256794,20058506.725712053,19960213.87499605,19743912.393882483
2020-07-07,19977619.928090896,19909258.784990948,19857679.086202487,19759377.571173668,19543057.023528993
2020-07-08,20105496.68955946,20037129.52056522,19985545.27513229,19887235.095026914,19670895.479170457
2020-07-09,20544547.280406263,20476174.084986553,20424585.292508386,20326266.44656264,20109907.76081358
2020-07-10,20419011.700638294,20350632.478261903,20299039.138337687,20200711.62578769,19984333.86846505
2020-07-13,20607313.94951109,20538916.64467085,20487309.661205932,20388956.146551374,20172521.169464648
2020-07-14,20221442.43733304,20153039.103410922,20101427.570896454,20003065.386581674,19786611.331196446
2020-07-15,20303493.504575215,20235084.141039766,20183468.059074756,20085097.204335544,19868624.068970103
2020-07-16,20352924.651244614,20284509.25756434,20232888.625747763,20134509.09981984,19918016.882792324
2020-07-17,20484243.377348244,20415821.952991594,20364196.770922393,20265808.57304141,20049297.272669807
2020-07-20,20479437.29398281,20410997.77600227,20359358.941971906,20260944.725938495,20044376.17048817
2020-07-21,20735791.337872364,20667345.787088938,20615702.401201464,20517279.51015713,20300691.86463365
2020-07-22,20711714.211231157,20643262.627113074,20591614.68896725,20493183.12214731,20276576.384867918
2020-07-23,20863182.1640662,20794724.54608163,20743072.055276185,20644631.811915882,20428005.981197685
2020-07-24,20637292.69638449,20568829.044001564,20517172.000135187,20418723.07946971,20202078.153629653
2020-07-27,20691367.031810142,20622885.27463638,20571214.570383184,20472739.615507517,20256037.399252303
2020-07-28,20940010.38211049,20871522.588410545,20819847.329490945,20721363.694250353,20504642.37614005
2020-07-29,21065205.06192912,20996711.231170893,20945031.417183403,20846539.100812726,20629798.679163553
2020-07-30,20981291.071273055,20912791.202924386,20861106.833467484,20762605.835201494,20545846.308329515
2020-07-31,21092506.383785658,21014591.452406,20953492.723020457,20836164.899878073,20583995.124166816
2020-08-03,21128346.434513614,21049503.85485518,20987481.924131818,20868308.986058928,20609718.467752185
2020-08-04,21374483.18160802,21295633.61617302,21233606.190051716,21114422.69276676,20854847.53272517
2020-08-05,21940996.2934888,21862139.741658263,21800106.819652095,21680912.76221948,21422592.958259694
2020-08-06,22245659.520166114,22166795.981321014,22104757.562943026,21985552.944427088,21724328.49436555
2020-08-07,22293650.600014143,22214270.629736304,22151717.2707004,22031483.20256718,21768196.329023734
2020-08-10,22452687.781644363,22373286.711191773,22310716.72470183,22190450.69687096,21925329.33025343
2020-08-11,22529494.27337478,22450086.16766104,22387510.637213156,22267233.953317977,22000007.74907536
2020-08-12,22430318.835031845,22350044.631341003,22286604.494351365,22164599.0292625,21895991.73682368
2020-08-13,22588998.405090645,22508717.088775463,22445271.33072897,22323255.055454507,22053182.616523247
2020-08-14,22687825.591293484,22607537.161723755,22544085.782122362,22422058.695704475,22152281.108052693
2020-08-17,22969321.248365015,22889011.47714085,22825543.23138048,22703483.708658583,22426910.668160386
2020-08-18,23199788.899216074,23119472.012216136,23055998.142908365,22933927.805211138,22656849.607078705
2020-08-19,23215884.166262634,23135560.16285644,23072080.669502996,22949999.51587219,22674336.157876454
2020-08-20,23252949.549514998,23172618.429072,23109133.31117457,22987041.340651855,22713912.82056354
2020-08-21,23266148.798983455,23185810.56087306,23122319.817933287,23000217.02956023,22724823.345149882
2020-08-24,23295418.146068014,23215058.553063456,23151550.933501445,23029415.688701868,22751226.504636414
2020-08-25,23202271.61047294,23121904.897278197,23058391.650680106,22936245.584195912,22658671.22688918
2020-08-26,23305998.941145457,23225625.107129652,23162106.232996896,23039949.34386924,22758989.811090775
2020-08-27,23388621.388095863,23308240.43262806,23244715.930462025,23122548.217731975,22838363.50725113
2020-08-28,23338870.773949064,23257170.369171795,23192328.93013492,23067526.7572781,22778069.595733292
2020-08-31,23070592.138093367,22988010.954248637,22922293.21746525,22795739.74646703,22502769.395269632
2020-09-01,23352105.114960738,23250626.30085162,23165991.565562986,23001599.52808088,22636636.07833498
2020-09-02,23662780.160752025,23557370.256104387,23472727.926529355,23308321.138127208,22934121.66501097
2020-09-03,23618751.589348022,23515050.59316671,23430400.66862385,23265979.127978057,22895293.628259096
2020-09-04,23013355.035093524,22913362.94638329,22828705.426191106,22664269.13197795,22308187.602423593
2020-09-07,23096169.521322913,22997264.152039915,22912583.842855077,22748103.283968307,22393783.65520888
2020-09-08,22583060.99909473,22485624.5333012,22400936.62574062,22236441.307990767,21893215.636463225
2020-09-09,22554386.359911907,22454338.796612162,22369643.28999404,22205133.21205679,21867261.494527012
2020-09-10,22795091.853786394,22688873.191984646,22604170.08562711,22439645.246178035,22086367.47941161
2020-09-11,23033164.98073012,22927855.219430506,22843144.512651633,22678604.910366178,22320981.0911284
2020-09-14,22760202.260804854,22653979.19802376,22569245.687934913,22404661.793166295,22052599.806809485
2020-09-15,23254340.92010914,23141106.75384607,23056365.64060776,22891766.97770372,22527898.925934713
2020-09-16,23493990.96254238,23383025.69180102,23298276.974731006,23133663.542366397,22768489.421949044
2020-09-17,23167141.13811652,23054724.761900455,22969968.440316454,22805340.23716601,22441530.044863857
2020-09-18,23232877.696843505,23117930.214156248,23033166.287375897,22868523.31211423,22501487.044690553
2020-09-21,21695415.27251883,21607114.467428237,21522327.7230116,21357640.427439764,21013735.924940422
2020-09-22,21380143.56213283,21293026.284686834,21199586.57044641,21017593.773665782,20658550.920204412
2020-09-23,21214480.451987803,21124674.15947283,21018197.080233715,20810127.290258244,20397740.743173316
2020-09-24,19624138.33109151,19534323.980245605,19427837.34680359,19219748.88669736,18814969.650109496
2020-09-25,20097021.71477163,20001737.44802153,19889779.25283271,19670748.33729642,19229995.457306772
2020-09-28,20577003.479508646,20479951.664918467,20366221.533318855,20143647.960193023,19718306.99462259
2020-09-29,20846255.233012,20749194.709949203,20635454.373329304,20412860.828646265,19969745.611176416
2020-09-30,20749507.015834987,20652437.783518165,20538687.240962278,20316073.722929984,19841346.751384594
2020-10-01,20878318.827980246,20781240.88562791,20667480.136220258,20444846.643046495,19971975.415249243
2020-10-05,21172589.534143444,21074617.91760873,20959957.545944385,20735526.551022753,20232667.684941895
2020-10-06,21115866.311617784,21017885.962403163,20903215.370510153,20678764.3709779,20240096.092537757
2020-10-07,20903293.118219372,20805304.035546456,20690623.222513795,20466152.216587827,20011387.023612402
2020-10-08,20999124.953950793,20901127.13704113,20786436.10195777,20561945.087854803,20098515.478167914
2020-10-09,20824186.818814654,20726180.266889714,20611479.008844506,20386967.98478113,19961998.9562064
2020-10-12,20950962.50081133,20852929.74150479,20738197.81184038,20513626.752545014,20058659.460777037
2020-10-13,20866239.482223112,20768197.98478671,20653455.82851533,20428864.752124734,19987753.032762043
2020-10-14,21048716.492780313,20950666.256435186,20835913.87264528,20611302.77737524,20167711.62824049
2020-10-15,20852853.532485534,20754794.556452736,20640031.94423268,20415400.82829882,20017982.74721446
2020-10-16,21258025.601341374,21159957.884841897,21045185.04327998,20820533.904897757,20337471.38968605
2020-10-19,21397341.89536853,21299247.955131773,21184444.42280891,20959733.21172751,20451702.38759999
2020-10-20,21361974.08084502,21263871.397025064,21149057.631712936,20924326.39104391,20439526.124076735
2020-10-21,21643436.295485128,21545324.8673026,21430500.868089095,21205749.59604711,20697192.384061582
2020-10-22,21757678.53929144,21659558.365966924,21544724.131939843,21319952.826739404,20841751.167556617
2020-10-23,21932640.812266566,21834511.89302056,21719667.423267625,21494876.083123084,21055412.47456394
2020-10-26,21571502.71870616,21473347.559356995,21358472.37968942,21133620.92935514,20645333.966129065
2020-10-27,21742515.108374722,21644351.1999856,21529465.78094249,21304594.288520385,20813602.86720021
2020-10-28,21604762.527225096,21506589.869016167,21391694.209684838,21166802.673388463,20711176.79179413
2020-10-29,21521999.21611123,21423817.807302587,21308911.906770267,21084000.324813016,20604423.112318654
2020-10-30,21676941.694757268,21577752.005835086,21461836.3344551,21234904.628694937,20749716.63430713
2020-11-02,21614828.46650565,21512643.02806918,21393727.014704745,21161812.417759657,20684486.46021632
2020-11-03,21845362.754554316,21743168.761726856,21624242.79338167,21391257.3147106,20916427.198286526
2020-11-04,21809137.74144356,21706935.19350899,21587999.269349672,21350462.107187774,20886947.79470048
2020-11-05,22310906.277181648,22208695.17342378,22089749.29261688,21846547.095199168,21422068.549463056
2020-11-06,22345349.204314258,22242270.481924243,22122455.58154366,21877519.67291978,21518880.60837574
2020-11-09,22588175.620399572,22485071.01049445,22365226.01942228,22116334.612944543,21763921.762522187
2020-11-10,22562590.523266863,22459477.28202288,22339622.258201163,22090829.613773044,21758552.056400854
2020-11-11,22844235.47532757,22741113.60202216,22621248.544611003,22371886.810454585,22088724.508904193
2020-11-12,22915446.27658999,22812315.770500526,22692440.678659983,22442432.60299719,22162605.52003711
2020-11-13,22997698.577062435,22894559.437466227,22774674.310356267,22523769.691408884,22198977.789804514
2020-11-17,23126292.625825524,23023118.949311346,22903193.677763328,22651351.528564103,22396600.203431707
2020-11-18,23135371.87242283,23032189.55878792,22912254.24776972,22660093.196393464,22412456.866415717
2020-11-19,23162954.11827999,23059763.1668013,22939817.815472472,22687693.160140075,22527811.788063675
2020-11-20,23215352.813405324,23112153.22335974,22992197.83087977,22739171.519811966,22626725.06838048
2020-11-23,23263458.64661076,23160233.138694987,23040247.6202398,22786864.986627553,22590763.185352188
2020-11-24,23288522.78886694,23185288.6394914,23065293.076522507,22811716.63005676,22770989.600378785
2020-11-25,23298932.03043285,23195689.238874134,23075683.630550656,22821913.369451404,22657261.074098792
2020-11-26,23295852.545660395,23192601.111195028,23072585.45667602,22818528.82916312,22598580.650414728
2020-11-27,23284027.891307823,23162365.82204329,23023941.056123346,22736826.208215486,22446941.188799918
2020-12-01,23511573.241328295,23389870.432603233,23251399.314107496,22959158.631235044,22669176.54163666
2020-12-02,23567755.44118973,23446042.301730085,23307559.42912294,23018813.10485437,22728806.40014617
2020-12-03,23679905.31907183,23558181.84800068,23419687.220284376,23122662.7520187,22832631.430111237
2020-12-04,23930585.374989707,23808851.571430054,23670345.187606763,23359270.072742764,23069214.131546404
2020-12-07,23913553.576896016,23791788.77323963,23653247.118101627,23345575.055638358,23055445.25030589
2020-12-08,23935216.845062796,23813441.705409396,23674888.290172484,23367493.070704494,23077338.63772337
2020-12-09,24133272.79134093,24011487.31481314,23872922.138479065,23550953.759404033,23260774.696683742
2020-12-10,24152146.41574553,24030350.601465907,23891773.663036328,23569404.62175172,23279200.927201565
2020-12-11,24090952.71829172,23969146.56538274,23830557.863859236,23502505.65776229,23212277.3292914
2020-12-14,24158284.660400417,24036447.4889706,23897823.495169785,23562804.28682688,23272502.05032064
2020-12-15,24293866.675618816,24172019.162049048,24033383.401160013,23687726.017592184,23397399.138800483
2020-12-16,24402696.36905442,24280838.512466807,24142190.983490705,23794120.422094088,23503768.898925167
2020-12-17,24464416.24072236,24342548.040238936,24203888.742176834,23852762.500347342,23562386.330709264
2020-12-18,24494253.790637758,24372375.245380484,24233704.177233364,23882309.752366696,23591908.934167344
2020-12-21,24061379.47517174,23939469.892958567,23800763.511559084,23467577.029767293,23177102.25960725
2020-12-22,24333612.73818291,24211692.8076832,24072974.652202033,23731034.97695429,23440535.54986328
2020-12-23,24493103.679517202,24371173.399852544,24232443.46929025,23881425.59798114,23590901.51186616
2020-12-24,24633034.799189758,24511094.16948166,24372352.462838713,24017156.392862607,23726607.645630475
2020-12-28,24705969.991293576,24583987.957897477,24445199.142933466,24086167.76786595,23795520.367791787
2020-12-29,24735717.002793685,24613724.614961036,24474924.018917974,24114421.932153303,23823749.860494494
2020-12-30,24759429.192722898,24637426.44957476,24498614.071452614,24136931.270383827,23846234.525046125
2020-12-31,24769376.56109636,24647363.461753726,24508539.30055237,24146643.282572288,23855921.861461267
2021-01-01,24769152.804890785,24625519.69315912,24465074.33229267,24059931.225846946,23687788.74002996
2021-01-04,25266567.10903384,25122896.059980266,24962408.32123012,24557158.20572317,24169399.251231655
2021-01-05,25345145.82664894,25201462.128481306,25040960.26003889,24635674.46542355,24246238.344893247
2021-01-06,25363764.74972965,25220068.401334308,25059552.40195561,24654230.92509061,24256587.63524934
2021-01-07,25412113.878294062,25268404.878557257,25107874.746998157,24702517.58474196,24302892.12231725
2021-01-08,25741250.71236027,25597529.06016815,25436984.795184422,25031591.944395207,24626784.3061143
2021-01-11,25834561.831118558,25690802.218218643,25530215.549228013,25124715.62341345,24711091.447744835
2021-01-12,25779494.487318598,25635722.217507277,25475121.410114337,25069585.78319754,24653369.41857969
2021-01-13,25599489.84911091,25455704.92127384,25295089.974233814,24889518.643071577,24473000.086230297
2021-01-14,25600207.916513592,25456410.32953633,25295781.241604336,24890174.20305318,24473098.450713985
2021-01-15,25411231.18954475,25267420.942312755,25106777.712243795,24701134.963159963,24285962.01204808
2021-01-18,25378551.625577945,25234703.394237854,25074017.734022684,24668267.843908723,24253488.286653597
2021-01-19,25968988.221249726,25825127.325196065,25664427.51786318,25258641.90463958,24839325.135510657
2021-01-20,26110252.52264051,25966378.96075825,25805665.00506211,25399843.665583726,24979289.68130479
2021-01-21,26225389.529768415,26081503.300942425,25920775.195637375,25514918.12675879,25094576.92405334
2021-01-22,26014064.242651545,25870165.345766604,25709423.08960688,25303530.288182404,24884141.863773648
2021-01-25,26017153.998620972,25873217.094213203,25712432.381751847,25306432.373251773,24886812.273901854
2021-01-27,25712042.570682693,25568080.32123384,25407267.297095504,25001195.798334207,24579031.2293593
2021-01-28,25703266.07869519,25559291.15449436,25398463.972024914,24992356.721838847,24569324.911494974
2021-01-29,25444250.721085727,25297020.476318352,25132936.58946,24720308.395191602,24284268.961180106
2021-02-01,25934716.41838961,25777502.906096682,25603432.6187317,25172490.96837893,24698207.346055295
2021-02-02,26291644.8019621,26134417.228212662,25960331.37169119,25513553.229595896,25039227.186500467
2021-02-03,26414868.93618703,26257369.59022882,26083010.453663744,25638210.39712567,25162811.091485936
2021-02-04,26360333.39704606,26202710.767159093,26028226.83869557,25586416.87304513,25110538.289184026
2021-02-05,26279353.84718235,26121553.803346034,25946890.952828586,25510367.786865108,25033793.375973467
2021-02-08,26444193.92015408,26286252.466242652,26111443.68093171,25673102.54402059,25196003.952873472
2021-02-09,26631082.403111488,26472972.31680329,26297993.39045142,25859626.58157898,25381867.264590558
2021-02-10,26694422.115225255,26536297.88726937,26361303.31049072,25922439.839922197,25444637.791289657
2021-02-11,26813494.418991096,26655356.048122674,26480345.81951744,26035590.68352653,25557745.899427883
2021-02-12,26785641.814417213,26627489.29937128,26452463.417539544,26008966.612399623,25531079.089012526
2021-02-15,26791401.775700975,26633206.824327283,26458133.97861586,26010287.154848013,25532271.40212754
2021-02-16,26801807.037825577,26643597.937213715,26468509.432675198,26018475.924849488,25540417.417548835
2021-02-17,26680319.891651448,26522096.640535884,26346992.47576972,25897047.28015785,25418946.014452964
2021-02-18,26804620.33718679,26646382.934301883,26471263.107907392,26017506.22078073,25539362.19284723
2021-02-19,26742135.87443981,26583884.318519793,26408748.829096176,25949555.24672576,25471368.452738907
2021-02-22,26624015.2613765,26465721.242553547,26290538.759839747,25832585.08055018,25354269.97692807
2021-02-23,26753301.16555764,26594992.988635752,26419794.83728873,25955494.447837222,25477136.56286045
2021-02-24,26839829.66149748,26681507.325210333,26506293.503828656,26040521.400484573,25562120.730326697
2021-02-25,26815356.344033726,26657019.847114876,26481790.35429699,26015326.533329368,25536883.07416361
2021-02-26,26510615.07013196,26350915.931401357,26174322.28583208,25705119.783682622,25223266.193184793
2021-03-01,26813911.177122124,26626321.99739437,26422061.724186756,25899746.48689388,25326070.072419476
2021-03-02,27312449.32721636,27123175.658830598,26914881.171570744,26391993.368261438,25800326.26586052
2021-03-03,27826777.627044328,27628239.468253866,27417945.765219692,26886582.891406737,26285042.59564009
2021-03-04,27661543.576619446,27469090.925677437,27259493.005146712,26732127.556342486,26124229.061770406
2021-03-05,27221167.17595514,27030445.03111458,26821872.89136491,26291664.863081392,25701688.164263684
2021-03-08,27582038.4232842,27379032.7915065,27168642.988932382,26627067.20874571,26038123.380869083
