slippage_level,L1,L2,L3,L4,L5
zero,0.0992215762975115,0.15538917401246044,0.17930764035157742,0.19650961390060862,0.16888169963015298
low,0.09822255718069872,0.1520724324421605,0.18024046235227287,0.19147301393668203,0.14313109756543296
base,0.09701539155866512,0.15561706451515955,0.18047936249370178,0.1760415539747051,0.15858333338708963
high,0.09430983654524971,0.14462915463604786,0.16712938302391533,0.1695705130034597,0.14039372824712903
stress,0.08589846032344561,0.13069261807175248,0.15439302259144205,0.14159177617104834,0.11739907392851312
