date,symbol,kind,amount
2020-01-01,,cash_interest,2728.9589041095887
2020-01-01,TATASTEEL,premium,63984.9
2020-01-01,TATASTEEL,option_sale_costs,-93.41904318200001
2020-01-01,VEDL,premium,42000.0
2020-01-01,VEDL,option_sale_costs,-69.42956
2020-01-01,ONGC,premium,7790.0
2020-01-01,ONGC,option_sale_costs,-32.1002922
2020-01-01,HINDALCO,premium,59850.0
2020-01-01,HINDALCO,option_sale_costs,-88.90712299999998
2020-01-01,BAJFINANCE,premium,31809.375000000004
2020-01-01,BAJFINANCE,option_sale_costs,-58.309753812500006
2020-01-01,COALINDIA,premium,74115.0
2020-01-01,COALINDIA,option_sale_costs,-104.4728057
2020-01-01,NTPC,premium,15119.999999999998
2020-01-01,NTPC,option_sale_costs,-40.0986416
2020-01-01,TCS,premium,43216.875
2020-01-01,TCS,option_sale_costs,-70.7573896625
2020-01-01,INDUSINDBK,premium,28899.0
2020-01-01,INDUSINDBK,option_sale_costs,-55.13401082
2020-01-01,HEROMOTOCO,premium,32379.840000000004
2020-01-01,HEROMOTOCO,option_sale_costs,-58.9322338112
2020-01-01,TATAMOTORS,premium,111941.04
2020-01-01,TATAMOTORS,option_sale_costs,-145.74782402719998
2020-01-01,ICICIBANK,premium,37537.5
2020-01-01,ICICIBANK,option_sale_costs,-64.56016924999999
2020-01-01,WIPRO,premium,8000.0
2020-01-01,WIPRO,option_sale_costs,-32.32944
2020-01-02,,cash_interest,2858.1889478283883
2020-01-03,,cash_interest,2858.5863143986826
2020-01-06,,cash_interest,8576.951208641452
2020-01-07,,cash_interest,2860.1761674167833
2020-01-08,,cash_interest,2860.573810265045
2020-01-09,,cash_interest,2860.971508396557
2020-01-10,,cash_interest,2861.369261819005
2020-01-13,,cash_interest,8585.301211620228
2020-01-14,,cash_interest,2862.9606626222235
2020-01-15,,cash_interest,2863.3586925916065
2020-01-16,,cash_interest,2863.7567778980597
2020-01-17,,cash_interest,2864.154918549277
2020-01-20,,cash_interest,8593.65934365886
2020-01-21,,cash_interest,2865.7478686444438
2020-01-22,,cash_interest,2866.1462861118257
2020-01-23,,cash_interest,2866.5447589701507
2020-01-24,,cash_interest,2866.943287227121
2020-01-27,,cash_interest,8602.02561267131
2020-01-28,,cash_interest,2868.5377881225327
2020-01-29,,cash_interest,2868.9365934651582
2020-01-30,,cash_interest,2869.3354542526527
2020-01-30,ONGC,put_assignment_pay_strike,-984000.0
2020-01-30,ONGC,assignment_costs,-4035.56112
2020-01-30,HINDALCO,put_assignment_pay_strike,-4305000.0
2020-01-30,HINDALCO,assignment_costs,-17655.5799
2020-01-30,COALINDIA,put_assignment_pay_strike,-4860000.0
2020-01-30,COALINDIA,assignment_costs,-19931.734800000002
2020-01-30,INDUSINDBK,put_assignment_pay_strike,-1704000.0
2020-01-30,INDUSINDBK,assignment_costs,-6988.41072
2020-01-31,,cash_interest,1215.0843301215666
2020-01-31,COALINDIA,premium,48600.0
2020-01-31,COALINDIA,option_sale_costs,-76.63134799999999
2020-01-31,HINDALCO,premium,52500.0
2020-01-31,HINDALCO,option_sale_costs,-80.88695
2020-01-31,INDUSINDBK,premium,14800.56
2020-01-31,INDUSINDBK,option_sale_costs,-39.75007506079999
2020-02-03,,cash_interest,3694.017562868325
