decision_date,ranking_date,selected,n_selected
2021-10-01,2021-09-30,"NTPC,COALINDIA,ONGC,IOC,TATAMOTORS,SUNPHARMA,POWERGRID,TITAN,GRASIM,BAJAJFINSV,HINDALCO,MARUTI,BAJFINANCE,RELIANCE,M&M,CIPLA,SBIN,ITC,HCLTECH,KOTAKBANK",20
2021-10-29,2021-10-28,"TATAMOTORS,ICICIBANK,LT,ULTRACEMCO,TECHM,SBIN,UPL",7
2021-11-26,2021-11-25,"POWERGRID,BHARTIARTL,ADANIPORTS,RELIANCE,ONGC,TECHM,TATAMOTORS",7
2021-12-31,2021-12-30,"HCLTECH,TECHM,WIPRO,SUNPHARMA,CIPLA,DRREDDY,TITAN,INFY,TCS,SBILIFE,ASIANPAINT,EICHERMOT,NTPC,BRITANNIA,DIVISLAB,LT,HINDUNILVR",17
2022-01-28,2022-01-27,"MARUTI,AXISBANK,SBIN,BAJAJ-AUTO,IOC,CIPLA,ONGC,HEROMOTOCO,POWERGRID,KOTAKBANK,COALINDIA,NTPC,INDUSINDBK,HINDALCO",14
2022-02-25,2022-02-24,,0
2022-04-01,2022-03-31,"BHARTIARTL,JSWSTEEL,TATACONSUM,ADANIPORTS,M&M,RELIANCE,GRASIM,AXISBANK,BAJFINANCE,BAJAJFINSV,POWERGRID,INFY,ULTRACEMCO,ITC,ICICIBANK,SBILIFE,BAJAJ-AUTO,DRREDDY,SUNPHARMA,TCS",20
2022-04-29,2022-04-28,"HEROMOTOCO,HINDUNILVR,ADANIPORTS,NTPC,HDFCLIFE,RELIANCE,ASIANPAINT,POWERGRID,M&M,EICHERMOT,UPL,INDUSINDBK,MARUTI,SHREECEM,ITC,DIVISLAB,COALINDIA,BAJAJ-AUTO,TATACONSUM,SBIN",20
2022-05-27,2022-05-26,"BRITANNIA,HEROMOTOCO,BAJAJ-AUTO,HDFCLIFE,KOTAKBANK,EICHERMOT,NESTLEIND,HDFCBANK,ICICIBANK,DRREDDY,MARUTI,NTPC,SBILIFE,M&M,TATAMOTORS,SBIN,HINDUNILVR,COALINDIA,AXISBANK",19
2022-06-30,2022-06-30,"M&M,MARUTI,HEROMOTOCO,ONGC,SBIN,DRREDDY,BHARTIARTL,ITC",8
2022-07-28,2022-07-28,"BAJAJFINSV,BAJFINANCE,INDUSINDBK,ASIANPAINT,TATASTEEL,SBIN,GRASIM,HINDALCO,LT,JSWSTEEL,SBILIFE,ULTRACEMCO,ICICIBANK,TITAN,AXISBANK,KOTAKBANK,APOLLOHOSP,HINDUNILVR,NESTLEIND,ADANIPORTS",20
2022-08-26,2022-08-25,"EICHERMOT,COALINDIA,BAJAJFINSV,HINDALCO,GRASIM,SHREECEM,INDUSINDBK,BHARTIARTL,ICICIBANK,SBILIFE,HDFCLIFE,TITAN,M&M,BAJAJ-AUTO,LT,ONGC",16
2022-09-30,2022-09-29,"CIPLA,DRREDDY,SUNPHARMA,BRITANNIA,EICHERMOT,HINDUNILVR,NESTLEIND,APOLLOHOSP,ITC",9
2022-10-27,2022-10-27,"AXISBANK,JSWSTEEL,SUNPHARMA,SBIN,POWERGRID,BHARTIARTL,HCLTECH,NTPC,HINDALCO,CIPLA,DRREDDY,LT,TECHM,MARUTI,COALINDIA,TATASTEEL,ICICIBANK,INFY,EICHERMOT,NESTLEIND",20
2022-11-28,2022-11-24,"APOLLOHOSP,HDFCLIFE,INFY,HCLTECH,BPCL,HDFCBANK,JSWSTEEL,TCS,BRITANNIA,TATACONSUM,UPL,SUNPHARMA,LT,ICICIBANK,SBIN,HINDALCO,WIPRO,AXISBANK,TECHM,BHARTIARTL",20
2023-01-02,2022-12-29,"HINDALCO,JSWSTEEL,SBIN,TATASTEEL,AXISBANK,INDUSINDBK,EICHERMOT,SBILIFE,HDFCBANK,ONGC,BHARTIARTL,GRASIM,ICICIBANK,M&M",14
2023-01-31,2023-01-25,"BAJAJ-AUTO,MARUTI,ONGC,BRITANNIA,TCS,HCLTECH,TATAMOTORS,COALINDIA,ITC,TATASTEEL,HEROMOTOCO,SUNPHARMA,EICHERMOT,HINDUNILVR,HINDALCO,M&M",16
2023-02-24,2023-02-23,"TECHM,ITC,ONGC,NTPC",4
2023-03-31,2023-03-29,"ULTRACEMCO,DRREDDY,TITAN,HINDUNILVR,GRASIM,SUNPHARMA,HDFCLIFE,NESTLEIND,KOTAKBANK,NTPC,INDUSINDBK,BAJAJ-AUTO,JSWSTEEL,APOLLOHOSP,DIVISLAB,AXISBANK,ITC,ADANIPORTS,ADANIENT,HDFCBANK",20
2023-04-27,2023-04-27,"BAJAJ-AUTO,NESTLEIND,TATACONSUM,BAJFINANCE,TATAMOTORS,BPCL,ITC,DIVISLAB,KOTAKBANK,EICHERMOT,SBIN,LT,TITAN,JSWSTEEL,INDUSINDBK,DRREDDY,BHARTIARTL,ICICIBANK,COALINDIA,BAJAJFINSV",20
2023-05-25,2023-05-25,"ADANIENT,DIVISLAB,EICHERMOT,ITC,BAJAJ-AUTO,BHARTIARTL,ADANIPORTS,INDUSINDBK,BAJFINANCE,HDFCLIFE,HEROMOTOCO,TECHM,M&M,HCLTECH,CIPLA,MARUTI,ASIANPAINT,AXISBANK,INFY,SBILIFE",20
2023-06-30,2023-06-28,"HDFCLIFE,DRREDDY,JSWSTEEL,ADANIPORTS,TATAMOTORS,SUNPHARMA,TITAN,BHARTIARTL,INDUSINDBK,SBILIFE,ADANIENT,LT,BAJAJ-AUTO,HDFCBANK,ASIANPAINT,POWERGRID,NTPC,ULTRACEMCO,AXISBANK,APOLLOHOSP",20
2023-07-28,2023-07-27,"CIPLA,SUNPHARMA,LT,DRREDDY,TATAMOTORS,NTPC,TATASTEEL,HINDALCO,HEROMOTOCO,DIVISLAB,SBIN,ICICIBANK,HDFCLIFE,BHARTIARTL,ADANIPORTS,INDUSINDBK,ONGC,APOLLOHOSP,POWERGRID,GRASIM",20
2023-09-01,2023-08-31,"MARUTI,CIPLA,TATASTEEL,TITAN,HDFCLIFE,HINDALCO,INFY,M&M,ULTRACEMCO,LT,HCLTECH",11
2023-09-29,2023-09-28,"COALINDIA,LT,BHARTIARTL,AXISBANK,ONGC,POWERGRID,BAJFINANCE,NTPC,MARUTI,BAJAJ-AUTO",10
2023-10-27,2023-10-26,COALINDIA,1
2023-12-01,2023-11-30,"HEROMOTOCO,BPCL,HDFCLIFE,BAJAJ-AUTO,AXISBANK,BHARTIARTL,M&M,NTPC,APOLLOHOSP,ULTRACEMCO,TATAMOTORS,BRITANNIA,SUNPHARMA,WIPRO,EICHERMOT,TITAN,BAJAJFINSV,DRREDDY,COALINDIA,SBILIFE",20
2023-12-28,2023-12-28,"HINDALCO,HEROMOTOCO,TATACONSUM,COALINDIA,NTPC,BAJAJ-AUTO,BPCL,ULTRACEMCO,WIPRO,DIVISLAB,TATAMOTORS,M&M,JSWSTEEL,NESTLEIND,BRITANNIA,DRREDDY,BHARTIARTL,TATASTEEL,KOTAKBANK,APOLLOHOSP",20
2024-01-29,2024-01-25,"BAJAJ-AUTO,BHARTIARTL,APOLLOHOSP,HEROMOTOCO,ONGC,INFY,CIPLA,COALINDIA,SUNPHARMA,POWERGRID,NTPC,ADANIPORTS,RELIANCE,HCLTECH,BPCL,TATAMOTORS,DRREDDY,ICICIBANK,GRASIM,HINDALCO",20
2024-03-01,2024-02-29,"M&M,SBILIFE,ADANIPORTS,SUNPHARMA,SBIN,TATACONSUM,ADANIENT,TATAMOTORS,GRASIM,NESTLEIND,POWERGRID,HCLTECH,CIPLA,LT,DRREDDY,TCS,ICICIBANK,MARUTI,NTPC,BRITANNIA",20
2024-04-01,2024-03-28,"BAJFINANCE,MARUTI,GRASIM,TATASTEEL,BAJAJ-AUTO,LT,EICHERMOT,ADANIPORTS,HINDALCO,BAJAJFINSV,HEROMOTOCO,TITAN,NESTLEIND,SUNPHARMA,BHARTIARTL,INDUSINDBK,NTPC,JSWSTEEL,TATAMOTORS,M&M",20
