date,starting_cash,starting_nav,assigned_stock_value,n_assigned_stocks,assignments_today,open_put_exposure,covered_call_exposure,gross_exposure,borrowed,uncovered_usable_shares,covered_call_opportunities,covered_call_lots_ordered,covered_call_lots_sold,covered_call_premium,cash_after_calls,margin_utilization_after_calls,breach,new_put_capacity,new_put_lots_decided,new_put_lots_attempted,new_put_lots_executed,new_put_lots_rejected,rejection_reason
2019-12-31,20000000.0,20000000.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20000000.0,0.0,False,20000000.0,102,0,0,0,
2020-01-01,20002728.95890411,20002728.95890411,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20002728.95890411,0.5033208232411587,False,9923172.290617041,0,84,84,0,
2020-01-02,20561316.479564868,20124131.479564868,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20561316.479564868,0.5011055016332088,False,10039818.479564868,0,0,0,0,
2020-01-03,20564175.065879267,20075023.815879267,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20564175.065879267,0.5018135889847148,False,10001104.065879267,0,0,0,0,
2020-01-06,20572752.017087907,19733922.017087907,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20572752.017087907,0.5069435255362515,False,9729938.017087907,0,0,0,0,
2020-01-07,20575612.193255324,19832010.943255324,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20575612.193255324,0.5053965419179408,False,9808981.193255324,0,0,0,0,
2020-01-08,20578472.76706559,19762044.01706559,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20578472.76706559,0.5064488390652886,False,9753579.767065588,0,0,0,0,
2020-01-09,20581333.738573983,20022186.238573983,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20581333.738573983,0.5024386637968106,False,9962265.738573983,0,0,0,0,
2020-01-10,20584195.107835803,20151827.607835803,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20584195.107835803,0.5004646077896407,False,10066551.107835803,0,0,0,0,
2020-01-13,20592780.409047425,20236164.159047425,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20592780.409047425,0.4991275357629564,False,10135737.409047425,0,0,0,0,
2020-01-14,20595643.369710047,20313060.869710047,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20595643.369710047,0.49796697626616165,False,10197827.369710047,0,0,0,0,
2020-01-15,20598506.728402637,20332947.978402637,0.0,0,0,50858750.0,0.0,50858750.0,0.0,0,0,0,0,0.0,20598506.728402637,0.49764737807561754,False,10214309.728402637,0,0,0,0,
