trade_date,close,ntr_close,source
2016-01-01,10598.0,10061.72,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-04,10369.24,9844.53,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-05,10360.42,9836.16,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-06,10302.32,9781.0,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-07,10072.45,9562.76,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-08,10116.45,9604.53,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-11,10066.57,9557.18,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-12,9995.25,9489.46,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-13,10064.62,9555.33,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-14,10030.53,9522.96,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-15,9898.8,9397.9,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-18,9783.26,9288.21,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-19,9895.18,9394.46,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-20,9727.77,9235.52,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-21,9685.29,9195.23,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-22,9879.13,9379.27,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-25,9898.28,9397.5,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-27,9901.35,9400.45,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-28,9883.94,9383.92,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-01-29,10068.86,9559.49,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-01,10058.69,9549.83,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-02,9925.98,9423.88,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-03,9801.62,9305.84,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-04,9857.82,9359.2,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-05,9972.05,9467.69,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-08,9836.41,9338.91,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-09,9717.87,9226.37,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-10,9607.98,9122.04,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-11,9289.29,8819.47,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-12,9295.41,8825.28,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-15,9537.74,9055.35,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-16,9385.36,8910.69,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-17,9465.52,8986.8,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-18,9576.46,9092.13,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-19,9601.77,9116.16,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-22,9633.83,9146.62,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-23,9467.41,8988.62,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-24,9346.39,8873.72,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-25,9282.38,8812.94,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-26,9361.1,8887.69,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-02-29,9304.26,8833.71,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-01,9617.51,9131.13,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-02,9812.68,9316.42,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-03,9955.1,9451.66,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-04,9968.09,9463.99,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-08,9967.99,9463.9,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-09,10029.96,9522.73,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-10,9969.15,9465.0,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-11,10001.18,9495.4,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-14,10048.89,9541.19,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-15,9944.76,9442.32,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-16,9997.9,9492.89,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-17,10021.13,9515.2,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-18,10143.6,9631.49,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-21,10278.3,9759.45,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-22,10292.77,9773.21,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-23,10294.93,9775.26,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-28,10159.66,9646.82,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-29,10135.49,9623.87,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-30,10321.2,9800.27,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-03-31,10325.5,9804.35,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-01,10291.69,9772.25,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-04,10352.69,9830.17,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-05,10145.1,9633.06,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-06,10159.98,9647.19,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-07,10069.36,9561.14,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-08,10081.01,9572.21,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-11,10236.11,9719.48,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-12,10286.18,9767.02,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-13,10475.02,9946.33,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-18,10560.74,10027.72,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-20,10560.79,10027.77,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-21,10557.22,10024.38,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-22,10540.19,10008.21,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-25,10481.12,9952.12,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-26,10624.72,10088.47,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-27,10647.74,10110.33,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-28,10470.71,9942.24,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-04-29,10474.15,9945.51,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-02,10415.52,9889.84,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-03,10336.97,9815.25,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-04,10283.01,9764.01,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-05,10322.82,9801.81,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-06,10320.12,9799.24,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-09,10497.09,9967.29,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-10,10526.11,9994.84,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-11,10474.1,9945.46,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-12,10542.93,10010.81,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-13,10428.78,9902.42,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-16,10489.97,9960.52,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-17,10530.03,9998.56,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-18,10502.51,9972.43,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-19,10386.75,9862.51,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-20,10341.79,9819.82,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-23,10316.91,9796.2,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-24,10340.65,9818.74,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-25,10588.92,10054.48,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-26,10768.78,10225.26,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-27,10884.88,10335.5,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-30,10932.7,10380.91,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-05-31,10908.07,10357.53,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-01,10934.62,10382.73,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-02,10986.77,10432.25,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-03,10992.21,10437.41,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-06,10972.45,10418.65,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-07,11059.93,10501.72,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-08,11068.75,10510.09,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-09,10986.64,10432.12,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-10,10941.7,10389.46,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-13,10862.06,10313.83,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-14,10859.76,10311.65,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-15,10990.64,10435.92,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-16,10913.97,10363.12,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-17,10953.44,10400.6,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-20,11045.03,10487.57,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-21,11020.11,10463.91,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-22,11000.82,10445.59,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-23,11091.16,10531.37,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-24,10847.29,10299.81,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-27,10855.5,10307.6,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-28,10899.91,10349.78,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-29,11009.02,10453.38,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-06-30,11121.39,10560.08,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-01,11175.85,10567.81,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-04,11233.09,10621.94,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-05,11186.41,10577.79,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-07,11192.11,10583.19,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-08,11172.39,10564.54,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-11,11366.82,10748.39,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-12,11438.19,10815.88,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-13,11436.09,10805.14,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-14,11497.65,10863.3,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
2016-07-15,11474.04,10841.0,"niftyindices.com Historical Data - Total Return Index (NIFTY 50, gross TRI)"
