date,rank>2,rank>1.5,rank>1,rank>0.5
2019-12-31,20000000.0,20000000.0,20000000.0,20000000.0
2020-01-01,19999041.24666872,19986358.788490023,19972766.54524011,19972766.54524011
2020-01-02,20057541.24666872,20136918.788490023,20118061.54524011,20118061.54524011
2020-01-03,20054166.24666872,20091413.788490023,20054239.04524011,20054239.04524011
2020-01-06,20018166.24666872,19845148.788490023,19569924.04524011,19569924.04524011
2020-01-07,20039541.24666872,19947088.788490023,19772546.54524011,19772546.54524011
2020-01-08,20037291.24666872,19918798.788490023,19683269.04524011,19683269.04524011
2020-01-09,20074416.24666872,20061648.788490023,19899634.04524011,19899634.04524011
2020-01-10,20086791.24666872,20103548.788490023,20122769.04524011,20122769.04524011
2020-01-13,20098041.24666872,20124258.788490023,20216131.54524011,20216131.54524011
2020-01-14,20111541.24666872,20176553.788490023,20331961.54524011,20331961.54524011
2020-01-15,20111541.24666872,20205488.788490023,20394379.04524011,20394379.04524011
2020-01-16,20116041.24666872,20170903.788490023,20362446.54524011,20362446.54524011
2020-01-17,20120541.24666872,20184508.788490023,20369331.54524011,20369331.54524011
2020-01-20,20122791.24666872,20165543.788490023,20235786.54524011,20235786.54524011
2020-01-21,20109291.24666872,20133578.788490023,20222986.54524011,20222986.54524011
2020-01-22,20114916.24666872,20092938.788490023,19750341.54524011,19750341.54524011
2020-01-23,20129541.24666872,20164488.788490023,19874444.04524011,19874444.04524011
2020-01-24,20132916.24666872,20213268.788490023,20121821.54524011,20121821.54524011
2020-01-27,20116041.24666872,19942558.788490023,19776134.04524011,19776134.04524011
2020-01-28,20072166.24666872,19782888.788490023,19465171.54524011,19465171.54524011
2020-01-29,20127291.24666872,19933313.788490023,19832826.54524011,19832826.54524011
2020-01-30,20139666.24666872,19756924.470920026,19449193.75807011,19449193.75807011
2020-01-31,20139666.24666872,19513058.749064535,18898676.004203156,18896822.119042765
2020-02-03,20232065.10420756,19244757.430146735,18294394.847808428,18281169.46859541
2020-02-04,20232065.10420756,19639865.81832443,18924755.203070726,18954129.82385771
2020-02-05,20232065.10420756,19902283.31832443,19095065.203070726,19126839.82385771
2020-02-06,20232065.10420756,19832970.81832443,19086783.953070726,19093358.57385771
2020-02-07,20232065.10420756,19976263.31832443,19402527.703070726,19429502.32385771
2020-02-10,20232065.10420756,19732023.31832443,18834306.453070726,18859481.07385771
2020-02-11,20232065.10420756,19851930.81832443,19018515.203070726,19050289.82385771
2020-02-12,20232065.10420756,19862670.81832443,19134180.203070726,19181554.82385771
2020-02-13,20232065.10420756,19930870.81832443,19068448.953070726,19121823.57385771
2020-02-14,20232065.10420756,19879670.81832443,18895966.453070726,18949341.07385771
2020-02-17,20232065.10420756,19707050.81832443,18351770.203070726,18406944.82385771
2020-02-18,20232065.10420756,19449283.31832443,18315732.703070726,18371507.32385771
2020-02-19,20232065.10420756,19639450.81832443,18779522.703070726,18838897.32385771
2020-02-20,20232065.10420756,19736295.81832443,18949725.203070726,19010899.82385771
2020-02-24,20232065.10420756,19209128.318324436,18102071.45307073,18164446.073857713
2020-02-25,20232065.10420756,18997890.81832443,17814990.203070726,17881564.82385771
2020-02-26,20232065.10420756,18780590.81832443,17302527.703070726,17366702.32385771
2020-02-27,20232065.10420756,18693673.31832443,17190650.523320727,17259025.14410771
2020-02-28,20232065.10420756,18114147.80113723,16159503.96590195,16207468.25650841
2020-03-02,20311025.588429324,17851428.661751155,15698871.325760998,15602733.266228177
2020-03-03,20311025.588429324,18321153.661751155,16765183.549221136,16846660.37994598
2020-03-04,20311025.588429324,18376143.661751155,16782664.671083935,16691793.954365138
2020-03-05,20311025.588429324,18142163.661751155,16611266.437432177,16605748.23558551
2020-03-06,20311025.588429324,17863133.661751155,15721043.848099967,15365503.223458277
2020-03-09,20311025.588429324,17446638.661751155,14262016.762564156,13170071.556587145
2020-03-11,20311025.588429324,17167593.661751155,14620720.486132687,13445330.933467468
2020-03-12,20311025.588429324,16289953.661751155,12127101.75989601,8978227.658723213
2020-03-13,20311025.588429324,16648058.661751155,12791507.42681653,10279176.872384764
2020-03-16,20311025.588429324,16063248.661751155,10640885.106550898,7015497.359197684
2020-03-17,20311025.588429324,16051813.661751155,11163827.094936255,6628011.960585631
2020-03-18,20311025.588429324,15836073.661751155,10066575.975647198,4452133.2501638755
2020-03-19,20311025.588429324,15347938.661751155,8325641.748517238,2586619.157283256
2020-03-20,20311025.588429324,15702923.661751155,9990425.444201764,2903253.4827645067
2020-03-23,20311025.588429324,14805303.661751155,7212264.838060012,762433.4827645067
