,rank>2,rank>1.5,rank>1,rank>0.5
2019-12,0.0,0.0,0.0,0.0
2020-01,0.006983312333435965,-0.024347062546773213,-0.055066199789842174,-0.055158894047861784
2020-02,0.0045879041095888695,-0.07169101297326685,-0.1449398909051618,-0.1423177847361029
2020-03,0.0039027397260273933,-0.1594557012063652,-0.3849073697396679,-0.9897510356734784
2020-04,0.004096458904109479,0.11211997210227476,0.28901702244345673,0.5574393454144666
2020-05,0.13825917636683793,0.08901167845291003,0.09241541599209113,0.09237655773913978
2020-06,0.07661124061264402,0.0743477620845503,0.041075736894014225,-0.06612824246775295
2020-07,0.12840502228864237,0.1630753540793799,0.14845157353148042,-0.10779102674117991
2020-08,0.02139489507322745,0.06584752431637564,0.11629326562145104,0.11238448920798061
2020-09,0.021033715222615434,0.002983755521292597,-0.09171553113851805,-0.4105022549568954
2020-10,0.1907659784366853,0.1813250193271334,0.20705155866095248,-0.25310371982887603
2020-11,0.1934509402859732,0.25510324677683394,0.3391193682466649,0.9391653148608996
2020-12,0.06677079680057574,0.05826090908075732,0.12059211847222473,0.5159241903956266
2021-01,-0.020123251941402964,-0.021182553784989788,-0.02125979116425869,-0.10790889951563021
2021-02,0.10990706185765386,0.14507106143964066,0.21336797457105727,0.6150015565679796
2021-03,0.10037449584250635,0.09940879275047187,0.06634391526108807,-0.07521274735775407
2021-04,0.07079720025267044,0.07111094992297096,0.07583439265680103,0.11813551159996827
2021-05,0.1625475464664372,0.15275770944786204,0.163820368301149,0.10814854801288809
2021-06,0.06508147876441917,0.06142530097018084,0.0575381101399397,0.1199909815804292
2021-07,-0.023997317852997302,-0.029187688672031253,-0.03227859268228461,0.0006503272243363334
2021-08,0.13317808020690292,0.1588984258385675,0.17068030418854407,0.0030034936986300664
2021-09,0.031042171672287733,0.03497671266839242,0.06829613143206492,0.0027522945205480376
2021-10,0.05393999332333932,0.039920053459361116,0.04537934867500004,0.0027170136986300886
2021-11,-0.11390777441105637,-0.10705745030102232,-0.08406668356982572,0.002943861917808155
2021-12,0.07909884415131496,0.06151106435777609,0.07760524984226791,0.0029260273972604445
2022-01,-0.08110137245159299,-0.08755465198666068,-0.07479475079266218,0.0032381046575342687
2022-02,0.0269129107322561,-0.012274213701959247,-0.059044832575267714,0.00288412945205474
2022-03,0.19024486361574744,0.19578523148584437,0.16684761782237145,0.003008233561643925
2022-04,-0.10668420293714287,-0.09311856452266964,-0.10339980434163432,0.0031066438356164294
