symbol,expiry,lot_at_listing,lot_size_at_expiry,mid_contract_change
360ONE,2025-07-31,500,500,False
360ONE,2025-08-28,500,500,False
360ONE,2025-09-30,500,500,False
360ONE,2025-10-28,500,500,False
360ONE,2025-11-25,500,500,False
360ONE,2025-12-30,500,500,False
360ONE,2026-01-27,500,500,False
360ONE,2026-02-24,500,500,False
360ONE,2026-03-30,500,500,False
360ONE,2026-04-28,500,500,False
360ONE,2026-05-26,500,500,False
360ONE,2026-06-30,500,500,False
360ONE,2026-07-28,500,500,False
360ONE,2026-08-25,500,500,False
AARTIIND,2021-01-28,425,425,False
AARTIIND,2021-02-25,425,425,False
AARTIIND,2021-03-25,425,425,False
AARTIIND,2021-04-29,425,425,False
AARTIIND,2021-05-27,425,425,False
AARTIIND,2021-06-24,425,850,True
AARTIIND,2021-07-29,425,850,True
AARTIIND,2021-08-26,425,850,True
AARTIIND,2021-09-30,850,850,False
AARTIIND,2021-10-28,850,850,False
AARTIIND,2021-11-25,850,850,False
AARTIIND,2021-12-30,850,850,False
AARTIIND,2022-01-27,850,850,False
AARTIIND,2022-02-24,850,850,False
AARTIIND,2022-03-31,850,850,False
AARTIIND,2022-04-28,850,850,False
AARTIIND,2022-05-26,850,850,False
AARTIIND,2022-06-30,850,850,False
AARTIIND,2022-07-28,850,850,False
AARTIIND,2022-08-25,850,850,False
AARTIIND,2022-09-29,850,850,False
AARTIIND,2022-10-27,850,850,False
AARTIIND,2022-11-24,850,850,False
AARTIIND,2022-12-29,850,850,False
AARTIIND,2023-01-25,850,850,False
AARTIIND,2023-02-23,850,850,False
AARTIIND,2023-03-29,850,850,False
AARTIIND,2023-04-27,850,850,False
AARTIIND,2023-05-25,850,850,False
AARTIIND,2023-06-28,850,850,False
AARTIIND,2023-07-27,1000,1000,False
AARTIIND,2023-08-31,1000,1000,False
AARTIIND,2023-09-28,1000,1000,False
AARTIIND,2023-10-26,1000,1000,False
AARTIIND,2023-11-30,1000,1000,False
AARTIIND,2023-12-28,1000,1000,False
AARTIIND,2024-01-25,1000,1000,False
AARTIIND,2024-02-29,1000,1000,False
AARTIIND,2024-03-28,1000,1000,False
AARTIIND,2024-04-25,1000,1000,False
AARTIIND,2024-05-30,1000,1000,False
AARTIIND,2024-06-27,1000,1000,False
AARTIIND,2024-07-25,1000,1000,False
AARTIIND,2024-08-29,1000,1000,False
AARTIIND,2024-09-26,1000,1000,False
AARTIIND,2024-10-31,1000,1000,False
AARTIIND,2024-11-28,1000,1000,False
AARTIIND,2024-12-26,1000,1000,False
AARTIIND,2025-01-30,1000,1000,False
AARTIIND,2025-02-27,1000,1000,False
AARTIIND,2025-03-27,1000,1000,False
AARTIIND,2025-04-24,1000,1000,False
AARTIIND,2025-05-29,1000,1000,False
AARTIIND,2025-06-26,1000,1000,False
AARTIIND,2025-07-31,1325,1325,False
ABB,2022-02-24,250,250,False
ABB,2022-03-31,250,250,False
ABB,2022-04-28,250,250,False
ABB,2022-05-26,250,250,False
ABB,2022-06-30,250,250,False
ABB,2022-07-28,250,250,False
ABB,2022-08-25,250,250,False
ABB,2022-09-29,250,250,False
ABB,2022-10-27,250,250,False
ABB,2022-11-24,250,250,False
ABB,2022-12-29,250,250,False
ABB,2023-01-25,250,250,False
ABB,2023-02-23,250,250,False
ABB,2023-03-29,250,250,False
ABB,2023-04-27,250,250,False
ABB,2023-05-25,250,250,False
ABB,2023-06-28,250,250,False
ABB,2023-07-27,250,250,False
ABB,2023-08-31,250,250,False
ABB,2023-09-28,250,250,False
ABB,2023-10-26,250,250,False
ABB,2023-11-30,250,125,True
ABB,2023-12-28,250,125,True
ABB,2024-01-25,125,125,False
ABB,2024-02-29,125,125,False
ABB,2024-03-28,125,125,False
ABB,2024-04-25,125,125,False
ABB,2024-05-30,125,125,False
ABB,2024-06-27,125,125,False
ABB,2024-07-25,125,125,False
ABB,2024-08-29,125,125,False
ABB,2024-09-26,125,125,False
ABB,2024-10-31,125,125,False
ABB,2024-11-28,125,125,False
ABB,2024-12-26,125,125,False
ABB,2025-01-30,125,125,False
ABB,2025-02-27,125,125,False
ABB,2025-03-27,125,125,False
ABB,2025-04-24,125,125,False
ABB,2025-05-29,125,125,False
ABB,2025-06-26,125,125,False
ABB,2025-07-31,125,125,False
ABB,2025-08-28,125,125,False
ABB,2025-09-30,125,125,False
ABB,2025-10-28,125,125,False
ABB,2025-11-25,125,125,False
ABB,2025-12-30,125,125,False
ABB,2026-01-27,125,125,False
ABB,2026-02-24,125,125,False
ABB,2026-03-30,125,125,False
ABB,2026-04-28,125,125,False
ABB,2026-05-26,125,125,False
ABB,2026-06-30,125,125,False
ABB,2026-07-28,125,125,False
ABB,2026-08-25,125,125,False
ABBOTINDIA,2021-10-28,25,25,False
ABBOTINDIA,2021-11-25,25,25,False
ABBOTINDIA,2021-12-30,25,25,False
ABBOTINDIA,2022-01-27,25,25,False
ABBOTINDIA,2022-02-24,25,25,False
ABBOTINDIA,2022-03-31,25,25,False
ABBOTINDIA,2022-04-28,25,25,False
ABBOTINDIA,2022-05-26,25,25,False
ABBOTINDIA,2022-06-30,25,25,False
ABBOTINDIA,2022-07-28,40,40,False
ABBOTINDIA,2022-08-25,40,40,False
ABBOTINDIA,2022-09-29,40,40,False
ABBOTINDIA,2022-10-27,40,40,False
ABBOTINDIA,2022-11-24,40,40,False
ABBOTINDIA,2022-12-29,40,40,False
ABBOTINDIA,2023-01-25,40,40,False
ABBOTINDIA,2023-02-23,40,40,False
ABBOTINDIA,2023-03-29,40,40,False
ABBOTINDIA,2023-04-27,40,40,False
ABBOTINDIA,2023-05-25,40,40,False
ABBOTINDIA,2023-06-28,40,40,False
ABBOTINDIA,2023-07-27,40,40,False
ABBOTINDIA,2023-08-31,40,40,False
ABBOTINDIA,2023-09-28,40,40,False
ABBOTINDIA,2023-10-26,40,40,False
ABBOTINDIA,2023-11-30,40,40,False
ABBOTINDIA,2023-12-28,40,40,False
ABBOTINDIA,2024-01-25,40,40,False
ABBOTINDIA,2024-02-29,40,40,False
ABBOTINDIA,2024-03-28,40,40,False
ABBOTINDIA,2024-04-25,40,40,False
ABBOTINDIA,2024-05-30,40,20,True
ABBOTINDIA,2024-06-27,40,20,True
ABBOTINDIA,2024-07-25,20,20,False
ABBOTINDIA,2024-08-29,20,20,False
ABBOTINDIA,2024-09-26,20,20,False
ABBOTINDIA,2024-10-31,20,20,False
ABBOTINDIA,2024-11-28,20,20,False
ABBOTINDIA,2024-12-26,20,20,False
ABBOTINDIA,2025-01-30,20,20,False
ABBOTINDIA,2025-02-27,20,20,False
ABCAPITAL,2022-01-27,4400,4400,False
ABCAPITAL,2022-02-24,4400,4400,False
ABCAPITAL,2022-03-31,4400,4400,False
ABCAPITAL,2022-04-28,4400,4400,False
ABCAPITAL,2022-05-26,4400,4400,False
ABCAPITAL,2022-06-30,4400,4400,False
ABCAPITAL,2022-07-28,5400,5400,False
ABCAPITAL,2022-08-25,5400,5400,False
ABCAPITAL,2022-09-29,5400,5400,False
ABCAPITAL,2022-10-27,5400,5400,False
