cycle_id,symbol,assign_date,put_strike,assign_fsp,assignment_gap_pct,drawdown_while_held_pct,status,duration_days,total_pnl
194,ADANIPORTS,2022-05-26,820.0,701.5,-0.14451219512195124,-0.0546685673556665,completed,113,249871.71798098748
84,COALINDIA,2021-03-25,145.0,128.1,-0.11655172413793102,-0.02810304449648704,completed,87,127034.04472244001
399,M&M,2024-10-31,3050.0,2728.55,-0.1053934426229508,-0.08696926939216809,completed,241,1009413.6451987764
418,DRREDDY,2025-01-30,1330.0,1194.5,-0.10187969924812035,-0.08924236082042691,completed,484,519774.3548067092
421,BEL,2025-02-27,280.0,252.45,-0.09839285714285717,-0.024559318676965702,completed,52,34608.26669883623
169,DRREDDY,2022-01-27,4700.0,4256.35,-0.09439361702127647,-0.12628190820773677,completed,479,518644.9098311459
43,ICICIBANK,2020-09-24,370.0,335.7,-0.09270270270270276,0.038576109621685895,completed,58,106964.67521235693
35,TATAMOTORS,2020-09-24,135.0,122.8,-0.09037037037037043,0.033794788273615595,completed,86,432786.74424925994
403,SHRIRAMFIN,2024-10-31,690.0,627.78,-0.09017391304347833,-0.18498518589314727,completed,269,420017.79927316617
419,ADANIPORTS,2025-01-30,1180.0,1077.05,-0.08724576271186446,-0.02228308806462098,completed,87,13572.799954225999
92,TATAMOTORS,2021-03-25,310.0,285.55,-0.07887096774193547,0.003502013657853187,completed,59,193142.39233993
189,BAJAJFINSV,2022-04-28,1625.0,1501.185,-0.07619384615384617,-0.2717919510253567,completed,605,1021344.9428554926
62,ASIANPAINT,2021-01-28,2640.0,2441.7,-0.07511363636363644,-0.06737109390998075,completed,146,234396.04305559635
150,COALINDIA,2021-10-28,180.0,166.55,-0.07472222222222213,-0.15520864605223672,completed,178,389894.8021739792
483,MAXHEALTH,2026-03-30,1040.0,962.3,-0.07471153846153855,-0.03190273303543589,completed,124,211219.02270962182
201,INDUSINDBK,2022-05-26,970.0,897.6,-0.0746391752577319,-0.1336341354723708,completed,85,174656.25235204998
498,TMPV,2026-06-30,380.0,352.2,-0.07315789473684209,,open,32,-519718.3582044188
44,KOTAKBANK,2020-09-24,1340.0,1246.1,-0.07007462686567167,0.005577401492657064,completed,58,68158.70430313842
409,BAJFINANCE,2024-10-31,7400.0,6889.75,-0.0689527027027027,-0.061555208824703445,completed,122,149490.4160140782
480,TATASTEEL,2026-03-30,206.0,191.86,-0.06864077669902902,0.011883665172521596,completed,61,129656.14759069221
171,INFY,2022-01-27,1800.0,1678.6,-0.06744444444444453,-0.00026808054330984543,completed,87,92168.29204048344
390,TATAMOTORS,2024-09-26,1060.0,993.15,-0.06306603773584907,-0.41625132155263556,terminated,406,-3027583.348789168
450,TATASTEEL,2025-11-25,177.5,166.33,-0.06292957746478867,-0.03402873805086293,completed,89,495616.91029168887
438,SHRIRAMFIN,2025-07-31,670.0,630.85,-0.058432835820895535,-0.09384164222873903,completed,119,289174.01690786646
504,BAJAJ-AUTO,2026-06-30,10300.0,9716.0,-0.05669902912621361,,open,32,-294169.01418350067
406,POWERGRID,2024-10-31,340.0,320.8,-0.05647058823529405,-0.2180486284289277,open,638,-480061.6169160765
4,HINDALCO,2020-01-30,205.0,193.45,-0.056341463414634196,-0.54561902300336,residual_after_call_away,331,188213.50358728797
3,ONGC,2020-01-30,122.5,115.6,-0.05632653061224491,-0.4809688581314878,uncoverable_odd_lot,176,-141021.67037921678
441,TITAN,2025-07-31,3540.0,3347.3,-0.05443502824858748,-0.009350820063932175,completed,58,4792.796061645127
458,GRASIM,2025-11-25,2840.0,2686.8,-0.05394366197183087,0.012468363852910613,completed,61,32365.494622132603
188,BAJFINANCE,2022-04-28,7100.0,6727.65,-0.052443661971831035,-0.21459945151724602,completed,542,1252008.0028852113
89,GAIL,2021-03-25,135.0,128.0,-0.051851851851851816,0.02968750000000009,universe_removal_sale,31,82786.40841890912
484,TITAN,2026-03-30,4160.0,3951.4,-0.0501442307692308,0.02887584147390787,completed,60,37080.667544916694
412,AXISBANK,2024-10-31,1220.0,1159.55,-0.049549180327868925,-0.18235522400931392,completed,393,491536.05524884537
288,SBIN,2023-08-31,590.0,561.35,-0.04855932203389823,-0.02556337400908526,completed,150,266454.6194812001
336,TATACONSUM,2024-03-28,1150.0,1096.2,-0.046782608695652095,-0.03279511038131733,completed,143,296192.0138766809
170,TITAN,2022-01-27,2420.0,2310.05,-0.0454338842975206,0.0024025453994500623,completed,87,382773.28599060874
12,COALINDIA,2020-05-28,140.0,133.9,-0.04357142857142848,-0.03323375653472749,completed,52,199491.31748620002
123,MARUTI,2021-07-29,7300.0,6993.5,-0.04198630136986303,-0.05503681990419673,completed,94,102023.9445242324
134,JSWSTEEL,2021-08-26,700.0,672.0,-0.040000000000000036,-0.15275297619047612,completed,241,478400.4370630168
95,SBIN,2021-03-25,370.0,355.2,-0.040000000000000036,-0.07418355855855852,completed,87,273833.88224263093
128,HDFCLIFE,2021-07-29,690.0,662.65,-0.039637681159420346,0.002112729193390228,completed,59,100268.3667798664
312,HINDALCO,2024-01-25,590.0,567.2,-0.038644067796610115,-0.11168899858956283,completed,115,380111.3789278208
173,ASIANPAINT,2022-01-27,3240.0,3116.95,-0.0379783950617284,-0.17220359646449257,residual_after_call_away,207,344156.39410910907
68,BAJFINANCE,2021-01-28,5000.0,4810.25,-0.03795000000000004,-0.015737227794813125,completed,55,100573.54001733151
448,HINDALCO,2025-11-25,820.0,789.35,-0.03737804878048778,0.014505605878254224,completed,61,171251.63203631493
329,KOTAKBANK,2024-01-25,1830.0,1768.4,-0.03366120218579227,-0.12536756389957027,completed,269,590281.07647728
63,TITAN,2021-01-28,1500.0,1450.1,-0.03326666666666678,-0.03092890145507199,completed,118,292910.5222794645
455,JSWSTEEL,2025-11-25,1150.0,1112.0,-0.03304347826086962,-0.029406474820143913,completed,89,547131.0901264341
244,HCLTECH,2022-12-29,1080.0,1044.45,-0.032916666666666594,-0.011154195988319349,completed,58,103325.11161252498
162,BHARTIARTL,2021-12-30,700.0,679.35,-0.02949999999999997,0.00655037903878708,residual_after_call_away,60,102638.23361123003
323,JSWSTEEL,2024-01-25,840.0,815.7,-0.028928571428571415,-0.0429692288831679,completed,115,908029.7896638268
469,HINDALCO,2026-02-24,950.0,922.85,-0.028578947368421037,-0.0895053367286125,completed,89,382926.7237198808
86,ONGC,2021-03-25,105.0,102.0,-0.02857142857142858,-0.038725490196078405,completed,115,752116.1592094001
364,AXISBANK,2024-07-25,1210.0,1175.9,-0.028181818181818086,-0.04235054001190597,completed,87,267320.06795601617
287,HEROMOTOCO,2023-08-31,3000.0,2915.95,-0.02801666666666669,0.00392667912687128,completed,87,413266.5236439032
2,VEDL,2020-01-30,145.0,140.95,-0.027931034482758688,-0.5633203263568641,universe_removal_sale,215,-364581.83226190734
252,SBIN,2023-01-25,585.0,568.7,-0.027863247863247786,-0.11139440829963076,completed,206,416303.2649825275
219,COALINDIA,2022-09-29,220.0,213.9,-0.02772727272727271,-0.007713884992987419,completed,59,172584.75143116002
197,RELIANCE,2022-05-26,2660.0,2587.1,-0.02740601503759399,-0.08099802868076211,completed,113,189432.7179960835
243,INFY,2022-12-29,1560.0,1517.55,-0.027211538461538454,-0.19383216368488676,completed,395,376033.04547206877
121,M&M,2021-06-24,810.0,791.8,-0.02246913580246923,-0.07969184137408425,completed,150,613674.2336229808
8,UPL,2020-05-28,400.0,391.1,-0.022249999999999992,0.035540782408591154,completed,52,442860.42535668996
