cycle_id,symbol,assign_date,put_strike,assign_fsp,assignment_gap_pct,drawdown_while_held_pct,status,duration_days,total_pnl
210,ADANIPORTS,2022-05-26,820.0,701.5,-0.14451219512195124,-0.0546685673556665,completed,113,49886.551596197496
48,TATASTEEL,2020-09-24,400.0,343.9,-0.1402500000000001,0.023844140738586983,completed,62,15894.555997721094
45,BAJFINANCE,2020-09-24,3450.0,3028.9,-0.12205797101449267,0.03633332232823783,completed,90,58948.015431314765
91,COALINDIA,2021-03-25,145.0,128.1,-0.11655172413793102,-0.02810304449648704,completed,87,21100.557453740003
467,M&M,2024-10-31,3050.0,2728.55,-0.1053934426229508,-0.08696926939216809,completed,241,125998.08314984707
489,DRREDDY,2025-01-30,1320.0,1194.5,-0.09507575757575759,-0.08924236082042691,completed,177,14290.474134801632
184,DRREDDY,2022-01-27,4700.0,4256.35,-0.09439361702127647,-0.12628190820773677,completed,479,129366.52245778649
46,ICICIBANK,2020-09-24,370.0,335.7,-0.09270270270270276,0.038576109621685895,completed,62,24230.1761679345
471,SHRIRAMFIN,2024-10-31,690.0,627.78,-0.09017391304347833,-0.18498518589314727,completed,269,83842.044013664
472,BAJAJFINSV,2024-10-31,1920.0,1750.75,-0.08815104166666665,-0.10935313437098393,completed,150,7476.1511202982965
222,KOTAKBANK,2022-06-30,1820.0,1661.1,-0.08730769230769231,0.0011739208957919356,completed,58,4142.972363441593
49,KOTAKBANK,2020-09-24,1360.0,1246.1,-0.0837500000000001,0.005577401492657064,completed,62,9132.201979406396
193,IOC,2022-02-24,120.0,110.0,-0.08333333333333337,0.020454545454545503,universe_removal_sale,59,45791.72283937526
191,SBIN,2022-02-24,515.0,472.65,-0.08223300970873793,-0.08029197080291972,completed,177,77920.750141244
205,BAJAJFINSV,2022-04-28,1625.0,1501.185,-0.07619384615384617,-0.2717919510253567,completed,605,169916.37380924876
69,ASIANPAINT,2021-01-28,2640.0,2441.7,-0.07511363636363644,-0.06737109390998075,completed,146,60046.953278183806
165,COALINDIA,2021-10-28,180.0,166.55,-0.07472222222222213,-0.15520864605223672,completed,178,66833.0755988632
587,MAXHEALTH,2026-03-30,1040.0,962.3,-0.07471153846153855,-0.03190273303543589,completed,124,64778.37908688119
217,INDUSINDBK,2022-05-26,970.0,897.6,-0.0746391752577319,-0.1336341354723708,completed,85,34862.33847041
