date,nav,nav_index,daily_return,cumulative_return,drawdown,daily_pnl,cash,stock_value,option_liability,borrowed,option_premium,option_buyback,stock_bought_on_assignment,stock_sold_on_call_away,stock_sold_other,dividends_and_distributions,transaction_costs,cash_interest,financing_cost,n_short_puts,n_covered_calls,n_stock_names,n_active_names,notional_exposure,gross_exposure_x_nav,margin_utilization,bench_nifty_50_tri_bh_nav,bench_nifty_50_tri_bh_index,bench_equal_weight_top_20_nav,bench_equal_weight_top_20_index
2019-12-31,20000000.000000,100.000000,0.000000,0.000000,0.000000,0.000000,20000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,20000000.000000,100.000000,20000000.000000,100.000000
2020-01-01,19994385.002886,99.971925,-0.000281,-0.000281,-0.000281,-5614.997114,20176070.002886,0.000000,181685.000000,0.000000,173624.900000,0.000000,0.000000,0.000000,0.000000,0.000000,-283.856018,2728.958904,0.000000,4,0,0,4,14809000.000000,0.740658,0.146314,20023153.868406,100.115769,19994280.156240,99.971401
2020-01-02,20069650.029385,100.348250,0.003764,0.003483,0.000000,75265.026499,20178875.029385,0.000000,109225.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2805.026499,0.000000,4,0,0,4,14809000.000000,0.737880,0.146488,20186964.266683,100.934821,20125156.822459,100.625784
2020-01-03,20049400.445860,100.247002,-0.001009,0.002470,-0.001009,-20249.583525,20181680.445860,0.000000,132280.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2805.416475,0.000000,4,0,0,4,14809000.000000,0.738626,0.146406,20095672.205872,100.478361,20082721.307314,100.413607
2020-01-06,19936277.865374,99.681389,-0.005642,-0.003186,-0.006645,-113122.580486,20190097.865374,0.000000,253820.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8417.419514,0.000000,4,0,0,4,14809000.000000,0.742817,0.146017,19711741.950898,98.558710,19932829.989292,99.664150
2020-01-07,19989549.842131,99.947749,0.002672,-0.000523,-0.003991,53271.976757,20192904.842131,0.000000,203355.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2806.976757,0.000000,4,0,0,4,14809000.000000,0.740837,0.146133,19810236.656661,99.051183,19971821.575649,99.859108
2020-01-08,19976467.209134,99.882336,-0.000654,-0.001177,-0.004643,-13082.632997,20195712.209134,0.000000,219245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2807.367003,0.000000,4,0,0,4,14809000.000000,0.741322,0.146069,19764807.291185,98.824036,19943710.436176,99.718552
2020-01-09,20049649.966439,100.248250,0.003663,0.002482,-0.000997,73182.757304,20198519.966439,0.000000,148870.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2807.757304,0.000000,4,0,0,4,14809000.000000,0.738616,0.146238,20077987.662982,100.389938,20041403.548673,100.207018
2020-01-10,20073233.114098,100.366166,0.001176,0.003662,0.000000,23583.147659,20201328.114098,0.000000,128095.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2808.147659,0.000000,4,0,0,4,14809000.000000,0.737749,0.146273,20145247.484052,100.726237,20065813.672681,100.329068
2020-01-13,20092868.728305,100.464344,0.000978,0.004643,0.000000,19635.614207,20209753.728305,0.000000,116885.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8425.614207,0.000000,4,0,0,4,14809000.000000,0.737028,0.146242,20264846.525104,101.324233,20100821.390019,100.504107
2020-01-14,20120998.437765,100.604992,0.001400,0.006050,0.000000,28129.709460,20212563.437765,0.000000,91565.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2809.709460,0.000000,4,0,0,4,14809000.000000,0.735997,0.146289,20318626.274078,101.593131,20145216.280600,100.726081
2020-01-15,20137518.537852,100.687593,0.000821,0.006876,0.000000,16520.100087,20215373.537852,0.000000,77855.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2810.100087,0.000000,4,0,0,4,14809000.000000,0.735393,0.146305,20287449.947473,101.437250,20161172.421137,100.805862
2020-01-16,20124169.028619,100.620845,-0.000663,0.006208,-0.000663,-13349.509232,20218184.028619,0.000000,94015.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2810.490768,0.000000,4,0,0,4,14809000.000000,0.735881,0.146242,20307441.679071,101.537208,20090617.857491,100.453089
2020-01-17,20133809.910122,100.669050,0.000479,0.006690,-0.000184,9640.881503,20220994.910122,0.000000,87185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2810.881503,0.000000,4,0,0,4,14809000.000000,0.735529,0.146240,20302323.702089,101.511619,20068317.255468,100.341586
2020-01-20,20128203.726999,100.641019,-0.000278,0.006410,-0.000463,-5606.183123,20229428.726999,0.000000,101225.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8433.816877,0.000000,4,0,0,4,14809000.000000,0.735734,0.146141,20092252.413472,100.461262,20001860.820327,100.009304
2020-01-21,20119726.171823,100.598631,-0.000421,0.005986,-0.000884,-8477.555176,20232241.171823,0.000000,112515.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2812.444824,0.000000,4,0,0,4,14809000.000000,0.736044,0.146090,20002354.035179,100.011770,19925073.501344,99.625368
2020-01-22,20087474.007654,100.437370,-0.001603,0.004374,-0.002485,-32252.164169,20235054.007654,0.000000,147580.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2812.835831,0.000000,4,0,0,4,14809000.000000,0.737226,0.145976,19898835.045377,99.494175,19856023.184190,99.280116
2020-01-23,20130412.234546,100.652061,0.002138,0.006521,-0.000353,42938.226892,20237867.234546,0.000000,107455.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2813.226892,0.000000,4,0,0,4,14809000.000000,0.735653,0.146063,20021725.051033,100.108625,19891864.381408,99.459322
2020-01-24,20159030.852554,100.795154,0.001422,0.007952,0.000000,28618.618008,20240680.852554,0.000000,81650.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2813.618008,0.000000,4,0,0,4,14809000.000000,0.734609,0.146112,20134789.009349,100.673945,19937478.067502,99.687390
2020-01-27,20038237.880087,100.191189,-0.005992,0.001912,-0.005992,-120792.972467,20249122.880087,0.000000,210885.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8442.027533,0.000000,4,0,0,4,14809000.000000,0.739037,0.145703,19922281.704228,99.611409,19771408.155218,98.857041
2020-01-28,19964808.062938,99.824040,-0.003664,-0.001760,-0.009635,-73429.817149,20251938.062938,0.000000,287130.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2815.182851,0.000000,4,0,0,4,14809000.000000,0.741755,0.145475,19818411.365891,99.092057,19650188.151630,98.250941
