year,cycles,assignment_rate,called_away,pnl
2020,68,0.23529411764705882,12,994386.5049011994
2021,110,0.2,21,2812078.3136867727
2022,96,0.2708333333333333,24,1809798.2339939023
2023,80,0.125,10,1185822.5230583244
2024,136,0.22794117647058823,26,2022445.503364069
2025,76,0.19736842105263158,12,526650.5610146929
2026,44,0.18181818181818182,4,-296040.05894751253
