year,cycles,assignment_rate,called_away,pnl
2020,61,0.19672131147540983,10,4382939.155738168
2021,102,0.19607843137254902,19,10629949.929141136
2022,86,0.18604651162790697,16,5966549.4941941565
2023,62,0.14516129032258066,9,6043950.862073721
2024,108,0.19444444444444445,17,4696902.538467992
2025,43,0.20930232558139536,8,4026314.753837118
2026,43,0.18604651162790697,4,-2318010.85956369
